Latitude: 47.3649474, Longitude: 9.6537522, Information Type: guidepost, Reference: VWW 2.18
Latitude: 47.3612152, Longitude: 9.6303227, Information Type: guidepost, Reference: 2.694.R
Latitude: 47.3622835, Longitude: 9.6295357, Information Type: guidepost, Reference: VWW 2.24
Latitude: 47.3645309, Longitude: 9.6290432, Information Type: guidepost, Reference: VWW 2.25
Latitude: 47.3639804, Longitude: 9.6378975, Information Type: guidepost, Reference: VWW 2.23
Latitude: 47.3645323, Longitude: 9.6461838, Information Type: guidepost, Reference: VWW 2.19
Latitude: 47.3662558, Longitude: 9.6468672, Information Type: guidepost, Reference: VWW 2.20
Latitude: 47.3560551, Longitude: 9.6358674, Information Type: guidepost, Reference: VWW 2.26
Latitude: 47.3518287, Longitude: 9.6601635, Information Type: guidepost, Reference: VWW 2.09
Latitude: 47.3434505, Longitude: 9.6644837, Information Type: guidepost, Reference: VWW 2.35
Latitude: 47.3459349, Longitude: 9.6631057, Information Type: guidepost, Reference: VWW 2.34
Latitude: 47.3510387, Longitude: 9.6652546, Information Type: guidepost, Reference: VWW 2.33
Latitude: 47.3545394, Longitude: 9.6644906, Information Type: guidepost, Reference: VWW 2.31
Latitude: 47.3518555, Longitude: 9.6638800, Information Type: guidepost, Reference: VWW 2.30
Latitude: 47.3525054, Longitude: 9.6621775, Information Type: guidepost, Reference: VWW 2.29
Latitude: 47.3438676, Longitude: 9.6683657, Information Type: guidepost, Reference: VWW 2.11
Latitude: 47.3525250, Longitude: 9.6614524, Information Type: guidepost, Reference: VWW 2.10
Latitude: 47.3545133, Longitude: 9.6522109, Information Type: guidepost, Reference: VWW 2.02
Latitude: 47.3538978, Longitude: 9.6508067, Information Type: guidepost, Reference: VWW 2.01
Latitude: 47.3558543, Longitude: 9.6511683, Information Type: guidepost, Reference: VWW 2.03
Latitude: 47.3533293, Longitude: 9.6356146, Information Type: guidepost, Reference: VWW 2.27
Latitude: 47.3593208, Longitude: 9.6389442, Information Type: guidepost, Reference: VWW 2.22
Latitude: 47.3563555, Longitude: 9.6454526, Information Type: guidepost, Reference: VWW 2.04
Latitude: 47.3538504, Longitude: 9.6448797, Information Type: guidepost, Reference: VWW 2.05
Latitude: 47.3524298, Longitude: 9.6486769, Information Type: guidepost, Reference: VWW 2.28
Latitude: 47.3505432, Longitude: 9.6452223, Information Type: guidepost, Reference: VWW 2.06
Latitude: 47.3494745, Longitude: 9.6463295, Information Type: guidepost, Reference: VWW 2.07
Latitude: 47.3485717, Longitude: 9.6485133, Information Type: guidepost, Reference: VWW 2.08
Latitude: 47.3442707, Longitude: 9.6690563, Information Type: guidepost, Reference: VWW 2.12
Latitude: 47.3536413, Longitude: 9.6496554, Information Type: guidepost, Reference: 2.679.R
Latitude: 47.3639818, Longitude: 9.6379430, Information Type: guidepost, Reference: 2.692.R
Latitude: 47.3593304, Longitude: 9.6389230, Information Type: guidepost, Reference: 2.697.R
Latitude: 47.3643020, Longitude: 9.6461201, Information Type: guidepost, Reference: 2.691.R
Latitude: 47.3518224, Longitude: 9.6602103, Information Type: guidepost, Reference: 2.673.R
Latitude: 47.3485482, Longitude: 9.6458450, Information Type: guidepost, Reference: 2.684.R
Latitude: 47.3505376, Longitude: 9.6452182, Information Type: guidepost, Reference: 2.683.R
Latitude: 47.3560478, Longitude: 9.6358968, Information Type: guidepost, Reference: 2.695.R
Latitude: 47.3662010, Longitude: 9.6467586, Information Type: guidepost, Reference: 2.689.R
Latitude: 47.3539927, Longitude: 9.6473584, Information Type: guidepost, Reference: 2.685.R
Latitude: 47.3524235, Longitude: 9.6471075, Information Type: guidepost, Reference: 2.682.R
Latitude: 47.3526247, Longitude: 9.6612867, Information Type: guidepost, Reference: 2.671.R
Latitude: 47.3544320, Longitude: 9.6477140, Information Type: guidepost, Reference: 2.686.R
Latitude: 47.3538504, Longitude: 9.6482285, Information Type: guidepost, Reference: 2.680.R
Latitude: 47.3518493, Longitude: 9.6638708, Information Type: guidepost, Reference: 2.670.R
Latitude: 47.3570647, Longitude: 9.6442846, Information Type: guidepost, Reference: 2.688.R
Latitude: 47.3621923, Longitude: 9.6296400, Information Type: guidepost, Reference: 2.693.R
Latitude: 47.3535303, Longitude: 9.6495840, Information Type: guidepost, Reference: 2.677.R
Latitude: 47.3525616, Longitude: 9.6612504, Information Type: guidepost, Reference: 2.672.R
Latitude: 47.3654903, Longitude: 9.6458306, Information Type: guidepost, Reference: 2.690.R
Latitude: 47.3537679, Longitude: 9.6481210, Information Type: guidepost, Reference: 2.681.R
Latitude: 47.3560344, Longitude: 9.6359194, Information Type: guidepost, Reference: 2.696.R
Latitude: 47.3522483, Longitude: 9.6554216, Information Type: guidepost, Reference: 2.674.R
Latitude: 47.3521374, Longitude: 9.6553793, Information Type: guidepost, Reference: 2.675.R
Latitude: 47.3535507, Longitude: 9.6495414, Information Type: guidepost, Reference: 2.678.R
Latitude: 47.3525552, Longitude: 9.6507786, Information Type: guidepost, Reference: 2.676.R
Latitude: 47.3563126, Longitude: 9.6454460, Information Type: guidepost, Reference: 2.687.R
