Latitude: 47.1114225, Longitude: 9.9521519, Information Type: guidepost, Reference: VWW 5.217
Latitude: 47.1146930, Longitude: 9.9588736, Information Type: guidepost, Reference: VWW 5.216
Latitude: 47.1101851, Longitude: 9.9580388, Information Type: guidepost, Reference: VWW 5.218
Latitude: 47.0940478, Longitude: 9.9227787, Information Type: guidepost, Reference: VWW 5.168
Latitude: 47.0947891, Longitude: 9.9238302, Information Type: guidepost, Reference: VWW 5.169
Latitude: 47.1123603, Longitude: 9.8784202, Information Type: guidepost, Reference: VWW 5.128
Latitude: 47.1134363, Longitude: 9.8807192, Information Type: guidepost, Reference: VWW 5.130
Latitude: 47.1058996, Longitude: 9.8823286, Information Type: guidepost, Reference: VWW 5.132
Latitude: 47.1119554, Longitude: 9.8845346, Information Type: guidepost, Reference: VWW 5.133
Latitude: 47.1117528, Longitude: 9.8938842, Information Type: guidepost, Reference: N/A
Latitude: 47.1087829, Longitude: 9.8906666, Information Type: guidepost, Reference: VWW 5.116
Latitude: 47.1083679, Longitude: 9.8908298, Information Type: guidepost, Reference: VWW 5.115
Latitude: 47.1073486, Longitude: 9.8917553, Information Type: guidepost, Reference: VWW 5.114
Latitude: 47.1078662, Longitude: 9.9042077, Information Type: guidepost, Reference: VWW 5.200
Latitude: 47.1074585, Longitude: 9.9053376, Information Type: guidepost, Reference: VWW 5.201
Latitude: 47.1114928, Longitude: 9.9200947, Information Type: guidepost, Reference: VWW 5.210
Latitude: 47.1161664, Longitude: 9.9328098, Information Type: guidepost, Reference: VWW 5.213
Latitude: 47.1160547, Longitude: 9.9343460, Information Type: guidepost, Reference: VWW 5.211
Latitude: 47.1007927, Longitude: 9.9402375, Information Type: guidepost, Reference: VWW 5.178
Latitude: 47.1009899, Longitude: 9.9422759, Information Type: guidepost, Reference: N/A
Latitude: 47.1005259, Longitude: 9.9303414, Information Type: guidepost, Reference: VWW 5.173
Latitude: 47.1015320, Longitude: 9.9178817, Information Type: guidepost, Reference: VWW 5.165
Latitude: 47.1087668, Longitude: 9.9122930, Information Type: guidepost, Reference: N/A
Latitude: 47.1146737, Longitude: 9.9440682, Information Type: guidepost, Reference: VWW 5.214
Latitude: 47.1176771, Longitude: 9.9546727, Information Type: guidepost, Reference: VWW 5.215
Latitude: 47.1073749, Longitude: 9.9442080, Information Type: guidepost, Reference: VWW 5.184
Latitude: 47.0936177, Longitude: 9.8738403, Information Type: guidepost, Reference: VWW 5.003
Latitude: 47.0930732, Longitude: 9.8738558, Information Type: guidepost, Reference: VWW 91.036
Latitude: 47.0984012, Longitude: 9.8686654, Information Type: guidepost, Reference: VWW 5.001
Latitude: 47.1017261, Longitude: 9.9043116, Information Type: guidepost, Reference: VWW 5.112
Latitude: 47.0842916, Longitude: 9.9137516, Information Type: guidepost, Reference: VWW 5.029
Latitude: 47.0860769, Longitude: 9.9080733, Information Type: guidepost, Reference: VWW 5.039
Latitude: 47.0872361, Longitude: 9.8906689, Information Type: guidepost, Reference: VWW 78.010
Latitude: 47.0839734, Longitude: 9.9142668, Information Type: guidepost, Reference: VWW 5.031
Latitude: 47.0891394, Longitude: 9.9379145, Information Type: guidepost, Reference: VWW 78.032
Latitude: 47.0891350, Longitude: 9.9379924, Information Type: guidepost, Reference: VWW 5.066
