Latitude: 47.2072522, Longitude: 9.7498385, Information Type: guidepost, Reference: VWW 11.11
Latitude: 47.1961849, Longitude: 9.7188504, Information Type: guidepost, Reference: VWW 11.20
Latitude: 47.2000114, Longitude: 9.7185101, Information Type: guidepost, Reference: VWW 11.03
Latitude: 47.1793296, Longitude: 9.7385702, Information Type: guidepost, Reference: VWW 11.27
Latitude: 47.2002689, Longitude: 9.7468586, Information Type: guidepost, Reference: VWW 11.24
Latitude: 47.1983123, Longitude: 9.7474911, Information Type: guidepost, Reference: VWW 11.23
Latitude: 47.1968491, Longitude: 9.7434064, Information Type: guidepost, Reference: VWW 11.22
Latitude: 47.1972507, Longitude: 9.7413586, Information Type: guidepost, Reference: VWW 11.25
Latitude: 47.1853342, Longitude: 9.7292296, Information Type: guidepost, Reference: VWW 11.21
Latitude: 47.1935495, Longitude: 9.7177914, Information Type: guidepost, Reference: VWW 11.19
Latitude: 47.1930177, Longitude: 9.7157115, Information Type: guidepost, Reference: VWW 11.18
Latitude: 47.2048101, Longitude: 9.7362197, Information Type: guidepost, Reference: VWW 11.07
Latitude: 47.1984763, Longitude: 9.7131960, Information Type: guidepost, Reference: VWW 11.02
Latitude: 47.1968550, Longitude: 9.7152649, Information Type: guidepost, Reference: VWW 11.01
Latitude: 47.1977854, Longitude: 9.7419078, Information Type: guidepost, Reference: VWW 11.12
Latitude: 47.1995493, Longitude: 9.7471598, Information Type: guidepost, Reference: VWW 11.13
Latitude: 47.2016846, Longitude: 9.7319813, Information Type: guidepost, Reference: VWW 11.09
Latitude: 47.2023297, Longitude: 9.7418222, Information Type: guidepost, Reference: VWW 11.06
Latitude: 47.2018803, Longitude: 9.7422918, Information Type: guidepost, Reference: VWW 11.05
Latitude: 47.2006845, Longitude: 9.7469140, Information Type: guidepost, Reference: VWW 11.10
Latitude: 47.2054934, Longitude: 9.7238239, Information Type: guidepost, Reference: VWW 11.04
Latitude: 47.1938349, Longitude: 9.7388596, Information Type: guidepost, Reference: 11.1349.R
Latitude: 47.1945709, Longitude: 9.7437444, Information Type: guidepost, Reference: 11.1350.R
Latitude: 47.1931100, Longitude: 9.7158451, Information Type: guidepost, Reference: 11.1344.R
Latitude: 47.1992468, Longitude: 9.7473124, Information Type: guidepost, Reference: 11.1356.R
Latitude: 47.1983166, Longitude: 9.7474758, Information Type: guidepost, Reference: 11.1355.R
Latitude: 47.1941630, Longitude: 9.7216390, Information Type: guidepost, Reference: 11.1348.R
Latitude: 47.1921323, Longitude: 9.7140342, Information Type: guidepost, Reference: 11.1345.R
Latitude: 47.1968802, Longitude: 9.7438098, Information Type: guidepost, Reference: 11.1354.R
Latitude: 47.1933626, Longitude: 9.7158276, Information Type: guidepost, Reference: 11.1342.R
Latitude: 47.1931080, Longitude: 9.7158068, Information Type: guidepost, Reference: 11.1343.R
Latitude: 47.1923908, Longitude: 9.7215909, Information Type: guidepost, Reference: 11.1347.R
Latitude: 47.1936032, Longitude: 9.7177382, Information Type: guidepost, Reference: 11.1346.R
Latitude: 47.1968503, Longitude: 9.7152287, Information Type: guidepost, Reference: 11.1340.R
Latitude: 47.1964701, Longitude: 9.7152912, Information Type: guidepost, Reference: 11.1341.R
Latitude: 47.2002580, Longitude: 9.7468274, Information Type: guidepost, Reference: 11.1358.R
Latitude: 47.1995552, Longitude: 9.7471282, Information Type: guidepost, Reference: 11.1357.R
Latitude: 47.1969944, Longitude: 9.7410240, Information Type: guidepost, Reference: 11.1352.R
Latitude: 47.1972437, Longitude: 9.7417444, Information Type: guidepost, Reference: 11.1353.R
Latitude: 47.2072449, Longitude: 9.7499249, Information Type: guidepost, Reference: 11.11M
Latitude: 47.2006845, Longitude: 9.7469140, Information Type: guidepost, Reference: 11.10M
Latitude: 47.2054934, Longitude: 9.7238231, Information Type: guidepost, Reference: 11.04M
Latitude: 47.2023297, Longitude: 9.7418222, Information Type: guidepost, Reference: 11.06M
Latitude: 47.2038866, Longitude: 9.7416215, Information Type: guidepost, Reference: 11.16M
Latitude: 47.2042057, Longitude: 9.7377167, Information Type: guidepost, Reference: 11.15M
Latitude: 47.2048203, Longitude: 9.7362433, Information Type: guidepost, Reference: 11.07M
Latitude: 47.2052067, Longitude: 9.7500053, Information Type: guidepost, Reference: 11.14M
