Latitude: 47.0708310, Longitude: 9.6838666, Information Type: guidepost, Reference: VWW 12.084
Latitude: 47.0660667, Longitude: 9.6889372, Information Type: guidepost, Reference: VWW 12.086
Latitude: 47.0749909, Longitude: 9.7454130, Information Type: guidepost, Reference: VWW 12.098
Latitude: 47.0735553, Longitude: 9.6819040, Information Type: guidepost, Reference: VWW 12.083
Latitude: 47.1085328, Longitude: 9.6969480, Information Type: guidepost, Reference: VWW 12.062
Latitude: 47.0795409, Longitude: 9.6931159, Information Type: guidepost, Reference: VWW 12.080
Latitude: 47.0904489, Longitude: 9.6974992, Information Type: guidepost, Reference: VWW 12.078
Latitude: 47.1053977, Longitude: 9.6837198, Information Type: guidepost, Reference: VWW 12.063
Latitude: 47.1110482, Longitude: 9.7442688, Information Type: guidepost, Reference: VWW 12.024
Latitude: 47.0968103, Longitude: 9.7350818, Information Type: guidepost, Reference: VWW 12.042
Latitude: 47.1121997, Longitude: 9.7452915, Information Type: guidepost, Reference: VWW 12.022
Latitude: 47.0673971, Longitude: 9.6829699, Information Type: guidepost, Reference: N/A
Latitude: 47.0764298, Longitude: 9.6890927, Information Type: guidepost, Reference: VWW 12.081
Latitude: 47.0655304, Longitude: 9.6936465, Information Type: guidepost, Reference: VWW 12.087
Latitude: 47.0557959, Longitude: 9.6878723, Information Type: guidepost, Reference: N/A
Latitude: 47.0524745, Longitude: 9.6995891, Information Type: guidepost, Reference: N/A
Latitude: 47.1115696, Longitude: 9.7525029, Information Type: guidepost, Reference: VWW 12.005
Latitude: 47.0660605, Longitude: 9.7548327, Information Type: guidepost, Reference: VWW 12.110
Latitude: 47.0932005, Longitude: 9.7374354, Information Type: guidepost, Reference: VWW 12.011
Latitude: 47.0938789, Longitude: 9.7357714, Information Type: guidepost, Reference: VWW 12.043
Latitude: 47.0871461, Longitude: 9.7375809, Information Type: guidepost, Reference: VWW 12.012
Latitude: 47.0904462, Longitude: 9.7350109, Information Type: guidepost, Reference: VWW 12.068
Latitude: 47.0784553, Longitude: 9.7338162, Information Type: guidepost, Reference: VWW 12.095
Latitude: 47.0779484, Longitude: 9.7345820, Information Type: guidepost, Reference: N/A
Latitude: 47.0674842, Longitude: 9.7544081, Information Type: guidepost, Reference: VWW 12.107
Latitude: 47.0667530, Longitude: 9.7550064, Information Type: guidepost, Reference: VWW 12.096
