Latitude: 47.4728540, Longitude: 9.8067738, Information Type: guidepost, Reference: VWW 14.16
Latitude: 47.4748778, Longitude: 9.8093506, Information Type: guidepost, Reference: VWW 14.14
Latitude: 47.4801537, Longitude: 9.8245266, Information Type: guidepost, Reference: VWW 14.22
Latitude: 47.4724072, Longitude: 9.8094853, Information Type: guidepost, Reference: VWW 14.18
Latitude: 47.4718243, Longitude: 9.8098616, Information Type: guidepost, Reference: VWW 14.19
Latitude: 47.4816607, Longitude: 9.8157056, Information Type: guidepost, Reference: VWW 14.05
Latitude: 47.4766731, Longitude: 9.8029623, Information Type: guidepost, Reference: VWW 14.08
Latitude: 47.4795251, Longitude: 9.8053160, Information Type: guidepost, Reference: VWW 14.07
Latitude: 47.4794698, Longitude: 9.7985958, Information Type: guidepost, Reference: VWW 14.01
Latitude: 47.4813746, Longitude: 9.8045954, Information Type: guidepost, Reference: VWW 14.02
Latitude: 47.4763177, Longitude: 9.8128559, Information Type: guidepost, Reference: VWW 14.15
Latitude: 47.4774796, Longitude: 9.8189116, Information Type: guidepost, Reference: VWW 14.10
Latitude: 47.4765507, Longitude: 9.8168694, Information Type: guidepost, Reference: VWW 14.11
Latitude: 47.4765902, Longitude: 9.8149118, Information Type: guidepost, Reference: VWW 14.12
Latitude: 47.4832237, Longitude: 9.8094432, Information Type: guidepost, Reference: VWW 14.04
Latitude: 47.4827909, Longitude: 9.8076395, Information Type: guidepost, Reference: VWW 14.03
Latitude: 47.4794338, Longitude: 9.8158646, Information Type: guidepost, Reference: VWW 14.13
Latitude: 47.4814903, Longitude: 9.8179905, Information Type: guidepost, Reference: VWW 14.06
Latitude: 47.4809081, Longitude: 9.8176233, Information Type: guidepost, Reference: VWW 14.09
Latitude: 47.4792466, Longitude: 9.8179105, Information Type: guidepost, Reference: VWW 14.20
Latitude: 47.4811609, Longitude: 9.8226619, Information Type: guidepost, Reference: VWW 14.21
Latitude: 47.4861147, Longitude: 9.8210316, Information Type: guidepost, Reference: 14.550.R
Latitude: 47.4821148, Longitude: 9.8225979, Information Type: guidepost, Reference: 14.551.R
Latitude: 47.4821703, Longitude: 9.8053702, Information Type: guidepost, Reference: 14.549.R
Latitude: 47.4771612, Longitude: 9.7898163, Information Type: guidepost, Reference: 14.455.R
Latitude: 47.4820816, Longitude: 9.8224124, Information Type: guidepost, Reference: 14.1539.R
