Latitude: 47.2361737, Longitude: 9.7339586, Information Type: guidepost, Reference: VWW 22.08
Latitude: 47.2362391, Longitude: 9.7326545, Information Type: guidepost, Reference: VWW 22.07
Latitude: 47.2292933, Longitude: 9.7372705, Information Type: guidepost, Reference: VWW 22.14
Latitude: 47.2339762, Longitude: 9.7089281, Information Type: guidepost, Reference: VWW 22.19
Latitude: 47.2233581, Longitude: 9.7364440, Information Type: guidepost, Reference: VWW 22.11
Latitude: 47.2259042, Longitude: 9.7393283, Information Type: guidepost, Reference: VWW 22.12
Latitude: 47.2385304, Longitude: 9.7257957, Information Type: guidepost, Reference: VWW 22.28
Latitude: 47.2386346, Longitude: 9.7126082, Information Type: guidepost, Reference: VWW 22.18
Latitude: 47.2377332, Longitude: 9.7376889, Information Type: guidepost, Reference: VWW 22.22
Latitude: 47.2376443, Longitude: 9.7371705, Information Type: guidepost, Reference: VWW 22.21
Latitude: 47.2360493, Longitude: 9.7325118, Information Type: guidepost, Reference: VWW 22.06
Latitude: 47.2329951, Longitude: 9.7344713, Information Type: guidepost, Reference: VWW 22.25
Latitude: 47.2303486, Longitude: 9.7344801, Information Type: guidepost, Reference: VWW 22.26
Latitude: 47.2273047, Longitude: 9.7233035, Information Type: guidepost, Reference: VWW 22.01
Latitude: 47.2314268, Longitude: 9.7316524, Information Type: guidepost, Reference: VWW 22.24
Latitude: 47.2287752, Longitude: 9.7384532, Information Type: guidepost, Reference: VWW 22.13
Latitude: 47.2287844, Longitude: 9.7389266, Information Type: guidepost, Reference: VWW 22.27
Latitude: 47.2192679, Longitude: 9.7413962, Information Type: guidepost, Reference: VWW 22.16
Latitude: 47.2229982, Longitude: 9.7347883, Information Type: guidepost, Reference: VWW 22.09
Latitude: 47.2233658, Longitude: 9.7357890, Information Type: guidepost, Reference: VWW 22.10
Latitude: 47.2223094, Longitude: 9.7388075, Information Type: guidepost, Reference: VWW 22.04
Latitude: 47.2299831, Longitude: 9.7263194, Information Type: guidepost, Reference: VWW 22.02
Latitude: 47.2330423, Longitude: 9.7224682, Information Type: guidepost, Reference: VWW 22.30
Latitude: 47.2330923, Longitude: 9.7210820, Information Type: guidepost, Reference: VWW 22.23
Latitude: 47.2307231, Longitude: 9.7108975, Information Type: guidepost, Reference: VWW 22.29
Latitude: 47.2378565, Longitude: 9.7262820, Information Type: guidepost, Reference: VWW 22.20
Latitude: 47.2387355, Longitude: 9.7250748, Information Type: guidepost, Reference: VWW 22.15
Latitude: 47.2207428, Longitude: 9.7428377, Information Type: guidepost, Reference: VWW 22.17
Latitude: 47.2287753, Longitude: 9.7384526, Information Type: guidepost, Reference: 22.13W
Latitude: 47.2338268, Longitude: 9.7085318, Information Type: guidepost, Reference: 22.19W
Latitude: 47.2378565, Longitude: 9.7262820, Information Type: guidepost, Reference: 22.20W
Latitude: 47.2287590, Longitude: 9.7346911, Information Type: guidepost, Reference: 22.35W
Latitude: 47.2265377, Longitude: 9.7254752, Information Type: guidepost, Reference: 22.36W
Latitude: 47.2369003, Longitude: 9.7290637, Information Type: guidepost, Reference: 22.37W
Latitude: 47.2381243, Longitude: 9.7275346, Information Type: guidepost, Reference: 22.38W
Latitude: 47.2386346, Longitude: 9.7126082, Information Type: guidepost, Reference: 22.18M
Latitude: 47.2362433, Longitude: 9.7326947, Information Type: guidepost, Reference: 22.07M
Latitude: 47.2361598, Longitude: 9.7340431, Information Type: guidepost, Reference: 22.08M
Latitude: 47.2330423, Longitude: 9.7224682, Information Type: guidepost, Reference: 22.30M
Latitude: 47.2370361, Longitude: 9.7197333, Information Type: guidepost, Reference: 22.31M
Latitude: 47.2343863, Longitude: 9.7382904, Information Type: guidepost, Reference: 22.33M
Latitude: 47.2307231, Longitude: 9.7108975, Information Type: guidepost, Reference: 22.29M
Latitude: 47.2207385, Longitude: 9.7428307, Information Type: guidepost, Reference: 22.32M
Latitude: 47.2223026, Longitude: 9.7388011, Information Type: guidepost, Reference: 22.04M
Latitude: 47.2287796, Longitude: 9.7389206, Information Type: guidepost, Reference: 22.27M
Latitude: 47.2330923, Longitude: 9.7210820, Information Type: guidepost, Reference: 22.23M
Latitude: 47.2265377, Longitude: 9.7254752, Information Type: guidepost, Reference: 22.36M
Latitude: 47.2338268, Longitude: 9.7085318, Information Type: guidepost, Reference: 22.19M
Latitude: 47.2287574, Longitude: 9.7346864, Information Type: guidepost, Reference: 22.35M
