Latitude: 47.2624376, Longitude: 9.9239012, Information Type: guidepost, Reference: VWW 26.77
Latitude: 47.2633423, Longitude: 9.9151946, Information Type: guidepost, Reference: VWW 26.54
Latitude: 47.2647921, Longitude: 9.9247930, Information Type: guidepost, Reference: VWW 26.51
Latitude: 47.2661678, Longitude: 9.9321391, Information Type: guidepost, Reference: VWW 26.50
Latitude: 47.2664965, Longitude: 9.9320439, Information Type: guidepost, Reference: N/A
Latitude: 47.2668943, Longitude: 9.9319232, Information Type: guidepost, Reference: VWW 26.49
Latitude: 47.2682607, Longitude: 9.9080613, Information Type: guidepost, Reference: VWW 26.55
Latitude: 47.2625783, Longitude: 9.9286271, Information Type: guidepost, Reference: VWW 26.52
Latitude: 47.2739044, Longitude: 9.8557918, Information Type: guidepost, Reference: VWW 26.13
Latitude: 47.2752911, Longitude: 9.8580596, Information Type: guidepost, Reference: VWW 26.14
Latitude: 47.2708655, Longitude: 9.8856837, Information Type: guidepost, Reference: VWW 26.24
Latitude: 47.2711797, Longitude: 9.8868253, Information Type: guidepost, Reference: VWW 26.23
Latitude: 47.2741300, Longitude: 9.9020465, Information Type: guidepost, Reference: VWW 26.21
Latitude: 47.2692498, Longitude: 9.9076858, Information Type: guidepost, Reference: VWW 26.93
Latitude: 47.2653926, Longitude: 9.9109578, Information Type: guidepost, Reference: VWW 26.99
Latitude: 47.2503090, Longitude: 9.9218683, Information Type: guidepost, Reference: VWW 26.65
Latitude: 47.2488685, Longitude: 9.9280280, Information Type: guidepost, Reference: VWW 26.66
Latitude: 47.2475962, Longitude: 9.9279003, Information Type: guidepost, Reference: VWW 26.59
Latitude: 47.2595360, Longitude: 9.9231648, Information Type: guidepost, Reference: VWW 26.53
Latitude: 47.2582406, Longitude: 9.9465053, Information Type: guidepost, Reference: VWW 26.78
Latitude: 47.2436322, Longitude: 9.8779925, Information Type: guidepost, Reference: VWW 26.19
Latitude: 47.2457760, Longitude: 9.8764690, Information Type: guidepost, Reference: VWW 26.11
Latitude: 47.2505883, Longitude: 9.8757985, Information Type: guidepost, Reference: VWW 26.12
Latitude: 47.2683241, Longitude: 9.9076026, Information Type: guidepost, Reference: VWW 26.98
Latitude: 47.2718239, Longitude: 9.9072224, Information Type: unknown, Reference: VWW 26.20
Latitude: 47.2727190, Longitude: 9.9076216, Information Type: guidepost, Reference: VWW 26.40
Latitude: 47.2550290, Longitude: 9.9140592, Information Type: guidepost, Reference: VWW 26.62
Latitude: 47.2715072, Longitude: 9.9067066, Information Type: guidepost, Reference: VWW 26.92
Latitude: 47.2538710, Longitude: 9.9164746, Information Type: guidepost, Reference: VWW 26.57
Latitude: 47.2473192, Longitude: 9.9276358, Information Type: guidepost, Reference: VWW 26.67
Latitude: 47.2461693, Longitude: 9.9267798, Information Type: guidepost, Reference: VWW 26.82
Latitude: 47.2550771, Longitude: 9.9180214, Information Type: guidepost, Reference: VWW 26.58
Latitude: 47.2613492, Longitude: 9.9330315, Information Type: guidepost, Reference: VWW 26.70
Latitude: 47.2496993, Longitude: 9.9312540, Information Type: guidepost, Reference: VWW 26.69
Latitude: 47.2501231, Longitude: 9.9245885, Information Type: guidepost, Reference: VWW 26.81
Latitude: 47.2511832, Longitude: 9.9238904, Information Type: guidepost, Reference: VWW 26.56
Latitude: 47.2553768, Longitude: 9.9173587, Information Type: guidepost, Reference: VWW 26.63
Latitude: 47.2498033, Longitude: 9.9082513, Information Type: guidepost, Reference: VWW 26.83
Latitude: 47.2504713, Longitude: 9.9156476, Information Type: guidepost, Reference: VWW 26.80
Latitude: 47.2777168, Longitude: 9.8928075, Information Type: guidepost, Reference: VWW 26.88
Latitude: 47.2701011, Longitude: 9.8841523, Information Type: guidepost, Reference: VWW 26.25
Latitude: 47.2687309, Longitude: 9.8830534, Information Type: guidepost, Reference: VWW 26.29
Latitude: 47.2692873, Longitude: 9.8785486, Information Type: guidepost, Reference: VWW 26.26
Latitude: 47.2679466, Longitude: 9.8771643, Information Type: guidepost, Reference: VWW 26.27
Latitude: 47.2705598, Longitude: 9.8745265, Information Type: guidepost, Reference: VWW 26.76
Latitude: 47.2777578, Longitude: 9.8982761, Information Type: guidepost, Reference: VWW 26.87
Latitude: 47.2771525, Longitude: 9.9023680, Information Type: guidepost, Reference: VWW 26.41
Latitude: 47.2773908, Longitude: 9.9049930, Information Type: guidepost, Reference: VWW 26.74
Latitude: 47.2798886, Longitude: 9.9140376, Information Type: guidepost, Reference: VWW 26.73
Latitude: 47.2730998, Longitude: 9.9071190, Information Type: guidepost, Reference: VWW 26.89
Latitude: 47.2723814, Longitude: 9.9073929, Information Type: guidepost, Reference: VWW 26.91
Latitude: 47.2718640, Longitude: 9.9082657, Information Type: guidepost, Reference: VWW 26.90
Latitude: 47.2718623, Longitude: 9.9072279, Information Type: guidepost, Reference: VWW 26.20
Latitude: 47.2719061, Longitude: 9.8984233, Information Type: guidepost, Reference: VWW 26.22
Latitude: 47.2689837, Longitude: 9.8905358, Information Type: guidepost, Reference: VWW 26.30
Latitude: 47.2641567, Longitude: 9.8834408, Information Type: guidepost, Reference: VWW 26.28
Latitude: 47.2682770, Longitude: 9.8890822, Information Type: guidepost, Reference: VWW 26.32
Latitude: 47.2684759, Longitude: 9.8899577, Information Type: guidepost, Reference: VWW 26.31
