Latitude: 47.4582393, Longitude: 9.6658435, Information Type: guidepost, Reference: VWW 29.11
Latitude: 47.4675293, Longitude: 9.6587081, Information Type: guidepost, Reference: VWW 29.10
Latitude: 47.4873534, Longitude: 9.6467409, Information Type: guidepost, Reference: VWW 29.16
Latitude: 47.4780001, Longitude: 9.6676130, Information Type: guidepost, Reference: VWW 29.08
Latitude: 47.4663447, Longitude: 9.6669084, Information Type: guidepost, Reference: VWW 29.18
Latitude: 47.4669109, Longitude: 9.6587110, Information Type: guidepost, Reference: VWW 29.19
Latitude: 47.4633605, Longitude: 9.6587686, Information Type: guidepost, Reference: VWW 29.20
Latitude: 47.4794461, Longitude: 9.6600378, Information Type: guidepost, Reference: VWW 29.17
Latitude: 47.4782704, Longitude: 9.6650903, Information Type: guidepost, Reference: VWW 29.07
Latitude: 47.4645645, Longitude: 9.6757427, Information Type: guidepost, Reference: VWW 29.12
Latitude: 47.4764268, Longitude: 9.6534523, Information Type: guidepost, Reference: VWW 29.09
Latitude: 47.4784644, Longitude: 9.6639172, Information Type: guidepost, Reference: VWW 29.01
Latitude: 47.4804820, Longitude: 9.6632870, Information Type: guidepost, Reference: VWW 29.02
Latitude: 47.4827504, Longitude: 9.6599590, Information Type: guidepost, Reference: VWW 29.03
Latitude: 47.4870535, Longitude: 9.6644703, Information Type: guidepost, Reference: VWW 29.06
Latitude: 47.4865010, Longitude: 9.6549318, Information Type: guidepost, Reference: VWW 29.04
Latitude: 47.4977328, Longitude: 9.6309388, Information Type: guidepost, Reference: VWW 29.05
