Latitude: 47.4367823, Longitude: 10.0850984, Information Type: guidepost, Reference: VWW 35.79
Latitude: 47.4508153, Longitude: 10.0647188, Information Type: guidepost, Reference: VWW 35.95
Latitude: 47.4359164, Longitude: 10.0850433, Information Type: guidepost, Reference: VWW 35.80
Latitude: 47.4576147, Longitude: 10.0901784, Information Type: guidepost, Reference: VWW 35.73
Latitude: 47.4313517, Longitude: 10.0942092, Information Type: guidepost, Reference: VWW 35.75
Latitude: 47.4874927, Longitude: 10.0426734, Information Type: guidepost, Reference: N/A
Latitude: 47.4874972, Longitude: 10.0444796, Information Type: guidepost, Reference: VWW 35.85
Latitude: 47.4333008, Longitude: 10.0900429, Information Type: guidepost, Reference: VWW 35.77
Latitude: 47.4470920, Longitude: 10.0895566, Information Type: guidepost, Reference: VWW 35.76
Latitude: 47.4634402, Longitude: 9.9518236, Information Type: guidepost, Reference: VWW 35.13
Latitude: 47.4636215, Longitude: 9.9517860, Information Type: guidepost, Reference: VWW 35.12
Latitude: 47.4637316, Longitude: 9.9361254, Information Type: guidepost, Reference: VWW 35.88
Latitude: 47.4505866, Longitude: 9.9951122, Information Type: guidepost, Reference: VWW 35.25
Latitude: 47.4474345, Longitude: 9.9926823, Information Type: guidepost, Reference: VWW 35.33
Latitude: 47.4535428, Longitude: 9.9821846, Information Type: guidepost, Reference: VWW 35.108
Latitude: 47.4543768, Longitude: 9.9947075, Information Type: guidepost, Reference: VWW 35.109
Latitude: 47.4662069, Longitude: 9.9618699, Information Type: guidepost, Reference: VWW 35.107
Latitude: 47.4612342, Longitude: 9.9846901, Information Type: guidepost, Reference: VWW 35.22
Latitude: 47.4497178, Longitude: 10.0093320, Information Type: guidepost, Reference: VWW 35.105
Latitude: 47.4539968, Longitude: 10.0374376, Information Type: guidepost, Reference: VWW 35.106
Latitude: 47.4647351, Longitude: 9.9503326, Information Type: guidepost, Reference: VWW 35.102
Latitude: 47.4637417, Longitude: 9.9530257, Information Type: guidepost, Reference: VWW 35.101
Latitude: 47.4625808, Longitude: 9.9548782, Information Type: guidepost, Reference: VWW 35.100
Latitude: 47.4755709, Longitude: 9.9376654, Information Type: guidepost, Reference: VWW 35.18
Latitude: 47.4818063, Longitude: 9.9978990, Information Type: guidepost, Reference: VWW 35.94
Latitude: 47.4803244, Longitude: 9.9923651, Information Type: guidepost, Reference: VWW 35.46
Latitude: 47.4808963, Longitude: 9.9847703, Information Type: guidepost, Reference: VWW 35.47
Latitude: 47.4834976, Longitude: 9.9848904, Information Type: guidepost, Reference: VWW 35.48
Latitude: 47.4708897, Longitude: 10.0383256, Information Type: guidepost, Reference: VWW 35.65
Latitude: 47.4669771, Longitude: 9.9972842, Information Type: guidepost, Reference: VWW 35.43
Latitude: 47.4618438, Longitude: 9.9701331, Information Type: guidepost, Reference: VWW 35.20
Latitude: 47.4614131, Longitude: 9.9639168, Information Type: guidepost, Reference: VWW 35.87
Latitude: 47.4629209, Longitude: 9.9607556, Information Type: guidepost, Reference: VWW 35.86
Latitude: 47.4613791, Longitude: 9.9629196, Information Type: guidepost, Reference: VWW 35.08
Latitude: 47.4612728, Longitude: 9.9586756, Information Type: guidepost, Reference: VWW 35.09
Latitude: 47.4592112, Longitude: 9.9644922, Information Type: guidepost, Reference: VWW 35.07
Latitude: 47.4647091, Longitude: 9.9889050, Information Type: guidepost, Reference: VWW 35.23
Latitude: 47.4604592, Longitude: 9.9761207, Information Type: guidepost, Reference: VWW 35.21
Latitude: 47.4556114, Longitude: 9.9537454, Information Type: guidepost, Reference: VWW 35.06
Latitude: 47.4576324, Longitude: 9.9599544, Information Type: guidepost, Reference: VWW 35.01
Latitude: 47.4575516, Longitude: 9.9605812, Information Type: guidepost, Reference: VWW 35.02
Latitude: 47.4566229, Longitude: 9.9650386, Information Type: guidepost, Reference: VWW 35.03
Latitude: 47.4550389, Longitude: 9.9673199, Information Type: guidepost, Reference: VWW 35.04
Latitude: 47.4592403, Longitude: 9.9791322, Information Type: guidepost, Reference: VWW 35.82
Latitude: 47.4543424, Longitude: 9.9751533, Information Type: guidepost, Reference: VWW 35.83
Latitude: 47.4521834, Longitude: 9.9606871, Information Type: guidepost, Reference: VWW 35.29
Latitude: 47.4534161, Longitude: 9.9685728, Information Type: guidepost, Reference: VWW 35.05
Latitude: 47.4481844, Longitude: 9.9714400, Information Type: guidepost, Reference: VWW 35.28
Latitude: 47.4494592, Longitude: 9.9709871, Information Type: guidepost, Reference: VWW 35.27
Latitude: 47.4489343, Longitude: 9.9741334, Information Type: guidepost, Reference: VWW 35.30
Latitude: 47.4445278, Longitude: 9.9788834, Information Type: guidepost, Reference: VWW 35.31
Latitude: 47.4467645, Longitude: 9.9839897, Information Type: guidepost, Reference: VWW 35.32
Latitude: 47.4536014, Longitude: 9.9791537, Information Type: guidepost, Reference: VWW 35.26
Latitude: 47.4523477, Longitude: 9.9936519, Information Type: guidepost, Reference: VWW 35.17
Latitude: 47.4455814, Longitude: 10.0051630, Information Type: guidepost, Reference: VWW 35.34
Latitude: 47.4438970, Longitude: 10.0040216, Information Type: guidepost, Reference: VWW 35.35
Latitude: 47.4411909, Longitude: 10.0042959, Information Type: guidepost, Reference: VWW 35.36
Latitude: 47.4386723, Longitude: 10.0020158, Information Type: guidepost, Reference: VWW 35.81
Latitude: 47.4382650, Longitude: 10.0005442, Information Type: guidepost, Reference: VWW 35.37
Latitude: 47.4347014, Longitude: 9.9998156, Information Type: guidepost, Reference: VWW 35.38
Latitude: 47.4428760, Longitude: 10.0770538, Information Type: guidepost, Reference: VWW 35.78
Latitude: 47.4420677, Longitude: 10.0754286, Information Type: guidepost, Reference: VWW 81.10
Latitude: 47.4447488, Longitude: 10.0735707, Information Type: guidepost, Reference: VWW 35.96
Latitude: 47.4532447, Longitude: 10.0500146, Information Type: guidepost, Reference: VWW 35.72
Latitude: 47.4516480, Longitude: 10.0370016, Information Type: guidepost, Reference: VWW 35.70
Latitude: 47.4513375, Longitude: 10.0349099, Information Type: guidepost, Reference: VWW 35.71
Latitude: 47.4551857, Longitude: 9.9982703, Information Type: guidepost, Reference: VWW 35.24
Latitude: 47.4479987, Longitude: 10.0106319, Information Type: guidepost, Reference: VWW 35.39
Latitude: 47.4530755, Longitude: 10.0061091, Information Type: guidepost, Reference: VWW 35.16
Latitude: 47.4625383, Longitude: 10.0262971, Information Type: guidepost, Reference: VWW 35.67
Latitude: 47.4559201, Longitude: 10.0074510, Information Type: guidepost, Reference: VWW 35.15
Latitude: 47.4590935, Longitude: 10.0052295, Information Type: guidepost, Reference: VWW 35.40
Latitude: 47.4658354, Longitude: 10.0088472, Information Type: guidepost, Reference: VWW 35.41
Latitude: 47.4682527, Longitude: 10.0394710, Information Type: guidepost, Reference: VWW 35.66
Latitude: 47.4694024, Longitude: 10.0488315, Information Type: guidepost, Reference: VWW 35.64
Latitude: 47.4757716, Longitude: 10.0400888, Information Type: guidepost, Reference: VWW 35.61
Latitude: 47.4844167, Longitude: 10.0366059, Information Type: guidepost, Reference: VWW 35.84
Latitude: 47.4782934, Longitude: 10.0242256, Information Type: guidepost, Reference: VWW 35.56
Latitude: 47.4745408, Longitude: 10.0325211, Information Type: guidepost, Reference: VWW 35.60
Latitude: 47.4730332, Longitude: 10.0265007, Information Type: guidepost, Reference: VWW 35.59
Latitude: 47.4727857, Longitude: 10.0243397, Information Type: guidepost, Reference: VWW 35.58
Latitude: 47.4663579, Longitude: 10.0037620, Information Type: guidepost, Reference: VWW 35.42
Latitude: 47.4777092, Longitude: 10.0162408, Information Type: guidepost, Reference: VWW 35.52
Latitude: 47.4762780, Longitude: 10.0104180, Information Type: guidepost, Reference: VWW 35.51
Latitude: 47.4713812, Longitude: 9.9939374, Information Type: guidepost, Reference: VWW 35.44
Latitude: 47.4750678, Longitude: 9.9909219, Information Type: guidepost, Reference: VWW 35.45
Latitude: 47.4644244, Longitude: 9.9579358, Information Type: guidepost, Reference: VWW 35.10
Latitude: 47.4661558, Longitude: 9.9590733, Information Type: guidepost, Reference: VWW 35.14
Latitude: 47.4724738, Longitude: 9.9689223, Information Type: guidepost, Reference: VWW 35.19
Latitude: 47.4643670, Longitude: 9.9554068, Information Type: guidepost, Reference: VWW 35.11
Latitude: 47.4754846, Longitude: 10.0494916, Information Type: guidepost, Reference: VWW 35.63
Latitude: 47.4623359, Longitude: 10.0538414, Information Type: guidepost, Reference: VWW 35.69
Latitude: 47.4757962, Longitude: 10.0445220, Information Type: guidepost, Reference: VWW 35.62
Latitude: 47.4845777, Longitude: 10.0166474, Information Type: guidepost, Reference: VWW 35.55
Latitude: 47.4818001, Longitude: 10.0023300, Information Type: guidepost, Reference: VWW 35.50
