Latitude: 47.5698673, Longitude: 9.7707023, Information Type: guidepost, Reference: VWW 39.28
Latitude: 47.5690634, Longitude: 9.7741890, Information Type: guidepost, Reference: VWW 39.25
Latitude: 47.5694177, Longitude: 9.7752912, Information Type: guidepost, Reference: VWW 39.26
Latitude: 47.5725787, Longitude: 9.7834045, Information Type: guidepost, Reference: VWW 39.09
Latitude: 47.5703146, Longitude: 9.7812257, Information Type: guidepost, Reference: VWW 39.10
Latitude: 47.5746908, Longitude: 9.7724939, Information Type: guidepost, Reference: VWW 39.30
Latitude: 47.5745584, Longitude: 9.7805852, Information Type: guidepost, Reference: VWW 39.08
Latitude: 47.5711766, Longitude: 9.7776441, Information Type: guidepost, Reference: VWW 39.11
Latitude: 47.5716770, Longitude: 9.7751593, Information Type: guidepost, Reference: VWW 39.27
Latitude: 47.5721994, Longitude: 9.7707588, Information Type: guidepost, Reference: VWW 39.13
Latitude: 47.5706669, Longitude: 9.7694343, Information Type: guidepost, Reference: VWW 39.14
Latitude: 47.5752869, Longitude: 9.7639790, Information Type: guidepost, Reference: VWW 39.21
Latitude: 47.5763114, Longitude: 9.7632617, Information Type: guidepost, Reference: VWW 39.20
Latitude: 47.5810450, Longitude: 9.7852536, Information Type: guidepost, Reference: VWW 39.06
Latitude: 47.5758718, Longitude: 9.7819088, Information Type: guidepost, Reference: VWW 39.07
Latitude: 47.5793711, Longitude: 9.7759662, Information Type: guidepost, Reference: VWW 39.15
Latitude: 47.5797121, Longitude: 9.7764741, Information Type: guidepost, Reference: VWW 39.16
Latitude: 47.5802897, Longitude: 9.7768926, Information Type: guidepost, Reference: VWW 39.29
Latitude: 47.5789459, Longitude: 9.7662658, Information Type: guidepost, Reference: VWW 39.19
Latitude: 47.5832128, Longitude: 9.7671447, Information Type: guidepost, Reference: VWW 39.22
Latitude: 47.5831599, Longitude: 9.7848911, Information Type: guidepost, Reference: VWW 39.05
Latitude: 47.5853851, Longitude: 9.7796476, Information Type: guidepost, Reference: VWW 39.04
Latitude: 47.5814663, Longitude: 9.7771902, Information Type: guidepost, Reference: VWW 39.17
Latitude: 47.5839561, Longitude: 9.7743011, Information Type: guidepost, Reference: VWW 39.18
Latitude: 47.5884487, Longitude: 9.7813690, Information Type: guidepost, Reference: VWW 39.01
Latitude: 47.5878935, Longitude: 9.7842928, Information Type: guidepost, Reference: VWW 39.02
Latitude: 47.5832131, Longitude: 9.7671480, Information Type: guidepost, Reference: 39.002.R
Latitude: 47.5781284, Longitude: 9.7649362, Information Type: guidepost, Reference: 39.006.R
Latitude: 47.5777704, Longitude: 9.7628777, Information Type: guidepost, Reference: 39.007.R
Latitude: 47.5790652, Longitude: 9.7642334, Information Type: guidepost, Reference: 39.005.R
Latitude: 47.5885256, Longitude: 9.7812002, Information Type: guidepost, Reference: 39.001.R
Latitude: 47.5885381, Longitude: 9.7811908, Information Type: guidepost, Reference: 39.1501.R
Latitude: 47.5830163, Longitude: 9.7668058, Information Type: guidepost, Reference: 39.003.R
Latitude: 47.5855805, Longitude: 9.7646390, Information Type: guidepost, Reference: 39.1502.R
Latitude: 47.5844868, Longitude: 9.7647049, Information Type: guidepost, Reference: 39.004.R
