Latitude: 47.4574292, Longitude: 9.6394024, Information Type: guidepost, Reference: VWW 36.01
Latitude: 47.4569361, Longitude: 9.6382725, Information Type: guidepost, Reference: VWW 36.02
Latitude: 47.4548809, Longitude: 9.6561882, Information Type: guidepost, Reference: VWW 36.03
Latitude: 47.4542005, Longitude: 9.6587073, Information Type: guidepost, Reference: VWW 36.04
Latitude: 47.4523992, Longitude: 9.6611410, Information Type: guidepost, Reference: VWW 36.05
Latitude: 47.4567694, Longitude: 9.6346211, Information Type: guidepost, Reference: VWW 36.06
Latitude: 47.4666496, Longitude: 9.6150453, Information Type: guidepost, Reference: VWW 36.07
Latitude: 47.4699341, Longitude: 9.6129486, Information Type: guidepost, Reference: VWW 36.08
Latitude: 47.4775832, Longitude: 9.6102746, Information Type: guidepost, Reference: VWW 36.09
Latitude: 47.4873940, Longitude: 9.6024177, Information Type: guidepost, Reference: VWW 36.10
Latitude: 47.4904676, Longitude: 9.6131555, Information Type: guidepost, Reference: VWW 36.11
Latitude: 47.4910101, Longitude: 9.6156381, Information Type: guidepost, Reference: VWW 36.12
Latitude: 47.4956999, Longitude: 9.6276007, Information Type: guidepost, Reference: VWW 36.13
Latitude: 47.4812734, Longitude: 9.5962666, Information Type: guidepost, Reference: VWW 30.11
Latitude: 47.4846742, Longitude: 9.6238808, Information Type: guidepost, Reference: VWW 36.14
Latitude: 47.4813552, Longitude: 9.6394070, Information Type: guidepost, Reference: VWW 36.15
Latitude: 47.4774448, Longitude: 9.6450630, Information Type: guidepost, Reference: VWW 36.16
Latitude: 47.4694404, Longitude: 9.6549621, Information Type: guidepost, Reference: VWW 36.17
Latitude: 47.4668233, Longitude: 9.6512676, Information Type: guidepost, Reference: VWW 36.18
Latitude: 47.4682702, Longitude: 9.6425181, Information Type: guidepost, Reference: VWW 36.19
Latitude: 47.4677660, Longitude: 9.6396691, Information Type: guidepost, Reference: VWW 36.20
Latitude: 47.4596086, Longitude: 9.6379347, Information Type: guidepost, Reference: VWW 36.21
Latitude: 47.4674288, Longitude: 9.6374412, Information Type: guidepost, Reference: VWW 36.22
Latitude: 47.4687128, Longitude: 9.6256706, Information Type: guidepost, Reference: VWW 36.23
Latitude: 47.4710178, Longitude: 9.6199699, Information Type: guidepost, Reference: VWW 36.24
Latitude: 47.4754234, Longitude: 9.6205797, Information Type: guidepost, Reference: VWW 36.25
Latitude: 47.4756877, Longitude: 9.6171871, Information Type: guidepost, Reference: VWW 36.26
Latitude: 47.4766103, Longitude: 9.6071683, Information Type: guidepost, Reference: VWW 36.27
Latitude: 47.4717173, Longitude: 9.6091430, Information Type: guidepost, Reference: VWW 36.28
Latitude: 47.4574881, Longitude: 9.6389327, Information Type: guidepost, Reference: VWW 36.29
Latitude: 47.4666995, Longitude: 9.6156958, Information Type: guidepost, Reference: VWW 36.30
Latitude: 47.4574054, Longitude: 9.6396552, Information Type: guidepost, Reference: VWW 36.31
Latitude: 47.4676567, Longitude: 9.6480605, Information Type: guidepost, Reference: VWW 36.32
Latitude: 47.4591581, Longitude: 9.6400249, Information Type: guidepost, Reference: VWW 36.33
