Latitude: 47.5245985, Longitude: 9.8232506, Information Type: guidepost, Reference: VWW 46.31
Latitude: 47.5251588, Longitude: 9.8219940, Information Type: guidepost, Reference: VWW 46.30
Latitude: 47.5221939, Longitude: 9.8219743, Information Type: guidepost, Reference: VWW 46.32
Latitude: 47.5091521, Longitude: 9.8111414, Information Type: guidepost, Reference: VWW 46.43
Latitude: 47.5245743, Longitude: 9.8126884, Information Type: guidepost, Reference: VWW 46.28
Latitude: 47.5285624, Longitude: 9.8172645, Information Type: guidepost, Reference: VWW 46.29
Latitude: 47.5189641, Longitude: 9.8220080, Information Type: guidepost, Reference: VWW 46.33
Latitude: 47.5132388, Longitude: 9.8169883, Information Type: guidepost, Reference: VWW 46.34
Latitude: 47.5370372, Longitude: 9.8469857, Information Type: guidepost, Reference: VWW 46.20
Latitude: 47.5354521, Longitude: 9.8469682, Information Type: guidepost, Reference: VWW 46.19
Latitude: 47.5304399, Longitude: 9.8397912, Information Type: guidepost, Reference: VWW 46.18
Latitude: 47.5291345, Longitude: 9.8377880, Information Type: guidepost, Reference: VWW 46.17
Latitude: 47.5395401, Longitude: 9.8413667, Information Type: guidepost, Reference: VWW 46.23
Latitude: 47.5209572, Longitude: 9.8324331, Information Type: guidepost, Reference: VWW 46.16
Latitude: 47.5223328, Longitude: 9.8334925, Information Type: guidepost, Reference: VWW 46.15
Latitude: 47.5067964, Longitude: 9.8055036, Information Type: guidepost, Reference: VWW 46.44
Latitude: 47.5087631, Longitude: 9.8281535, Information Type: guidepost, Reference: VWW 46.52
Latitude: 47.5137080, Longitude: 9.8289456, Information Type: guidepost, Reference: VWW 46.55
Latitude: 47.5400907, Longitude: 9.8303651, Information Type: guidepost, Reference: VWW 46.60
Latitude: 47.5104141, Longitude: 9.8384075, Information Type: guidepost, Reference: VWW 46.59
Latitude: 47.5221274, Longitude: 9.8456513, Information Type: guidepost, Reference: VWW 46.58
Latitude: 47.5170497, Longitude: 9.8252992, Information Type: guidepost, Reference: VWW 46.56
Latitude: 47.5164120, Longitude: 9.8206749, Information Type: guidepost, Reference: VWW 46.57
Latitude: 47.5102188, Longitude: 9.8276984, Information Type: guidepost, Reference: VWW 46.37
Latitude: 47.5081452, Longitude: 9.8158321, Information Type: guidepost, Reference: VWW 46.41
Latitude: 47.5087799, Longitude: 9.8229045, Information Type: guidepost, Reference: VWW 46.40
Latitude: 47.5077827, Longitude: 9.8217378, Information Type: guidepost, Reference: VWW 46.39
Latitude: 47.5059918, Longitude: 9.8061900, Information Type: guidepost, Reference: VWW 46.45
Latitude: 47.5019944, Longitude: 9.8034278, Information Type: guidepost, Reference: VWW 46.48
Latitude: 47.5019737, Longitude: 9.8038897, Information Type: guidepost, Reference: VWW 46.49
Latitude: 47.4987495, Longitude: 9.8029661, Information Type: guidepost, Reference: VWW 46.51
Latitude: 47.5012522, Longitude: 9.8095633, Information Type: guidepost, Reference: VWW 46.53
Latitude: 47.5026759, Longitude: 9.8068628, Information Type: guidepost, Reference: VWW 46.50
Latitude: 47.5082421, Longitude: 9.8116759, Information Type: guidepost, Reference: VWW 46.42
Latitude: 47.5145809, Longitude: 9.8320775, Information Type: guidepost, Reference: VWW 46.36
Latitude: 47.5158567, Longitude: 9.8264752, Information Type: guidepost, Reference: VWW 46.35
Latitude: 47.5327874, Longitude: 9.8315585, Information Type: guidepost, Reference: VWW 46.25
Latitude: 47.5150212, Longitude: 9.8424454, Information Type: guidepost, Reference: VWW 46.07
Latitude: 47.5260696, Longitude: 9.8439190, Information Type: guidepost, Reference: VWW 46.14
Latitude: 47.5265639, Longitude: 9.8544751, Information Type: guidepost, Reference: VWW 46.13
Latitude: 47.5289526, Longitude: 9.8567855, Information Type: guidepost, Reference: VWW 46.12
Latitude: 47.5296056, Longitude: 9.8636152, Information Type: guidepost, Reference: VWW 46.11
Latitude: 47.5154327, Longitude: 9.8621286, Information Type: guidepost, Reference: VWW 46.10
Latitude: 47.5155564, Longitude: 9.8606031, Information Type: guidepost, Reference: VWW 46.09
Latitude: 47.5146884, Longitude: 9.8613798, Information Type: guidepost, Reference: VWW 46.08
Latitude: 47.5129240, Longitude: 9.8386649, Information Type: guidepost, Reference: VWW 46.06
Latitude: 47.5109770, Longitude: 9.8373280, Information Type: guidepost, Reference: VWW 46.05
Latitude: 47.5040877, Longitude: 9.8499372, Information Type: guidepost, Reference: VWW 46.03
Latitude: 47.5069206, Longitude: 9.8539502, Information Type: guidepost, Reference: VWW 46.04
Latitude: 47.5091228, Longitude: 9.8358787, Information Type: guidepost, Reference: VWW 46.02
Latitude: 47.5087400, Longitude: 9.8277710, Information Type: guidepost, Reference: VWW 46.38
Latitude: 47.5084804, Longitude: 9.8291940, Information Type: guidepost, Reference: VWW 46.01
Latitude: 47.5284654, Longitude: 9.8317141, Information Type: guidepost, Reference: VWW 46.27
Latitude: 47.5412178, Longitude: 9.8353466, Information Type: guidepost, Reference: VWW 46.24
Latitude: 47.5017084, Longitude: 9.7942807, Information Type: guidepost, Reference: VWW 46.46
Latitude: 47.5027546, Longitude: 9.7966835, Information Type: guidepost, Reference: VWW 46.47
Latitude: 47.5401068, Longitude: 9.8532031, Information Type: guidepost, Reference: VWW 46.21
Latitude: 47.5417803, Longitude: 9.8430219, Information Type: guidepost, Reference: VWW 46.22
Latitude: 47.5305914, Longitude: 9.8305113, Information Type: guidepost, Reference: VWW 46.26
