Latitude: 47.4631895, Longitude: 9.9312544, Information Type: guidepost, Reference: VWW 47.08
Latitude: 47.4635761, Longitude: 9.9288887, Information Type: guidepost, Reference: VWW 47.07
Latitude: 47.4606400, Longitude: 9.8762423, Information Type: guidepost, Reference: VWW 47.26
Latitude: 47.4659479, Longitude: 9.8755891, Information Type: guidepost, Reference: VWW 47.24
Latitude: 47.4560448, Longitude: 9.8915721, Information Type: guidepost, Reference: VWW 47.23
Latitude: 47.4648803, Longitude: 9.8836340, Information Type: guidepost, Reference: VWW 47.38
Latitude: 47.4602190, Longitude: 9.8778434, Information Type: guidepost, Reference: VWW 47.37
Latitude: 47.4705151, Longitude: 9.8638561, Information Type: guidepost, Reference: VWW 47.27
Latitude: 47.4641401, Longitude: 9.8744339, Information Type: guidepost, Reference: VWW 47.25
Latitude: 47.4540721, Longitude: 9.8871404, Information Type: guidepost, Reference: VWW 47.35
Latitude: 47.4689317, Longitude: 9.8965915, Information Type: guidepost, Reference: VWW 47.16
Latitude: 47.4679675, Longitude: 9.8971213, Information Type: guidepost, Reference: VWW 47.01
Latitude: 47.4687216, Longitude: 9.9019143, Information Type: guidepost, Reference: VWW 47.03
Latitude: 47.4671628, Longitude: 9.9018173, Information Type: guidepost, Reference: VWW 47.02
Latitude: 47.4603179, Longitude: 9.9074607, Information Type: guidepost, Reference: VWW 47.14
Latitude: 47.4618430, Longitude: 9.9073113, Information Type: guidepost, Reference: VWW 47.13
Latitude: 47.4644797, Longitude: 9.9069065, Information Type: guidepost, Reference: VWW 47.12
Latitude: 47.4658218, Longitude: 9.9149985, Information Type: guidepost, Reference: VWW 47.11
Latitude: 47.4671940, Longitude: 9.9154675, Information Type: guidepost, Reference: VWW 47.10
Latitude: 47.4631278, Longitude: 9.9192817, Information Type: guidepost, Reference: VWW 47.09
Latitude: 47.4654312, Longitude: 9.9268433, Information Type: guidepost, Reference: VWW 47.32
Latitude: 47.4678526, Longitude: 9.9230235, Information Type: guidepost, Reference: VWW 47.06
Latitude: 47.4689918, Longitude: 9.9219651, Information Type: guidepost, Reference: VWW 47.31
Latitude: 47.4717140, Longitude: 9.9211270, Information Type: guidepost, Reference: VWW 47.05
Latitude: 47.4700712, Longitude: 9.9022893, Information Type: guidepost, Reference: VWW 47.04
Latitude: 47.4697393, Longitude: 9.8952019, Information Type: guidepost, Reference: VWW 47.22
Latitude: 47.4694067, Longitude: 9.8844132, Information Type: guidepost, Reference: VWW 47.20
Latitude: 47.4695398, Longitude: 9.8770258, Information Type: guidepost, Reference: VWW 47.21
Latitude: 47.4731889, Longitude: 9.8732671, Information Type: guidepost, Reference: VWW 47.30
Latitude: 47.4752678, Longitude: 9.8644867, Information Type: guidepost, Reference: VWW 47.29
Latitude: 47.4752481, Longitude: 9.8881212, Information Type: guidepost, Reference: VWW 47.34
Latitude: 47.4728734, Longitude: 9.8878340, Information Type: guidepost, Reference: VWW 47.18
Latitude: 47.4731734, Longitude: 9.8874245, Information Type: guidepost, Reference: VWW 47.19
Latitude: 47.4725203, Longitude: 9.8962494, Information Type: guidepost, Reference: VWW 47.33
Latitude: 47.4702876, Longitude: 9.8984415, Information Type: guidepost, Reference: VWW 47.17
Latitude: 47.4684007, Longitude: 9.8966674, Information Type: guidepost, Reference: VWW 47.36
Latitude: 47.4750782, Longitude: 9.8550522, Information Type: guidepost, Reference: VWW 47.28
Latitude: 47.4606859, Longitude: 9.8762506, Information Type: guidepost, Reference: 47.646.R
Latitude: 47.4608537, Longitude: 9.8804468, Information Type: guidepost, Reference: 47.647.R
Latitude: 47.4704978, Longitude: 9.8638538, Information Type: guidepost, Reference: 47.563.R
Latitude: 47.4620111, Longitude: 9.8712018, Information Type: guidepost, Reference: 47.645.R
Latitude: 47.4602177, Longitude: 9.8778662, Information Type: guidepost, Reference: 47.37M
Latitude: 47.4606409, Longitude: 9.8762075, Information Type: guidepost, Reference: 47.26M
Latitude: 47.4687216, Longitude: 9.9019143, Information Type: guidepost, Reference: 47.03M
Latitude: 47.4679675, Longitude: 9.8971213, Information Type: guidepost, Reference: 47.01M
Latitude: 47.4702876, Longitude: 9.8984415, Information Type: guidepost, Reference: 47.17M
Latitude: 47.4631934, Longitude: 9.9312844, Information Type: guidepost, Reference: 47.08M
