Latitude: 47.4491497, Longitude: 9.9279748, Information Type: guidepost, Reference: VWW 51.23
Latitude: 47.4546646, Longitude: 9.9429840, Information Type: guidepost, Reference: VWW 51.20
Latitude: 47.4440652, Longitude: 9.9231095, Information Type: guidepost, Reference: VWW 51.22
Latitude: 47.4450974, Longitude: 9.9062804, Information Type: guidepost, Reference: VWW 51.05
Latitude: 47.4425395, Longitude: 9.9099142, Information Type: guidepost, Reference: N/A
Latitude: 47.4431177, Longitude: 9.9111046, Information Type: guidepost, Reference: VWW 51.04
Latitude: 47.4464100, Longitude: 9.9204087, Information Type: guidepost, Reference: VWW 51.02
Latitude: 47.4464793, Longitude: 9.9008285, Information Type: guidepost, Reference: N/A
Latitude: 47.4481585, Longitude: 9.8914420, Information Type: guidepost, Reference: VWW 51.07
Latitude: 47.4526024, Longitude: 9.9376670, Information Type: guidepost, Reference: VWW 51.24
Latitude: 47.4494562, Longitude: 9.9300216, Information Type: guidepost, Reference: VWW 51.34
Latitude: 47.4625670, Longitude: 9.9383307, Information Type: guidepost, Reference: VWW 51.30
Latitude: 47.4602860, Longitude: 9.9270971, Information Type: guidepost, Reference: VWW 51.16
Latitude: 47.4605066, Longitude: 9.9265525, Information Type: guidepost, Reference: VWW 51.33
Latitude: 47.4546711, Longitude: 9.9203117, Information Type: guidepost, Reference: VWW 51.14
Latitude: 47.4571078, Longitude: 9.9206947, Information Type: guidepost, Reference: N/A
Latitude: 47.4614492, Longitude: 9.9354113, Information Type: guidepost, Reference: VWW 51.17
Latitude: 47.4532789, Longitude: 9.9204839, Information Type: guidepost, Reference: N/A
Latitude: 47.4477298, Longitude: 9.8881399, Information Type: guidepost, Reference: VWW 51.29
Latitude: 47.4477130, Longitude: 9.9106619, Information Type: guidepost, Reference: VWW 51.12
Latitude: 47.4474083, Longitude: 9.9091685, Information Type: guidepost, Reference: VWW 51.28
Latitude: 47.4542221, Longitude: 9.9194149, Information Type: guidepost, Reference: VWW 51.13
Latitude: 47.4531580, Longitude: 9.9122615, Information Type: guidepost, Reference: N/A
Latitude: 47.4540572, Longitude: 9.9206796, Information Type: guidepost, Reference: VWW 51.37
Latitude: 47.4566642, Longitude: 9.9233805, Information Type: guidepost, Reference: VWW 51.15
Latitude: 47.4558276, Longitude: 9.9063833, Information Type: guidepost, Reference: VWW 51.09
Latitude: 47.4502632, Longitude: 9.9201233, Information Type: guidepost, Reference: VWW 51.31
Latitude: 47.4451032, Longitude: 9.9142381, Information Type: guidepost, Reference: VWW 51.03
Latitude: 47.4505322, Longitude: 9.9213778, Information Type: guidepost, Reference: VWW 51.27
Latitude: 47.4517611, Longitude: 9.9200435, Information Type: guidepost, Reference: VWW 51.36
Latitude: 47.4479411, Longitude: 9.9273154, Information Type: guidepost, Reference: VWW 51.35
Latitude: 47.4480265, Longitude: 9.8955780, Information Type: guidepost, Reference: VWW 51.06
Latitude: 47.4495256, Longitude: 9.9119945, Information Type: guidepost, Reference: VWW 51.11
Latitude: 47.4547297, Longitude: 9.9450094, Information Type: guidepost, Reference: VWW 51.19
Latitude: 47.4568900, Longitude: 9.9419283, Information Type: guidepost, Reference: VWW 51.18
Latitude: 47.4540915, Longitude: 9.9305681, Information Type: guidepost, Reference: VWW 51.25
Latitude: 47.4505444, Longitude: 9.9203879, Information Type: guidepost, Reference: VWW 51.01
Latitude: 47.4520668, Longitude: 9.9122190, Information Type: guidepost, Reference: VWW 51.10
Latitude: 47.4481690, Longitude: 9.8877771, Information Type: guidepost, Reference: VWW 51.32
Latitude: 47.4516571, Longitude: 9.8940628, Information Type: guidepost, Reference: VWW 51.08
Latitude: 47.4463329, Longitude: 9.9282573, Information Type: guidepost, Reference: VWW 51.21
Latitude: 47.4477139, Longitude: 9.8882188, Information Type: guidepost, Reference: 51.649.R
Latitude: 47.4480768, Longitude: 9.8878829, Information Type: guidepost, Reference: 51.648.R
Latitude: 47.4477980, Longitude: 9.8881418, Information Type: guidepost, Reference: 51.29M
Latitude: 47.4464064, Longitude: 9.9204273, Information Type: guidepost, Reference: 51.02W
Latitude: 47.4502639, Longitude: 9.9201083, Information Type: guidepost, Reference: 51.31W
Latitude: 47.4440675, Longitude: 9.9231430, Information Type: guidepost, Reference: 51.22W
Latitude: 47.4505444, Longitude: 9.9203879, Information Type: guidepost, Reference: 51.01M
Latitude: 47.4502639, Longitude: 9.9201083, Information Type: guidepost, Reference: 51.31M
