Latitude: 47.1327656, Longitude: 9.8459125, Information Type: guidepost, Reference: VWW 53.21
Latitude: 47.1312206, Longitude: 9.8528246, Information Type: guidepost, Reference: VWW 53.11
Latitude: 47.1336042, Longitude: 9.8441823, Information Type: guidepost, Reference: VWW 53.20
Latitude: 47.1315415, Longitude: 9.8469198, Information Type: guidepost, Reference: VWW 53.02
Latitude: 47.1307784, Longitude: 9.8488515, Information Type: guidepost, Reference: VWW 53.18
Latitude: 47.1264316, Longitude: 9.8573050, Information Type: guidepost, Reference: VWW 53.14
Latitude: 47.1323072, Longitude: 9.8665915, Information Type: guidepost, Reference: VWW 84.11
Latitude: 47.1345416, Longitude: 9.8519629, Information Type: guidepost, Reference: VWW 84.12
Latitude: 47.1347352, Longitude: 9.8506151, Information Type: guidepost, Reference: VWW 53.19
Latitude: 47.1139740, Longitude: 9.8215282, Information Type: guidepost, Reference: VWW 53.09
Latitude: 47.1227143, Longitude: 9.8235334, Information Type: guidepost, Reference: VWW 53.08
Latitude: 47.1352673, Longitude: 9.8355033, Information Type: guidepost, Reference: VWW 53.05
Latitude: 47.1334135, Longitude: 9.8393470, Information Type: guidepost, Reference: VWW 53.04
Latitude: 47.1303061, Longitude: 9.8448411, Information Type: guidepost, Reference: VWW 53.03
Latitude: 47.1235462, Longitude: 9.8501694, Information Type: guidepost, Reference: VWW 53.17
Latitude: 47.1222438, Longitude: 9.8561581, Information Type: guidepost, Reference: VWW 69.04
Latitude: 47.1270632, Longitude: 9.8517780, Information Type: guidepost, Reference: VWW 53.16
Latitude: 47.1260461, Longitude: 9.8582303, Information Type: guidepost, Reference: VWW 53.13
Latitude: 47.1260800, Longitude: 9.8589145, Information Type: guidepost, Reference: VWW 53.12
Latitude: 47.1290676, Longitude: 9.8541977, Information Type: guidepost, Reference: VWW 53.15
Latitude: 47.1295891, Longitude: 9.8525204, Information Type: guidepost, Reference: VWW 53.01
Latitude: 47.1367960, Longitude: 9.8320728, Information Type: guidepost, Reference: VWW 53.06
Latitude: 47.1352771, Longitude: 9.8333325, Information Type: guidepost, Reference: VWW 53.07
Latitude: 47.1295830, Longitude: 9.8525267, Information Type: guidepost, Reference: 53.1596.R
Latitude: 47.1264602, Longitude: 9.8573022, Information Type: guidepost, Reference: 53.1599.R
Latitude: 47.1307810, Longitude: 9.8488781, Information Type: guidepost, Reference: 53.1594.R
Latitude: 47.1315382, Longitude: 9.8469415, Information Type: guidepost, Reference: 53.1593.R
Latitude: 47.1281914, Longitude: 9.8565617, Information Type: guidepost, Reference: 53.1597.R
Latitude: 47.1313702, Longitude: 9.8514403, Information Type: guidepost, Reference: 53.1595.R
Latitude: 47.1264934, Longitude: 9.8572795, Information Type: guidepost, Reference: 53.1598.R
