Latitude: 47.1854112, Longitude: 9.7889436, Information Type: guidepost, Reference: VWW 54.06
Latitude: 47.1871129, Longitude: 9.7924117, Information Type: guidepost, Reference: VWW 54.05
Latitude: 47.1891224, Longitude: 9.7935074, Information Type: guidepost, Reference: VWW 54.04
Latitude: 47.1999423, Longitude: 9.8086584, Information Type: guidepost, Reference: VWW 54.20
Latitude: 47.1949148, Longitude: 9.8139488, Information Type: guidepost, Reference: VWW 54.21
Latitude: 47.1971372, Longitude: 9.7780323, Information Type: guidepost, Reference: VWW 54.12
Latitude: 47.1951721, Longitude: 9.7909428, Information Type: guidepost, Reference: VWW 54.35
Latitude: 47.1961919, Longitude: 9.7890316, Information Type: guidepost, Reference: VWW 54.34
Latitude: 47.2023505, Longitude: 9.7899805, Information Type: guidepost, Reference: VWW 54.17
Latitude: 47.2022847, Longitude: 9.7896236, Information Type: guidepost, Reference: VWW 54.28
Latitude: 47.2031815, Longitude: 9.7933858, Information Type: guidepost, Reference: VWW 54.18
Latitude: 47.2050898, Longitude: 9.7996518, Information Type: guidepost, Reference: VWW 54.19
Latitude: 47.1992162, Longitude: 9.7852191, Information Type: guidepost, Reference: VWW 54.15
Latitude: 47.1957131, Longitude: 9.7985043, Information Type: guidepost, Reference: VWW 54.23
Latitude: 47.1885517, Longitude: 9.8128965, Information Type: guidepost, Reference: VWW 54.29
Latitude: 47.1924681, Longitude: 9.7945012, Information Type: guidepost, Reference: VWW 54.26
Latitude: 47.1917564, Longitude: 9.7993619, Information Type: guidepost, Reference: VWW 54.25
Latitude: 47.1914995, Longitude: 9.7995575, Information Type: guidepost, Reference: VWW 54.24
Latitude: 47.1896185, Longitude: 9.7902020, Information Type: guidepost, Reference: VWW 54.03
Latitude: 47.1933367, Longitude: 9.7844577, Information Type: guidepost, Reference: VWW 54.02
Latitude: 47.1932589, Longitude: 9.7834591, Information Type: guidepost, Reference: VWW 54.13
Latitude: 47.1937359, Longitude: 9.7822848, Information Type: guidepost, Reference: VWW 54.01
Latitude: 47.1974865, Longitude: 9.7774385, Information Type: guidepost, Reference: VWW 54.14
Latitude: 47.1962401, Longitude: 9.7771255, Information Type: guidepost, Reference: VWW 54.40
Latitude: 47.1753614, Longitude: 9.7650180, Information Type: guidepost, Reference: VWW 54.37
Latitude: 47.1806665, Longitude: 9.7717254, Information Type: guidepost, Reference: VWW 54.39
Latitude: 47.1792735, Longitude: 9.7516695, Information Type: guidepost, Reference: VWW 54.38
Latitude: 47.1769042, Longitude: 9.7506255, Information Type: guidepost, Reference: VWW 54.36
Latitude: 47.1947295, Longitude: 9.8096871, Information Type: guidepost, Reference: VWW 54.30
Latitude: 47.1946789, Longitude: 9.7887857, Information Type: guidepost, Reference: VWW 54.31
Latitude: 47.1914569, Longitude: 9.7946497, Information Type: guidepost, Reference: VWW 54.33
Latitude: 47.1934676, Longitude: 9.7917164, Information Type: guidepost, Reference: VWW 54.32
Latitude: 47.1980400, Longitude: 9.7879397, Information Type: guidepost, Reference: VWW 54.16
Latitude: 47.1942392, Longitude: 9.7883535, Information Type: guidepost, Reference: VWW 54.27
Latitude: 47.1979518, Longitude: 9.8075042, Information Type: guidepost, Reference: VWW 54.22
Latitude: 47.1813041, Longitude: 9.7721728, Information Type: guidepost, Reference: VWW 54.10
Latitude: 47.1805937, Longitude: 9.7778907, Information Type: guidepost, Reference: VWW 54.07
Latitude: 47.1807982, Longitude: 9.7771921, Information Type: guidepost, Reference: VWW 54.08
Latitude: 47.1797080, Longitude: 9.7757862, Information Type: guidepost, Reference: VWW 54.09
Latitude: 47.1853775, Longitude: 9.7640449, Information Type: guidepost, Reference: VWW 54.11
Latitude: 47.1945756, Longitude: 9.8097525, Information Type: guidepost, Reference: VWW 54.30
Latitude: 47.1966960, Longitude: 9.7788146, Information Type: guidepost, Reference: 54.1402.R
Latitude: 47.1875726, Longitude: 9.7793877, Information Type: guidepost, Reference: 54.1393.R
Latitude: 47.1832850, Longitude: 9.7673422, Information Type: guidepost, Reference: 54.1378.R
Latitude: 47.1886302, Longitude: 9.7674302, Information Type: guidepost, Reference: 54.1375.R
Latitude: 47.1954852, Longitude: 9.7769508, Information Type: guidepost, Reference: 54.1372.R
Latitude: 47.1932345, Longitude: 9.7833955, Information Type: guidepost, Reference: 54.1397.R
Latitude: 47.1908706, Longitude: 9.7796607, Information Type: guidepost, Reference: 54.1396.R
Latitude: 47.1874650, Longitude: 9.7695432, Information Type: guidepost, Reference: 54.1376.R
Latitude: 47.1919727, Longitude: 9.7738155, Information Type: guidepost, Reference: 54.1374.R
Latitude: 47.1892821, Longitude: 9.7794807, Information Type: guidepost, Reference: 54.1395.R
Latitude: 47.1941349, Longitude: 9.7747005, Information Type: guidepost, Reference: 54.1373.R
Latitude: 47.1826725, Longitude: 9.7689715, Information Type: guidepost, Reference: 54.1383.R
Latitude: 47.1932307, Longitude: 9.7834182, Information Type: guidepost, Reference: 54.1398.R
Latitude: 47.1812239, Longitude: 9.7721704, Information Type: guidepost, Reference: 54.1384.R
Latitude: 47.1963369, Longitude: 9.7741718, Information Type: guidepost, Reference: 54.1370.R
Latitude: 47.1836900, Longitude: 9.7659394, Information Type: guidepost, Reference: 54.1377.R
Latitude: 47.1966500, Longitude: 9.7745578, Information Type: guidepost, Reference: 54.1369.R
Latitude: 47.1963878, Longitude: 9.7794341, Information Type: guidepost, Reference: 54.1399.R
Latitude: 47.1965003, Longitude: 9.7790911, Information Type: guidepost, Reference: 54.1401.R
Latitude: 47.1965890, Longitude: 9.7791931, Information Type: guidepost, Reference: 54.1400.R
Latitude: 47.1962253, Longitude: 9.7770974, Information Type: guidepost, Reference: 54.1371.R
Latitude: 47.1878951, Longitude: 9.7795337, Information Type: guidepost, Reference: 54.1394.R
Latitude: 47.1805890, Longitude: 9.7778934, Information Type: guidepost, Reference: 54.1388.R
Latitude: 47.1837294, Longitude: 9.7781323, Information Type: guidepost, Reference: 54.1391.R
Latitude: 47.1788273, Longitude: 9.7670033, Information Type: guidepost, Reference: 54.1380.R
Latitude: 47.1807601, Longitude: 9.7773771, Information Type: guidepost, Reference: 54.1387.R
Latitude: 47.1771407, Longitude: 9.7689842, Information Type: guidepost, Reference: 54.1381.R
Latitude: 47.1809443, Longitude: 9.7777011, Information Type: guidepost, Reference: 54.1389.R
Latitude: 47.1849838, Longitude: 9.7791668, Information Type: guidepost, Reference: 54.1392.R
Latitude: 47.1797088, Longitude: 9.7757721, Information Type: guidepost, Reference: 54.1386.R
Latitude: 47.1753239, Longitude: 9.7650251, Information Type: guidepost, Reference: 54.1382.R
Latitude: 47.1801509, Longitude: 9.7676329, Information Type: guidepost, Reference: 54.1379.R
Latitude: 47.1807296, Longitude: 9.7717059, Information Type: guidepost, Reference: 54.1385.R
Latitude: 47.1832237, Longitude: 9.7782841, Information Type: guidepost, Reference: 54.1390.R
Latitude: 47.1998379, Longitude: 9.8087363, Information Type: guidepost, Reference: 54.20W
Latitude: 47.1979518, Longitude: 9.8075042, Information Type: guidepost, Reference: 54.22W
Latitude: 47.2023505, Longitude: 9.7899805, Information Type: guidepost, Reference: 54.17W
Latitude: 47.1962401, Longitude: 9.7771255, Information Type: guidepost, Reference: 54.40M
Latitude: 47.2052586, Longitude: 9.7944749, Information Type: guidepost, Reference: 54.41M
Latitude: 47.2022847, Longitude: 9.7896236, Information Type: guidepost, Reference: 54.28M
