Latitude: 47.3047435, Longitude: 9.5717731, Information Type: guidepost, Reference: VWW 57.14
Latitude: 47.3036162, Longitude: 9.5741319, Information Type: guidepost, Reference: VWW 57.15
Latitude: 47.2995468, Longitude: 9.5784748, Information Type: guidepost, Reference: VWW 57.01
Latitude: 47.3170203, Longitude: 9.5895500, Information Type: guidepost, Reference: VWW 44.49
Latitude: 47.3169754, Longitude: 9.5894874, Information Type: guidepost, Reference: 57.796.R
Latitude: 47.2971864, Longitude: 9.5825664, Information Type: guidepost, Reference: VWW 57.06
Latitude: 47.2905144, Longitude: 9.5808511, Information Type: guidepost, Reference: VWW 57.19
Latitude: 47.2934833, Longitude: 9.5805412, Information Type: guidepost, Reference: VWW 57.09
Latitude: 47.2925611, Longitude: 9.5817230, Information Type: guidepost, Reference: VWW 57.08
Latitude: 47.2972606, Longitude: 9.5822507, Information Type: guidepost, Reference: VWW 57.05
Latitude: 47.3003749, Longitude: 9.5835191, Information Type: guidepost, Reference: VWW 57.04
Latitude: 47.2994928, Longitude: 9.5792951, Information Type: guidepost, Reference: VWW 57.02
Latitude: 47.2984915, Longitude: 9.5787990, Information Type: guidepost, Reference: VWW 57.03
Latitude: 47.2933301, Longitude: 9.5734090, Information Type: guidepost, Reference: VWW 57.10
Latitude: 47.2931878, Longitude: 9.5692096, Information Type: guidepost, Reference: VWW 57.11
Latitude: 47.3056217, Longitude: 9.5793565, Information Type: guidepost, Reference: VWW 57.16
Latitude: 47.2939757, Longitude: 9.5581326, Information Type: guidepost, Reference: VWW 57.13
Latitude: 47.2908395, Longitude: 9.5850850, Information Type: guidepost, Reference: VWW 57.07
Latitude: 47.2922771, Longitude: 9.5596039, Information Type: guidepost, Reference: VWW 57.12
Latitude: 47.2961852, Longitude: 9.5899015, Information Type: guidepost, Reference: VWW 57.17
Latitude: 47.2959061, Longitude: 9.5904690, Information Type: guidepost, Reference: VWW 57.18
Latitude: 47.3047404, Longitude: 9.5717978, Information Type: guidepost, Reference: 57.873.R
Latitude: 47.3169801, Longitude: 9.5895095, Information Type: guidepost, Reference: 57.795.R
Latitude: 47.2939234, Longitude: 9.5582886, Information Type: guidepost, Reference: 57.879.R
Latitude: 47.3013929, Longitude: 9.5765483, Information Type: guidepost, Reference: 57.872.R
Latitude: 47.2925573, Longitude: 9.5817274, Information Type: guidepost, Reference: 57.870.R
Latitude: 47.3047370, Longitude: 9.5717419, Information Type: guidepost, Reference: 57.874.R
Latitude: 47.3052802, Longitude: 9.5742456, Information Type: guidepost, Reference: 57.875.R
Latitude: 47.3070226, Longitude: 9.5738622, Information Type: guidepost, Reference: 57.876.R
Latitude: 47.2986209, Longitude: 9.5599438, Information Type: guidepost, Reference: 57.878.R
Latitude: 47.3003250, Longitude: 9.5779621, Information Type: guidepost, Reference: 57.871.R
Latitude: 47.3020102, Longitude: 9.5632991, Information Type: guidepost, Reference: 57.877.R
