Latitude: 47.2759783, Longitude: 10.1146128, Information Type: guidepost, Reference: VWW 59.167
Latitude: 47.3047216, Longitude: 10.0984304, Information Type: guidepost, Reference: N/A
Latitude: 47.3072691, Longitude: 10.0878420, Information Type: guidepost, Reference: N/A
Latitude: 47.3034658, Longitude: 10.0874137, Information Type: guidepost, Reference: VWW 59.166
Latitude: 47.3196408, Longitude: 10.1962266, Information Type: guidepost, Reference: VWW 59.120
Latitude: 47.2971669, Longitude: 10.1966538, Information Type: guidepost, Reference: VWW 59.131
Latitude: 47.2794654, Longitude: 10.1727122, Information Type: guidepost, Reference: VWW 59.176
Latitude: 47.3505478, Longitude: 10.2174983, Information Type: guidepost, Reference: N/A
Latitude: 47.3634268, Longitude: 10.2288619, Information Type: guidepost, Reference: N/A
Latitude: 47.3154195, Longitude: 10.2124419, Information Type: guidepost, Reference: VWW 59.129
Latitude: 47.2792641, Longitude: 10.1249215, Information Type: guidepost, Reference: VWW 59.168
Latitude: 47.3247352, Longitude: 10.1428472, Information Type: guidepost, Reference: N/A
Latitude: 47.3143897, Longitude: 10.1283585, Information Type: guidepost, Reference: VWW 59.145
Latitude: 47.3112905, Longitude: 10.1209447, Information Type: guidepost, Reference: N/A
Latitude: 47.3104423, Longitude: 10.1205989, Information Type: guidepost, Reference: VWW 59.151
Latitude: 47.3387977, Longitude: 10.1554720, Information Type: guidepost, Reference: N/A
Latitude: 47.3293264, Longitude: 10.1508990, Information Type: guidepost, Reference: VWW 59.103
Latitude: 47.3107521, Longitude: 10.1204971, Information Type: guidepost, Reference: VWW 59.152
Latitude: 47.3180423, Longitude: 10.1410137, Information Type: guidepost, Reference: VWW 59.137
Latitude: 47.3442290, Longitude: 10.1517266, Information Type: guidepost, Reference: VWW 59.069
Latitude: 47.3448480, Longitude: 10.1575121, Information Type: guidepost, Reference: VWW 59.066
Latitude: 47.3486710, Longitude: 10.1599827, Information Type: guidepost, Reference: VWW 59.096
Latitude: 47.3486020, Longitude: 10.1606341, Information Type: guidepost, Reference: VWW 59.065
Latitude: 47.3419659, Longitude: 10.1557817, Information Type: guidepost, Reference: VWW 59.067
Latitude: 47.3135392, Longitude: 10.1960735, Information Type: guidepost, Reference: VWW 59.127
Latitude: 47.3146319, Longitude: 10.2085118, Information Type: guidepost, Reference: VWW 59.128
Latitude: 47.3369252, Longitude: 10.2036157, Information Type: guidepost, Reference: VWW 59.036
Latitude: 47.3413941, Longitude: 10.2015329, Information Type: guidepost, Reference: N/A
Latitude: 47.3483010, Longitude: 10.2153632, Information Type: guidepost, Reference: N/A
Latitude: 47.3124826, Longitude: 10.1151465, Information Type: guidepost, Reference: VWW 59.153
Latitude: 47.3262035, Longitude: 10.1235811, Information Type: guidepost, Reference: VWW 59.141
Latitude: 47.3381543, Longitude: 10.1039805, Information Type: guidepost, Reference: VWW 59.082
Latitude: 47.3311553, Longitude: 10.0866981, Information Type: guidepost, Reference: VWW 59.093
Latitude: 47.3318915, Longitude: 10.0839226, Information Type: guidepost, Reference: VWW 59.094
Latitude: 47.3340089, Longitude: 10.0812235, Information Type: guidepost, Reference: VWW 59.095
Latitude: 47.3391090, Longitude: 10.1297790, Information Type: guidepost, Reference: VWW 59.081
Latitude: 47.3245522, Longitude: 10.0885073, Information Type: guidepost, Reference: VWW 59.160
Latitude: 47.3051035, Longitude: 10.0841432, Information Type: guidepost, Reference: VWW 76.77
Latitude: 47.3179321, Longitude: 10.1191289, Information Type: guidepost, Reference: VWW 59.154
Latitude: 47.3197830, Longitude: 10.0832238, Information Type: guidepost, Reference: VWW 59.159
Latitude: 47.3046061, Longitude: 10.0976111, Information Type: guidepost, Reference: VWW 59.165
Latitude: 47.3044928, Longitude: 10.0968253, Information Type: guidepost, Reference: N/A
Latitude: 47.3101884, Longitude: 10.1122316, Information Type: guidepost, Reference: VWW 59.4080
Latitude: 47.3317266, Longitude: 10.0704884, Information Type: guidepost, Reference: VWW 76.72
Latitude: 47.3095143, Longitude: 10.1215833, Information Type: guidepost, Reference: VWW 59.150
Latitude: 47.3091145, Longitude: 10.1210478, Information Type: guidepost, Reference: VWW 59.161
Latitude: 47.3111936, Longitude: 10.1193998, Information Type: guidepost, Reference: 59.435 0
Latitude: 47.3134927, Longitude: 10.1058055, Information Type: guidepost, Reference: N/A
Latitude: 47.3199028, Longitude: 10.0904849, Information Type: guidepost, Reference: VWW 59.158
Latitude: 47.2963812, Longitude: 10.1526684, Information Type: guidepost, Reference: VWW 59.172
Latitude: 47.3134087, Longitude: 10.2008053, Information Type: guidepost, Reference: VWW 59.126
Latitude: 47.2927740, Longitude: 10.1140328, Information Type: guidepost, Reference: VWW 59.163
Latitude: 47.2927597, Longitude: 10.1130459, Information Type: guidepost, Reference: VWW59.436.0
Latitude: 47.3039927, Longitude: 10.1176928, Information Type: guidepost, Reference: VWW 59.162
Latitude: 47.2929989, Longitude: 10.1533551, Information Type: guidepost, Reference: VWW 59.173
Latitude: 47.3131198, Longitude: 10.1415454, Information Type: guidepost, Reference: VWW 59.188
Latitude: 47.3632213, Longitude: 10.2055897, Information Type: guidepost, Reference: VWW 59.004
Latitude: 47.3192597, Longitude: 10.1973349, Information Type: guidepost, Reference: VWW 59.121
Latitude: 47.3119391, Longitude: 10.1896625, Information Type: guidepost, Reference: VWW 59.125
Latitude: 47.3185789, Longitude: 10.1561037, Information Type: guidepost, Reference: VWW 59.108
Latitude: 47.3198038, Longitude: 10.1754660, Information Type: guidepost, Reference: N/A
Latitude: 47.3203663, Longitude: 10.1099015, Information Type: guidepost, Reference: VWW 59.156
Latitude: 47.3206900, Longitude: 10.1056541, Information Type: guidepost, Reference: VWW 59.157
Latitude: 47.3210084, Longitude: 10.1612743, Information Type: guidepost, Reference: VWW 59.109
Latitude: 47.3389510, Longitude: 10.1554770, Information Type: guidepost, Reference: VWW 59.190
Latitude: 47.3421042, Longitude: 10.1557194, Information Type: guidepost, Reference: N/A
Latitude: 47.3468124, Longitude: 10.1523820, Information Type: guidepost, Reference: VWW 59.070
Latitude: 47.3557815, Longitude: 10.1839799, Information Type: guidepost, Reference: VWW 59.009
Latitude: 47.3765159, Longitude: 10.2077375, Information Type: guidepost, Reference: VWW 59.032
Latitude: 47.3788578, Longitude: 10.2090780, Information Type: guidepost, Reference: VWW 59.033
Latitude: 47.3312531, Longitude: 10.1933532, Information Type: guidepost, Reference: VWW 59.119
Latitude: 47.3525946, Longitude: 10.1816307, Information Type: guidepost, Reference: VWW 59.013
Latitude: 47.3603109, Longitude: 10.1993900, Information Type: guidepost, Reference: VWW 59.002
Latitude: 47.3604332, Longitude: 10.1998677, Information Type: guidepost, Reference: VWW 59.195
Latitude: 47.3592618, Longitude: 10.1925430, Information Type: guidepost, Reference: N/A
Latitude: 47.3645531, Longitude: 10.1945181, Information Type: guidepost, Reference: VWW 59.196
Latitude: 47.3283213, Longitude: 10.1523358, Information Type: guidepost, Reference: VWW 59.102
Latitude: 47.3362921, Longitude: 10.1602849, Information Type: guidepost, Reference: VWW 59.146
Latitude: 47.3182187, Longitude: 10.1292743, Information Type: guidepost, Reference: VWW 59.149
Latitude: 47.3190866, Longitude: 10.1395804, Information Type: guidepost, Reference: VWW 59.138
Latitude: 47.3214094, Longitude: 10.1409246, Information Type: guidepost, Reference: N/A
Latitude: 47.3244163, Longitude: 10.1302218, Information Type: guidepost, Reference: VWW 59.142
Latitude: 47.3246488, Longitude: 10.1229047, Information Type: guidepost, Reference: N/A
Latitude: 47.3252629, Longitude: 10.1222889, Information Type: guidepost, Reference: VWW 59.140
Latitude: 47.3346544, Longitude: 10.1380681, Information Type: guidepost, Reference: VWW 59.144
