Latitude: 47.3544564, Longitude: 9.6173977, Information Type: guidepost, Reference: VWW 56.22
Latitude: 47.3499082, Longitude: 9.6218559, Information Type: guidepost, Reference: VWW 56.04
Latitude: 47.3485200, Longitude: 9.6247903, Information Type: guidepost, Reference: VWW 56.21
Latitude: 47.3506076, Longitude: 9.6226267, Information Type: guidepost, Reference: VWW 56.01
Latitude: 47.3533795, Longitude: 9.6292638, Information Type: guidepost, Reference: VWW 56.05
Latitude: 47.3549163, Longitude: 9.6311747, Information Type: guidepost, Reference: VWW 56.06
Latitude: 47.3598153, Longitude: 9.6226989, Information Type: guidepost, Reference: VWW 56.11
Latitude: 47.3603839, Longitude: 9.6239966, Information Type: guidepost, Reference: VWW 56.07
Latitude: 47.3610560, Longitude: 9.6201540, Information Type: guidepost, Reference: VWW 56.12
Latitude: 47.3536740, Longitude: 9.6200451, Information Type: guidepost, Reference: VWW 56.08
Latitude: 47.3584294, Longitude: 9.6201586, Information Type: guidepost, Reference: VWW 56.10
Latitude: 47.3561023, Longitude: 9.6156140, Information Type: guidepost, Reference: VWW 56.15
Latitude: 47.3557911, Longitude: 9.6163505, Information Type: guidepost, Reference: VWW 56.14
Latitude: 47.3468168, Longitude: 9.6045059, Information Type: guidepost, Reference: VWW 56.18
Latitude: 47.3466815, Longitude: 9.6028923, Information Type: guidepost, Reference: VWW 56.17
Latitude: 47.3482747, Longitude: 9.6232153, Information Type: guidepost, Reference: VWW 56.03
Latitude: 47.3486386, Longitude: 9.6214350, Information Type: guidepost, Reference: VWW 56.02
Latitude: 47.3452829, Longitude: 9.6088403, Information Type: guidepost, Reference: VWW 56.19
Latitude: 47.3463883, Longitude: 9.6177558, Information Type: guidepost, Reference: VWW 56.20
Latitude: 47.3557321, Longitude: 9.6129552, Information Type: guidepost, Reference: VWW 56.16
Latitude: 47.3569231, Longitude: 9.6142590, Information Type: guidepost, Reference: VWW 56.13
Latitude: 47.3549667, Longitude: 9.6131356, Information Type: guidepost, Reference: 56.760.R
Latitude: 47.3574712, Longitude: 9.6212567, Information Type: guidepost, Reference: 56.755.R
Latitude: 47.3499514, Longitude: 9.6200951, Information Type: guidepost, Reference: 56.736.R
Latitude: 47.3497717, Longitude: 9.6179275, Information Type: guidepost, Reference: 56.735.R
Latitude: 47.3525087, Longitude: 9.6246921, Information Type: guidepost, Reference: 56.745.R
Latitude: 47.3506304, Longitude: 9.6255207, Information Type: guidepost, Reference: 56.738.R
Latitude: 47.3526090, Longitude: 9.6247662, Information Type: guidepost, Reference: 56.746.R
Latitude: 47.3484450, Longitude: 9.6270310, Information Type: guidepost, Reference: 56.742.R
Latitude: 47.3533838, Longitude: 9.6291937, Information Type: guidepost, Reference: 56.747.R
Latitude: 47.3515772, Longitude: 9.6251811, Information Type: guidepost, Reference: 56.743.R
Latitude: 47.3515892, Longitude: 9.6251490, Information Type: guidepost, Reference: 56.744.R
Latitude: 47.3547573, Longitude: 9.6131823, Information Type: guidepost, Reference: 56.761.R
Latitude: 47.3568992, Longitude: 9.6142358, Information Type: guidepost, Reference: 56.758.R
Latitude: 47.3505985, Longitude: 9.6258878, Information Type: guidepost, Reference: 56.740.R
Latitude: 47.3552055, Longitude: 9.6136646, Information Type: guidepost, Reference: 56.759.R
Latitude: 47.3561129, Longitude: 9.6156376, Information Type: guidepost, Reference: 56.763.R
Latitude: 47.3537979, Longitude: 9.6295310, Information Type: guidepost, Reference: 56.751.R
Latitude: 47.3536864, Longitude: 9.6295510, Information Type: guidepost, Reference: 56.750.R
Latitude: 47.3585457, Longitude: 9.6201845, Information Type: guidepost, Reference: 56.756.R
Latitude: 47.3585685, Longitude: 9.6199460, Information Type: guidepost, Reference: 56.757.R
Latitude: 47.3544617, Longitude: 9.6173821, Information Type: guidepost, Reference: 56.764.R
Latitude: 47.3543499, Longitude: 9.6174856, Information Type: guidepost, Reference: 56.765.R
Latitude: 47.3534369, Longitude: 9.6294815, Information Type: guidepost, Reference: 56.749.R
Latitude: 47.3505418, Longitude: 9.6258845, Information Type: guidepost, Reference: 56.741.R
Latitude: 47.3507016, Longitude: 9.6255822, Information Type: guidepost, Reference: 56.739.R
Latitude: 47.3469321, Longitude: 9.6042675, Information Type: guidepost, Reference: 56.762.R
Latitude: 47.3558667, Longitude: 9.6227224, Information Type: guidepost, Reference: 56.754.R
Latitude: 47.3557140, Longitude: 9.6230355, Information Type: guidepost, Reference: 56.753.R
Latitude: 47.3548456, Longitude: 9.6309730, Information Type: guidepost, Reference: 56.752.R
Latitude: 47.3499061, Longitude: 9.6215891, Information Type: guidepost, Reference: 56.737.R
Latitude: 47.3488851, Longitude: 9.6151047, Information Type: guidepost, Reference: 56.734.R
