Latitude: 47.5502670, Longitude: 9.8149667, Information Type: guidepost, Reference: VWW 60.39
Latitude: 47.5603152, Longitude: 9.8158699, Information Type: guidepost, Reference: VWW 60.11
Latitude: 47.5610528, Longitude: 9.8188587, Information Type: guidepost, Reference: VWW 60.12
Latitude: 47.5548066, Longitude: 9.7818816, Information Type: guidepost, Reference: VWW 60.37
Latitude: 47.5629462, Longitude: 9.7796148, Information Type: guidepost, Reference: VWW 60.38
Latitude: 47.5616561, Longitude: 9.7891872, Information Type: guidepost, Reference: VWW 60.34
Latitude: 47.5578801, Longitude: 9.7863022, Information Type: guidepost, Reference: VWW 60.35
Latitude: 47.5442058, Longitude: 9.8154239, Information Type: guidepost, Reference: VWW 60.45
Latitude: 47.5495823, Longitude: 9.8148040, Information Type: guidepost, Reference: VWW 60.42
Latitude: 47.5452407, Longitude: 9.8189407, Information Type: guidepost, Reference: VWW 60.14
Latitude: 47.5671752, Longitude: 9.8051913, Information Type: guidepost, Reference: VWW 60.20
Latitude: 47.5620193, Longitude: 9.7932629, Information Type: guidepost, Reference: VWW 60.29
Latitude: 47.5607406, Longitude: 9.7918802, Information Type: guidepost, Reference: VWW 60.30
Latitude: 47.5524823, Longitude: 9.7835135, Information Type: guidepost, Reference: VWW 60.36
Latitude: 47.5570043, Longitude: 9.7951314, Information Type: guidepost, Reference: VWW 60.33
Latitude: 47.5573462, Longitude: 9.7960704, Information Type: guidepost, Reference: VWW 60.31
Latitude: 47.5569535, Longitude: 9.8040039, Information Type: guidepost, Reference: VWW 60.15
Latitude: 47.5582794, Longitude: 9.8009446, Information Type: guidepost, Reference: VWW 60.32
Latitude: 47.5571989, Longitude: 9.8050451, Information Type: guidepost, Reference: VWW 60.16
Latitude: 47.5605951, Longitude: 9.8159919, Information Type: guidepost, Reference: VWW 60.10
Latitude: 47.5637154, Longitude: 9.8165004, Information Type: guidepost, Reference: VWW 60.08
Latitude: 47.5613233, Longitude: 9.8161867, Information Type: guidepost, Reference: VWW 60.09
Latitude: 47.5620850, Longitude: 9.8060655, Information Type: guidepost, Reference: VWW 60.17
Latitude: 47.5627559, Longitude: 9.8074468, Information Type: guidepost, Reference: VWW 60.18
Latitude: 47.5681903, Longitude: 9.8141314, Information Type: guidepost, Reference: VWW 60.07
Latitude: 47.5663565, Longitude: 9.8106192, Information Type: guidepost, Reference: VWW 60.19
Latitude: 47.5617030, Longitude: 9.7918536, Information Type: guidepost, Reference: VWW 60.28
Latitude: 47.5682203, Longitude: 9.7926065, Information Type: guidepost, Reference: VWW 60.27
Latitude: 47.5737325, Longitude: 9.7991585, Information Type: guidepost, Reference: VWW 60.24
Latitude: 47.5710109, Longitude: 9.8156430, Information Type: guidepost, Reference: VWW 60.02
Latitude: 47.5684781, Longitude: 9.8055428, Information Type: guidepost, Reference: VWW 60.21
Latitude: 47.5689691, Longitude: 9.8054688, Information Type: guidepost, Reference: VWW 60.22
Latitude: 47.5728719, Longitude: 9.8012984, Information Type: guidepost, Reference: VWW 60.23
Latitude: 47.5726645, Longitude: 9.8169785, Information Type: guidepost, Reference: VWW 60.01
Latitude: 47.5723493, Longitude: 9.8214034, Information Type: guidepost, Reference: VWW 60.06
Latitude: 47.5728240, Longitude: 9.8198663, Information Type: guidepost, Reference: VWW 60.03
Latitude: 47.5782478, Longitude: 9.8199782, Information Type: guidepost, Reference: VWW 60.04
Latitude: 47.5822794, Longitude: 9.8170519, Information Type: guidepost, Reference: VWW 60.43
Latitude: 47.5823228, Longitude: 9.8148195, Information Type: guidepost, Reference: VWW 60.44
Latitude: 47.5791065, Longitude: 9.8066646, Information Type: guidepost, Reference: VWW 60.26
Latitude: 47.5602755, Longitude: 9.7905723, Information Type: guidepost, Reference: VWW 60.41
Latitude: 47.5754358, Longitude: 9.7989634, Information Type: guidepost, Reference: VWW 60.25
Latitude: 47.5465116, Longitude: 9.8196599, Information Type: guidepost, Reference: VWW 60.13
