Latitude: 47.3766878, Longitude: 9.8550604, Information Type: guidepost, Reference: N/A
Latitude: 47.3766504, Longitude: 9.8886411, Information Type: guidepost, Reference: VWW 65.08
Latitude: 47.3625819, Longitude: 9.8789949, Information Type: guidepost, Reference: VWW 65.06
Latitude: 47.3787553, Longitude: 9.8878761, Information Type: guidepost, Reference: VWW 65.09
Latitude: 47.3808529, Longitude: 9.8776664, Information Type: guidepost, Reference: VWW 65.10
Latitude: 47.3693024, Longitude: 9.8452165, Information Type: guidepost, Reference: VWW 65.14
Latitude: 47.3755381, Longitude: 9.8529258, Information Type: guidepost, Reference: VWW 65.13
Latitude: 47.3736651, Longitude: 9.8562258, Information Type: guidepost, Reference: VWW 65.12
Latitude: 47.3663395, Longitude: 9.8730694, Information Type: guidepost, Reference: VWW 65.11
Latitude: 47.3716983, Longitude: 9.8880659, Information Type: guidepost, Reference: VWW 65.07
Latitude: 47.3713345, Longitude: 9.8949615, Information Type: guidepost, Reference: VWW 65.18
Latitude: 47.3713440, Longitude: 9.8941376, Information Type: guidepost, Reference: VWW 65.05
Latitude: 47.3706407, Longitude: 9.8936486, Information Type: guidepost, Reference: VWW 65.02
Latitude: 47.3711788, Longitude: 9.9011698, Information Type: guidepost, Reference: VWW 65.03
Latitude: 47.3722895, Longitude: 9.9007820, Information Type: guidepost, Reference: VWW 65.04
Latitude: 47.3612906, Longitude: 9.8960284, Information Type: guidepost, Reference: VWW 65.15
Latitude: 47.3577996, Longitude: 9.8980851, Information Type: guidepost, Reference: VWW 65.17
Latitude: 47.3576887, Longitude: 9.8958834, Information Type: guidepost, Reference: VWW 65.16
Latitude: 47.3709263, Longitude: 9.8937014, Information Type: guidepost, Reference: VWW 65.01
Latitude: 47.3714110, Longitude: 9.8948828, Information Type: guidepost, Reference: 65.1193.R
Latitude: 47.3767038, Longitude: 9.8887410, Information Type: guidepost, Reference: 65.1144.R
Latitude: 47.3777317, Longitude: 9.8884503, Information Type: guidepost, Reference: 65.1140.R
Latitude: 47.3802888, Longitude: 9.8799919, Information Type: guidepost, Reference: 65.1137.R
Latitude: 47.3746373, Longitude: 9.8892921, Information Type: guidepost, Reference: 65.1146.R
Latitude: 47.3770786, Longitude: 9.8887809, Information Type: guidepost, Reference: 65.1143.R
Latitude: 47.3838027, Longitude: 9.8738737, Information Type: guidepost, Reference: 65.1136.R
Latitude: 47.3713960, Longitude: 9.8948545, Information Type: guidepost, Reference: 65.1532.R
Latitude: 47.3777924, Longitude: 9.8884545, Information Type: guidepost, Reference: 65.1533.R
Latitude: 47.3723320, Longitude: 9.9012305, Information Type: guidepost, Reference: 65.1194.R
Latitude: 47.3709030, Longitude: 9.8933568, Information Type: guidepost, Reference: 65.1192.R
Latitude: 47.3844350, Longitude: 9.8709890, Information Type: guidepost, Reference: 65.1135.R
Latitude: 47.3780582, Longitude: 9.8884435, Information Type: guidepost, Reference: 65.1139.R
Latitude: 47.3777101, Longitude: 9.8886901, Information Type: guidepost, Reference: 65.1142.R
Latitude: 47.3799105, Longitude: 9.8860085, Information Type: guidepost, Reference: 65.1138.R
Latitude: 47.3767379, Longitude: 9.8884817, Information Type: guidepost, Reference: 65.1141.R
Latitude: 47.3706395, Longitude: 9.8957971, Information Type: guidepost, Reference: 65.19W
Latitude: 47.3626249, Longitude: 9.8790769, Information Type: guidepost, Reference: 65.06W
Latitude: 47.3711788, Longitude: 9.9011698, Information Type: guidepost, Reference: 65.03W
Latitude: 47.3706407, Longitude: 9.8936486, Information Type: guidepost, Reference: 65.02W
Latitude: 47.3709263, Longitude: 9.8937014, Information Type: guidepost, Reference: 65.01W
Latitude: 47.3716983, Longitude: 9.8880659, Information Type: guidepost, Reference: 65.07M
Latitude: 47.3709263, Longitude: 9.8937014, Information Type: guidepost, Reference: 65.01M
