Latitude: 47.2976522, Longitude: 9.6213345, Information Type: guidepost, Reference: VWW 85.27
Latitude: 47.2927912, Longitude: 9.6581361, Information Type: guidepost, Reference: VWW 68.03
Latitude: 47.2900279, Longitude: 9.6562747, Information Type: guidepost, Reference: VWW 68.01
Latitude: 47.2927588, Longitude: 9.6577538, Information Type: guidepost, Reference: VWW 68.04
Latitude: 47.2931046, Longitude: 9.6573055, Information Type: guidepost, Reference: VWW 68.05
Latitude: 47.2940065, Longitude: 9.6520494, Information Type: guidepost, Reference: VWW 68.09
Latitude: 47.2935446, Longitude: 9.6509824, Information Type: guidepost, Reference: VWW 68.06
Latitude: 47.2947068, Longitude: 9.6608405, Information Type: guidepost, Reference: VWW 68.12
Latitude: 47.3008697, Longitude: 9.6641019, Information Type: guidepost, Reference: VWW 68.15
Latitude: 47.2997100, Longitude: 9.6616867, Information Type: guidepost, Reference: VWW 68.14
Latitude: 47.2973301, Longitude: 9.6693871, Information Type: guidepost, Reference: VWW 68.21
Latitude: 47.2974956, Longitude: 9.6696041, Information Type: guidepost, Reference: VWW 68.20
Latitude: 47.2950804, Longitude: 9.6608073, Information Type: guidepost, Reference: VWW 68.13
Latitude: 47.2969826, Longitude: 9.6681652, Information Type: guidepost, Reference: VWW 68.17
Latitude: 47.2948456, Longitude: 9.6462337, Information Type: guidepost, Reference: VWW 68.07
Latitude: 47.2907203, Longitude: 9.6623604, Information Type: guidepost, Reference: VWW 68.02
Latitude: 47.2998503, Longitude: 9.6687702, Information Type: guidepost, Reference: 92.02M
Latitude: 47.3005705, Longitude: 9.6869425, Information Type: guidepost, Reference: VWW 68.18
Latitude: 47.3003694, Longitude: 9.6860014, Information Type: guidepost, Reference: VWW 68.19
Latitude: 47.2981138, Longitude: 9.6682745, Information Type: guidepost, Reference: VWW 68.16
Latitude: 47.3019432, Longitude: 9.6208804, Information Type: guidepost, Reference: VWW 68.11
Latitude: 47.2969136, Longitude: 9.6450940, Information Type: guidepost, Reference: VWW 68.10
Latitude: 47.2934201, Longitude: 9.6468787, Information Type: guidepost, Reference: 68.835.R
Latitude: 47.2920809, Longitude: 9.6504947, Information Type: guidepost, Reference: 68.834.R
Latitude: 47.2904053, Longitude: 9.6545907, Information Type: guidepost, Reference: 68.832.R
Latitude: 47.2914371, Longitude: 9.6517325, Information Type: guidepost, Reference: 68.833.R
Latitude: 47.3051755, Longitude: 9.6202776, Information Type: guidepost, Reference: 68.837.R
Latitude: 47.2967395, Longitude: 9.6459035, Information Type: guidepost, Reference: 68.836.R
Latitude: 47.3041328, Longitude: 9.6203699, Information Type: guidepost, Reference: 68.839.R
Latitude: 47.2973279, Longitude: 9.6694045, Information Type: guidepost, Reference: 68.21M
