Latitude: 47.1531312, Longitude: 10.2468841, Information Type: guidepost, Reference: N/A
Latitude: 47.1630741, Longitude: 10.2857093, Information Type: guidepost, Reference: N/A
Latitude: 47.1599114, Longitude: 10.2860626, Information Type: guidepost, Reference: N/A
Latitude: 47.0452972, Longitude: 10.1604490, Information Type: guidepost, Reference: N/A
Latitude: 47.0067271, Longitude: 10.2081494, Information Type: guidepost, Reference: N/A
Latitude: 46.9929440, Longitude: 10.1792230, Information Type: guidepost, Reference: N/A
Latitude: 47.1419493, Longitude: 10.2779769, Information Type: guidepost, Reference: N/A
Latitude: 47.1420131, Longitude: 10.2777369, Information Type: guidepost, Reference: N/A
Latitude: 47.1529978, Longitude: 10.2816358, Information Type: guidepost, Reference: N/A
Latitude: 47.1434712, Longitude: 10.2764262, Information Type: guidepost, Reference: N/A
Latitude: 47.1642253, Longitude: 10.2933081, Information Type: guidepost, Reference: N/A
Latitude: 47.1092481, Longitude: 10.2402600, Information Type: guidepost, Reference: N/A
Latitude: 47.1371564, Longitude: 10.2446223, Information Type: guidepost, Reference: N/A
Latitude: 47.1376811, Longitude: 10.2420880, Information Type: guidepost, Reference: N/A
Latitude: 47.1410919, Longitude: 10.2194884, Information Type: guidepost, Reference: N/A
Latitude: 47.1384371, Longitude: 10.2686568, Information Type: guidepost, Reference: N/A
Latitude: 47.1386040, Longitude: 10.2637969, Information Type: guidepost, Reference: N/A
Latitude: 47.1400813, Longitude: 10.2732045, Information Type: guidepost, Reference: N/A
Latitude: 47.1484283, Longitude: 10.2771290, Information Type: guidepost, Reference: N/A
Latitude: 47.1523690, Longitude: 10.2276853, Information Type: guidepost, Reference: N/A
Latitude: 47.0698597, Longitude: 10.1891899, Information Type: guidepost, Reference: N/A
Latitude: 47.0514829, Longitude: 10.1674765, Information Type: guidepost, Reference: N/A
Latitude: 47.0214631, Longitude: 10.1540838, Information Type: guidepost, Reference: VWW 31.310
Latitude: 47.0115783, Longitude: 10.1408879, Information Type: guidepost, Reference: VWW 31.243
Latitude: 47.1168691, Longitude: 10.2556704, Information Type: guidepost, Reference: N/A
Latitude: 47.1105327, Longitude: 10.2575524, Information Type: guidepost, Reference: N/A
Latitude: 47.1080841, Longitude: 10.2589643, Information Type: guidepost, Reference: N/A
Latitude: 47.1156227, Longitude: 10.2487725, Information Type: guidepost, Reference: N/A
Latitude: 47.1154610, Longitude: 10.2436665, Information Type: guidepost, Reference: N/A
Latitude: 47.0634894, Longitude: 10.1916062, Information Type: guidepost, Reference: N/A
Latitude: 47.0503753, Longitude: 10.2424577, Information Type: guidepost, Reference: N/A
Latitude: 47.0470454, Longitude: 10.2574271, Information Type: guidepost, Reference: N/A
Latitude: 47.0688664, Longitude: 10.1868633, Information Type: guidepost, Reference: N/A
Latitude: 47.0459630, Longitude: 10.1570930, Information Type: guidepost, Reference: N/A
Latitude: 47.0453787, Longitude: 10.1608276, Information Type: guidepost, Reference: N/A
Latitude: 47.0938124, Longitude: 10.1472859, Information Type: guidepost, Reference: N/A
Latitude: 47.0610278, Longitude: 10.1936496, Information Type: guidepost, Reference: N/A
Latitude: 47.1109604, Longitude: 10.2291764, Information Type: guidepost, Reference: N/A
Latitude: 47.0305638, Longitude: 10.1547822, Information Type: guidepost, Reference: N/A
Latitude: 47.1289443, Longitude: 10.2113201, Information Type: guidepost, Reference: N/A
Latitude: 47.0964217, Longitude: 10.2128264, Information Type: guidepost, Reference: N/A
Latitude: 47.1345210, Longitude: 10.2734983, Information Type: guidepost, Reference: N/A
Latitude: 47.1346040, Longitude: 10.2735151, Information Type: guidepost, Reference: N/A
Latitude: 47.1327502, Longitude: 10.2738572, Information Type: guidepost, Reference: N/A
Latitude: 47.1320446, Longitude: 10.2747832, Information Type: guidepost, Reference: N/A
Latitude: 47.1305674, Longitude: 10.2101270, Information Type: guidepost, Reference: VWW 43.101
Latitude: 47.1358248, Longitude: 10.2076989, Information Type: guidepost, Reference: VWW 43.102
Latitude: 47.1307825, Longitude: 10.2099282, Information Type: guidepost, Reference: VWW 43.100
Latitude: 47.0943816, Longitude: 10.1445158, Information Type: guidepost, Reference: VWW 43.040
Latitude: 47.0461417, Longitude: 10.1560692, Information Type: route_marker, Reference: VWW 82.064
Latitude: 47.0210251, Longitude: 10.1311751, Information Type: guidepost, Reference: VWW 31.039
Latitude: 47.0114802, Longitude: 10.1409235, Information Type: guidepost, Reference: 31.243M
Latitude: 47.1268527, Longitude: 10.2052382, Information Type: guidepost, Reference: N/A
Latitude: 47.1305674, Longitude: 10.2101270, Information Type: guidepost, Reference: VWW 43.101
