Latitude: 47.2271769, Longitude: 9.6398802, Information Type: guidepost, Reference: VWW 32.59
Latitude: 47.2265615, Longitude: 9.6422149, Information Type: guidepost, Reference: VWW 72.01
Latitude: 47.2328056, Longitude: 9.6580646, Information Type: guidepost, Reference: VWW 72.03
Latitude: 47.2321297, Longitude: 9.6603493, Information Type: guidepost, Reference: VWW 72.04
Latitude: 47.2334029, Longitude: 9.6651959, Information Type: guidepost, Reference: VWW 72.06
Latitude: 47.2272438, Longitude: 9.6729494, Information Type: guidepost, Reference: VWW 72.07
Latitude: 47.2250579, Longitude: 9.6719740, Information Type: guidepost, Reference: VWW 72.08
Latitude: 47.2248294, Longitude: 9.6822019, Information Type: guidepost, Reference: VWW 72.09
Latitude: 47.2358592, Longitude: 9.6596368, Information Type: guidepost, Reference: VWW 72.11
Latitude: 47.2386772, Longitude: 9.6587651, Information Type: guidepost, Reference: VWW 72.12
Latitude: 47.2413988, Longitude: 9.6763840, Information Type: guidepost, Reference: VWW 72.13
Latitude: 47.2423111, Longitude: 9.6804953, Information Type: guidepost, Reference: VWW 72.14
Latitude: 47.2396032, Longitude: 9.6852668, Information Type: guidepost, Reference: VWW 72.15
Latitude: 47.2356398, Longitude: 9.6899242, Information Type: guidepost, Reference: VWW 72.16
Latitude: 47.2312917, Longitude: 9.6743326, Information Type: guidepost, Reference: VWW 72.19
Latitude: 47.2388595, Longitude: 9.6764249, Information Type: guidepost, Reference: VWW 72.20
Latitude: 47.2365113, Longitude: 9.6745103, Information Type: guidepost, Reference: VWW 72.21
Latitude: 47.2318248, Longitude: 9.6742294, Information Type: guidepost, Reference: VWW 72.22
Latitude: 47.2343245, Longitude: 9.6672656, Information Type: guidepost, Reference: VWW 72.23
Latitude: 47.2346607, Longitude: 9.6648140, Information Type: guidepost, Reference: VWW 72.24
Latitude: 47.2374383, Longitude: 9.6656933, Information Type: guidepost, Reference: VWW 72.25
Latitude: 47.2388362, Longitude: 9.6665716, Information Type: guidepost, Reference: VWW 72.26
Latitude: 47.2391208, Longitude: 9.6688937, Information Type: guidepost, Reference: VWW 72.27
Latitude: 47.2402296, Longitude: 9.6682150, Information Type: guidepost, Reference: VWW 72.28
Latitude: 47.2401687, Longitude: 9.6665443, Information Type: guidepost, Reference: VWW 72.29
Latitude: 47.2395067, Longitude: 9.6712406, Information Type: guidepost, Reference: VWW 72.30
Latitude: 47.2306168, Longitude: 9.6764355, Information Type: guidepost, Reference: VWW 72.31
Latitude: 47.2429133, Longitude: 9.6836290, Information Type: guidepost, Reference: VWW 72.33
Latitude: 47.2258362, Longitude: 9.6470634, Information Type: guidepost, Reference: VWW 72.34
Latitude: 47.2302710, Longitude: 9.6531339, Information Type: guidepost, Reference: VWW 72.35
Latitude: 47.2308658, Longitude: 9.6453054, Information Type: guidepost, Reference: VWW 72.36
Latitude: 47.2261343, Longitude: 9.6494764, Information Type: guidepost, Reference: VWW 72.37
Latitude: 47.2300042, Longitude: 9.6662874, Information Type: guidepost, Reference: VWW 72.38
Latitude: 47.2222417, Longitude: 9.6713839, Information Type: guidepost, Reference: VWW 72.39
Latitude: 47.2231378, Longitude: 9.6712763, Information Type: guidepost, Reference: VWW 72.42
Latitude: 47.2245676, Longitude: 9.6473234, Information Type: guidepost, Reference: VWW 72.43
Latitude: 47.2446461, Longitude: 9.6713975, Information Type: guidepost, Reference: VWW 90.23
Latitude: 47.2375481, Longitude: 9.6907855, Information Type: guidepost, Reference: VWW 72.10
Latitude: 47.2424311, Longitude: 9.6925507, Information Type: guidepost, Reference: VWW 72.18
Latitude: 47.2443945, Longitude: 9.6725686, Information Type: guidepost, Reference: VWW 72.45
Latitude: 47.2415713, Longitude: 9.7067095, Information Type: guidepost, Reference: VWW 90.29
Latitude: 47.2177692, Longitude: 9.6619964, Information Type: guidepost, Reference: VWW 72.44
Latitude: 47.2327096, Longitude: 9.6911200, Information Type: guidepost, Reference: VWW 72.17
Latitude: 47.2379883, Longitude: 9.6957723, Information Type: guidepost, Reference: VWW 72.32
Latitude: 47.2214020, Longitude: 9.6592357, Information Type: guidepost, Reference: 72.1304.R
Latitude: 47.2245793, Longitude: 9.6473741, Information Type: guidepost, Reference: 72.1303.R
Latitude: 47.2185136, Longitude: 9.6668649, Information Type: guidepost, Reference: 72.1306.R
Latitude: 47.2178039, Longitude: 9.6621067, Information Type: guidepost, Reference: 72.1305.R
Latitude: 47.2203513, Longitude: 9.6696658, Information Type: guidepost, Reference: 72.1307.R
Latitude: 47.2218079, Longitude: 9.6709468, Information Type: guidepost, Reference: 72.1310.R
Latitude: 47.2247912, Longitude: 9.6719921, Information Type: guidepost, Reference: 72.1313.R
Latitude: 47.2247531, Longitude: 9.6717813, Information Type: guidepost, Reference: 72.1312.R
Latitude: 47.2174093, Longitude: 9.6710823, Information Type: guidepost, Reference: 72.1309.R
Latitude: 47.2202619, Longitude: 9.6697541, Information Type: guidepost, Reference: 72.1308.R
Latitude: 47.2247683, Longitude: 9.6823793, Information Type: guidepost, Reference: 72.09M
Latitude: 47.2203862, Longitude: 9.6697177, Information Type: guidepost, Reference: 72.41M
Latitude: 47.2250618, Longitude: 9.6719963, Information Type: guidepost, Reference: 72.08M
Latitude: 47.2312956, Longitude: 9.6743549, Information Type: guidepost, Reference: 72.19M
Latitude: 47.2356895, Longitude: 9.6899980, Information Type: guidepost, Reference: 72.16M
Latitude: 47.2375912, Longitude: 9.6908875, Information Type: guidepost, Reference: 72.10M
Latitude: 47.2410734, Longitude: 9.6890338, Information Type: guidepost, Reference: 72.40M
