Latitude: 47.2062629, Longitude: 9.6988051, Information Type: guidepost, Reference: VWW 73.12
Latitude: 47.2053738, Longitude: 9.7056294, Information Type: guidepost, Reference: VWW 73.04
Latitude: 47.2028858, Longitude: 9.7085965, Information Type: guidepost, Reference: VWW 73.05
Latitude: 47.2029966, Longitude: 9.7075263, Information Type: guidepost, Reference: VWW 73.06
Latitude: 47.2065310, Longitude: 9.7097106, Information Type: guidepost, Reference: VWW 73.10
Latitude: 47.2031952, Longitude: 9.7022144, Information Type: guidepost, Reference: VWW 73.09
Latitude: 47.2111895, Longitude: 9.6962671, Information Type: guidepost, Reference: 73.14M
Latitude: 47.2114307, Longitude: 9.6963489, Information Type: guidepost, Reference: VWW 73.01
Latitude: 47.2015124, Longitude: 9.6933195, Information Type: guidepost, Reference: 73.1318.R
Latitude: 47.2054708, Longitude: 9.7043378, Information Type: guidepost, Reference: VWW 73.08
Latitude: 47.2055964, Longitude: 9.7039981, Information Type: guidepost, Reference: VWW 73.23
Latitude: 47.1996221, Longitude: 9.7042649, Information Type: guidepost, Reference: VWW 73.24
Latitude: 47.1994695, Longitude: 9.7119881, Information Type: guidepost, Reference: VWW 11.17
Latitude: 47.2101847, Longitude: 9.6965295, Information Type: guidepost, Reference: VWW 73.19
Latitude: 47.2047356, Longitude: 9.6989184, Information Type: guidepost, Reference: VWW 73.18
Latitude: 47.2045159, Longitude: 9.6979499, Information Type: guidepost, Reference: VWW 73.17
Latitude: 47.2045237, Longitude: 9.6946612, Information Type: guidepost, Reference: VWW 73.21
Latitude: 47.2039923, Longitude: 9.6948878, Information Type: guidepost, Reference: VWW 73.22
Latitude: 47.2039961, Longitude: 9.6928212, Information Type: guidepost, Reference: VWW 73.16
Latitude: 47.2022075, Longitude: 9.6944838, Information Type: guidepost, Reference: VWW 73.15
Latitude: 47.2061962, Longitude: 9.6997519, Information Type: guidepost, Reference: VWW 73.11
Latitude: 47.2003188, Longitude: 9.7117104, Information Type: guidepost, Reference: VWW 73.07
Latitude: 47.2005478, Longitude: 9.6968713, Information Type: guidepost, Reference: 73.1326.R
Latitude: 47.2007618, Longitude: 9.6955674, Information Type: guidepost, Reference: 73.1322.R
Latitude: 47.1986854, Longitude: 9.6918101, Information Type: guidepost, Reference: 73.1333.R
Latitude: 47.1990816, Longitude: 9.6920389, Information Type: guidepost, Reference: 73.1332.R
Latitude: 47.1993901, Longitude: 9.6920352, Information Type: guidepost, Reference: 73.1331.R
Latitude: 47.2001787, Longitude: 9.6924783, Information Type: guidepost, Reference: 73.1330.R
Latitude: 47.1996192, Longitude: 9.7042611, Information Type: guidepost, Reference: 73.1329.R
Latitude: 47.1998369, Longitude: 9.7036198, Information Type: guidepost, Reference: 73.1328.R
Latitude: 47.2003298, Longitude: 9.6977793, Information Type: guidepost, Reference: 73.1327.R
Latitude: 47.2015310, Longitude: 9.6936577, Information Type: guidepost, Reference: 73.1320.R
Latitude: 47.2005896, Longitude: 9.6959773, Information Type: guidepost, Reference: 73.1323.R
Latitude: 47.2005304, Longitude: 9.6966498, Information Type: guidepost, Reference: 73.1325.R
Latitude: 47.2004611, Longitude: 9.6951870, Information Type: guidepost, Reference: 73.1321.R
Latitude: 47.2007111, Longitude: 9.6959811, Information Type: guidepost, Reference: 73.1324.R
Latitude: 47.2014786, Longitude: 9.6934551, Information Type: guidepost, Reference: 73.1319.R
Latitude: 47.2028074, Longitude: 9.6925389, Information Type: guidepost, Reference: 73.1317.R
Latitude: 47.2047661, Longitude: 9.6989139, Information Type: guidepost, Reference: 73.1335.R
Latitude: 47.2045053, Longitude: 9.6979522, Information Type: guidepost, Reference: 73.1334.R
Latitude: 47.2049237, Longitude: 9.7013762, Information Type: guidepost, Reference: 73.1336.R
Latitude: 47.2055819, Longitude: 9.7039435, Information Type: guidepost, Reference: 73.1339.R
Latitude: 47.2055559, Longitude: 9.7034647, Information Type: guidepost, Reference: 73.1338.R
Latitude: 47.2051850, Longitude: 9.7022825, Information Type: guidepost, Reference: 73.1337.R
Latitude: 47.2069272, Longitude: 9.6778499, Information Type: guidepost, Reference: 73.1315.R
Latitude: 47.2092716, Longitude: 9.6740180, Information Type: guidepost, Reference: 73.1314.R
Latitude: 47.2053774, Longitude: 9.6816215, Information Type: guidepost, Reference: 73.1316.R
Latitude: 47.2015193, Longitude: 9.6933195, Information Type: guidepost, Reference: 73.13M
Latitude: 47.2062007, Longitude: 9.7040124, Information Type: guidepost, Reference: 73.03M
Latitude: 47.2061925, Longitude: 9.6997485, Information Type: guidepost, Reference: 73.11M
Latitude: 47.2061904, Longitude: 9.7039492, Information Type: guidepost, Reference: VWW 73.03
Latitude: 47.2064541, Longitude: 9.7037246, Information Type: guidepost, Reference: VWW 73.02
