Latitude: 47.2964931, Longitude: 10.0238308, Information Type: guidepost, Reference: VWW 76.66
Latitude: 47.3009165, Longitude: 10.0786835, Information Type: guidepost, Reference: VWW 76.78
Latitude: 47.3190774, Longitude: 10.0827980, Information Type: guidepost, Reference: VWW 76.53
Latitude: 47.2993972, Longitude: 10.0772292, Information Type: guidepost, Reference: VWW 76.57
Latitude: 47.3003003, Longitude: 10.0710205, Information Type: guidepost, Reference: VWW 76.56
Latitude: 47.3150681, Longitude: 10.0700991, Information Type: guidepost, Reference: VWW 76.54
Latitude: 47.2858182, Longitude: 10.0589377, Information Type: guidepost, Reference: VWW 76.59
Latitude: 47.2997574, Longitude: 10.0727946, Information Type: guidepost, Reference: VWW 76.50
Latitude: 47.3052381, Longitude: 10.0754293, Information Type: guidepost, Reference: VWW 76.55
Latitude: 47.3086213, Longitude: 10.0344034, Information Type: guidepost, Reference: VWW 76.28
Latitude: 47.3105541, Longitude: 10.0843256, Information Type: guidepost, Reference: N/A
Latitude: 47.3175189, Longitude: 10.0159447, Information Type: guidepost, Reference: VWW 76.03
Latitude: 47.3187677, Longitude: 10.0170967, Information Type: guidepost, Reference: VWW 76.96
Latitude: 47.3192677, Longitude: 10.0161244, Information Type: guidepost, Reference: VWW 76.04
Latitude: 47.3202859, Longitude: 10.0098909, Information Type: guidepost, Reference: VWW 76.05
Latitude: 47.3227369, Longitude: 10.0142790, Information Type: guidepost, Reference: VWW 76.101
Latitude: 47.3331895, Longitude: 10.0259375, Information Type: guidepost, Reference: VWW 76.74
Latitude: 47.3353982, Longitude: 10.0306524, Information Type: guidepost, Reference: VWW 76.40
Latitude: 47.3358990, Longitude: 10.0277037, Information Type: guidepost, Reference: VWW 76.39
Latitude: 47.3431454, Longitude: 10.0347391, Information Type: guidepost, Reference: VWW 76.42
Latitude: 47.3435961, Longitude: 10.0340518, Information Type: guidepost, Reference: VWW 76.43
Latitude: 47.3454719, Longitude: 10.0282875, Information Type: guidepost, Reference: VWW 76.36
Latitude: 47.3459246, Longitude: 10.0281471, Information Type: guidepost, Reference: VWW 76.41
Latitude: 47.3396617, Longitude: 10.0444358, Information Type: guidepost, Reference: VWW 76.45
Latitude: 47.3352868, Longitude: 10.0435864, Information Type: guidepost, Reference: VWW 76.46
Latitude: 47.3311124, Longitude: 10.0564038, Information Type: guidepost, Reference: VWW 76.47
Latitude: 47.3226075, Longitude: 10.0526217, Information Type: guidepost, Reference: VWW 76.48
Latitude: 47.3242120, Longitude: 10.0435100, Information Type: guidepost, Reference: VWW 76.33
Latitude: 47.3161550, Longitude: 10.0294702, Information Type: guidepost, Reference: VWW 76.32
Latitude: 47.3119769, Longitude: 10.0273920, Information Type: guidepost, Reference: VWW 76.31
Latitude: 47.3141381, Longitude: 10.0216619, Information Type: guidepost, Reference: VWW 76.98
Latitude: 47.2694139, Longitude: 10.0291987, Information Type: guidepost, Reference: VWW 76.70
Latitude: 47.2699289, Longitude: 10.0267305, Information Type: guidepost, Reference: VWW 76.103
Latitude: 47.2795337, Longitude: 10.0134785, Information Type: guidepost, Reference: VWW 76.69
Latitude: 47.2897776, Longitude: 10.0275657, Information Type: guidepost, Reference: VWW 76.22
Latitude: 47.2963380, Longitude: 10.0418044, Information Type: guidepost, Reference: VWW 76.64
Latitude: 47.3338878, Longitude: 10.0249711, Information Type: guidepost, Reference: VWW 76.38
Latitude: 47.3034095, Longitude: 10.0361935, Information Type: guidepost, Reference: VWW 76.67
Latitude: 47.3043804, Longitude: 10.0332313, Information Type: guidepost, Reference: VWW 76.102
Latitude: 47.2817132, Longitude: 10.0584642, Information Type: guidepost, Reference: VWW 76.82
Latitude: 47.2837304, Longitude: 10.0550793, Information Type: guidepost, Reference: VWW 76.60
Latitude: 47.2854481, Longitude: 10.0067659, Information Type: guidepost, Reference: VWW 76.68
Latitude: 47.3228955, Longitude: 10.0191912, Information Type: guidepost, Reference: VWW 76.100
Latitude: 47.2910994, Longitude: 10.0036483, Information Type: guidepost, Reference: VWW 76.21
Latitude: 47.3192209, Longitude: 10.0067823, Information Type: guidepost, Reference: VWW 76.06
Latitude: 47.3182507, Longitude: 10.0145272, Information Type: guidepost, Reference: VWW 76.95
Latitude: 47.3166871, Longitude: 10.0084912, Information Type: guidepost, Reference: VWW 76.07
Latitude: 47.3180008, Longitude: 10.0073307, Information Type: guidepost, Reference: VWW 76.79
Latitude: 47.3104464, Longitude: 10.0014047, Information Type: guidepost, Reference: VWW 76.83
Latitude: 47.3136456, Longitude: 10.0037355, Information Type: guidepost, Reference: VWW 76.13
Latitude: 47.3136143, Longitude: 10.0063487, Information Type: guidepost, Reference: VWW 76.12
Latitude: 47.3146614, Longitude: 10.0047197, Information Type: guidepost, Reference: VWW 76.10
Latitude: 47.3143627, Longitude: 10.0056136, Information Type: guidepost, Reference: VWW 76.11
Latitude: 47.3154109, Longitude: 10.0077298, Information Type: guidepost, Reference: VWW 76.09
Latitude: 47.3162561, Longitude: 10.0089154, Information Type: guidepost, Reference: VWW 76.08
Latitude: 47.3139641, Longitude: 10.0165756, Information Type: guidepost, Reference: VWW 76.02
Latitude: 47.3124672, Longitude: 10.0159728, Information Type: guidepost, Reference: VWW 76.01
Latitude: 47.3098057, Longitude: 10.0118257, Information Type: guidepost, Reference: VWW 76.19
Latitude: 47.3111954, Longitude: 10.0114094, Information Type: guidepost, Reference: VWW 76.18
Latitude: 47.3109386, Longitude: 10.0108349, Information Type: guidepost, Reference: VWW 76.17
Latitude: 47.3101432, Longitude: 10.0095805, Information Type: guidepost, Reference: VWW 76.16
Latitude: 47.3128846, Longitude: 10.0048222, Information Type: guidepost, Reference: VWW 76.14
Latitude: 47.3094948, Longitude: 10.0053442, Information Type: guidepost, Reference: VWW 76.15
Latitude: 47.3061609, Longitude: 10.0007705, Information Type: guidepost, Reference: VWW 76.84
Latitude: 47.3089129, Longitude: 10.0239006, Information Type: guidepost, Reference: VWW 76.97
Latitude: 47.3089101, Longitude: 10.0230094, Information Type: guidepost, Reference: VWW 76.23
Latitude: 47.3128825, Longitude: 10.0412058, Information Type: guidepost, Reference: VWW 76.29
Latitude: 47.3062273, Longitude: 10.0259568, Information Type: guidepost, Reference: VWW 76.24
Latitude: 47.3080943, Longitude: 10.0140629, Information Type: guidepost, Reference: VWW 76.20
Latitude: 47.3049756, Longitude: 10.0211449, Information Type: guidepost, Reference: VWW 76.81
Latitude: 47.3047171, Longitude: 10.0244897, Information Type: guidepost, Reference: VWW 76.27
Latitude: 47.3052153, Longitude: 10.0250490, Information Type: guidepost, Reference: VWW 76.25
Latitude: 47.3047777, Longitude: 10.0249225, Information Type: guidepost, Reference: VWW 76.26
Latitude: 47.3313985, Longitude: 10.0316826, Information Type: guidepost, Reference: VWW 76.34
Latitude: 47.3315753, Longitude: 10.0235696, Information Type: guidepost, Reference: VWW 76.37
Latitude: 47.3346728, Longitude: 10.0409457, Information Type: guidepost, Reference: VWW 76.44
Latitude: 47.3309629, Longitude: 10.0377602, Information Type: guidepost, Reference: VWW 76.35
Latitude: 47.3221493, Longitude: 10.0702880, Information Type: guidepost, Reference: VWW 76.52
