Latitude: 47.2401278, Longitude: 10.0737266, Information Type: guidepost, Reference: VWW 77.09
Latitude: 47.2382723, Longitude: 10.0805433, Information Type: guidepost, Reference: VWW 77.06
Latitude: 47.2498378, Longitude: 10.1225742, Information Type: guidepost, Reference: VWW 77.46
Latitude: 47.2583533, Longitude: 10.1116824, Information Type: guidepost, Reference: N/A
Latitude: 47.2544727, Longitude: 10.1082079, Information Type: guidepost, Reference: VWW 77.44
Latitude: 47.2621850, Longitude: 10.0784616, Information Type: guidepost, Reference: VWW 77.53
Latitude: 47.2642769, Longitude: 10.0757860, Information Type: guidepost, Reference: VWW 77.52
Latitude: 47.2652197, Longitude: 10.0900834, Information Type: guidepost, Reference: VWW 77.24
Latitude: 47.2500249, Longitude: 10.0916954, Information Type: guidepost, Reference: VWW 77.56
Latitude: 47.2636206, Longitude: 10.1091449, Information Type: guidepost, Reference: VWW 77.55
Latitude: 47.2645829, Longitude: 10.1086885, Information Type: guidepost, Reference: VWW 77.54
Latitude: 47.2602170, Longitude: 10.0992643, Information Type: guidepost, Reference: VWW 77.51
Latitude: 47.2592312, Longitude: 10.0997281, Information Type: guidepost, Reference: VWW 77.50
Latitude: 47.2668146, Longitude: 10.0883479, Information Type: guidepost, Reference: VWW 77.49
Latitude: 47.2574783, Longitude: 10.1127648, Information Type: guidepost, Reference: VWW 77.38
Latitude: 47.2694808, Longitude: 10.0741929, Information Type: guidepost, Reference: VWW 77.47
Latitude: 47.2605026, Longitude: 10.0878330, Information Type: guidepost, Reference: VWW 77.11
Latitude: 47.2623225, Longitude: 10.0867404, Information Type: guidepost, Reference: VWW 77.12
Latitude: 47.2643631, Longitude: 10.0839662, Information Type: guidepost, Reference: VWW 77.19
Latitude: 47.2596332, Longitude: 10.0889096, Information Type: guidepost, Reference: VWW 77.10
Latitude: 47.2576054, Longitude: 10.0932834, Information Type: guidepost, Reference: VWW 77.26
Latitude: 47.2549194, Longitude: 10.0946377, Information Type: guidepost, Reference: VWW 77.39
Latitude: 47.2580079, Longitude: 10.0924766, Information Type: guidepost, Reference: VWW 77.01
Latitude: 47.2571852, Longitude: 10.0922192, Information Type: guidepost, Reference: VWW 77.02
Latitude: 47.2538159, Longitude: 10.0883440, Information Type: guidepost, Reference: VWW 77.03
Latitude: 47.2526993, Longitude: 10.0893801, Information Type: guidepost, Reference: VWW 77.04
Latitude: 47.2635864, Longitude: 10.0989323, Information Type: guidepost, Reference: VWW 77.30
Latitude: 47.2634824, Longitude: 10.1051937, Information Type: guidepost, Reference: VWW 77.34
Latitude: 47.2618233, Longitude: 10.1027297, Information Type: guidepost, Reference: VWW 77.36
Latitude: 47.2626606, Longitude: 10.1048333, Information Type: guidepost, Reference: VWW 77.33
Latitude: 47.2626517, Longitude: 10.1055153, Information Type: guidepost, Reference: VWW 77.37
Latitude: 47.2469015, Longitude: 10.1093876, Information Type: guidepost, Reference: VWW 77.42
Latitude: 47.2479905, Longitude: 10.1025491, Information Type: guidepost, Reference: VWW 77.41
Latitude: 47.2509476, Longitude: 10.0939546, Information Type: guidepost, Reference: VWW 77.40
Latitude: 47.2513926, Longitude: 10.0912087, Information Type: guidepost, Reference: VWW 77.05
Latitude: 47.2284078, Longitude: 10.0901729, Information Type: guidepost, Reference: VWW 77.08
Latitude: 47.2310284, Longitude: 10.0930241, Information Type: guidepost, Reference: VWW 77.07
Latitude: 47.2550835, Longitude: 10.1063592, Information Type: guidepost, Reference: VWW 77.43
Latitude: 47.2575332, Longitude: 10.1118996, Information Type: guidepost, Reference: VWW 77.45
Latitude: 47.2663828, Longitude: 10.1054926, Information Type: guidepost, Reference: VWW 77.35
Latitude: 47.2664810, Longitude: 10.0984374, Information Type: guidepost, Reference: VWW 77.31
Latitude: 47.2612938, Longitude: 10.0972081, Information Type: guidepost, Reference: VWW 77.28
Latitude: 47.2630466, Longitude: 10.0947338, Information Type: guidepost, Reference: VWW 77.29
Latitude: 47.2654237, Longitude: 10.0857301, Information Type: guidepost, Reference: VWW 77.23
Latitude: 47.2696480, Longitude: 10.0870380, Information Type: guidepost, Reference: VWW 77.25
Latitude: 47.2671958, Longitude: 10.0964976, Information Type: guidepost, Reference: VWW 77.32
Latitude: 47.2649158, Longitude: 10.0773370, Information Type: guidepost, Reference: VWW 77.48
Latitude: 47.2602739, Longitude: 10.0808742, Information Type: guidepost, Reference: VWW 77.15
Latitude: 47.2620100, Longitude: 10.0815550, Information Type: guidepost, Reference: VWW 77.13
Latitude: 47.2622292, Longitude: 10.0799656, Information Type: guidepost, Reference: VWW 77.14
Latitude: 47.2627762, Longitude: 10.0729610, Information Type: guidepost, Reference: VWW 77.16
Latitude: 47.2661492, Longitude: 10.0673077, Information Type: guidepost, Reference: VWW 77.18
Latitude: 47.2654287, Longitude: 10.0671331, Information Type: guidepost, Reference: VWW 77.17
Latitude: 47.2413607, Longitude: 10.0708297, Information Type: guidepost, Reference: VWW 83.121
Latitude: 47.2677726, Longitude: 10.0758700, Information Type: guidepost, Reference: VWW 77.20
Latitude: 47.2760937, Longitude: 10.0814678, Information Type: guidepost, Reference: VWW 77.22
Latitude: 47.2755193, Longitude: 10.0769185, Information Type: guidepost, Reference: VWW 77.21
Latitude: 47.2594959, Longitude: 10.0969475, Information Type: guidepost, Reference: VWW 77.27
Latitude: 47.2544786, Longitude: 10.1081841, Information Type: guidepost, Reference: 77.44W
Latitude: 47.2612272, Longitude: 10.0972556, Information Type: guidepost, Reference: 77.28M
Latitude: 47.2580097, Longitude: 10.0924751, Information Type: guidepost, Reference: 77.01M
Latitude: 47.2571852, Longitude: 10.0922192, Information Type: guidepost, Reference: 77.02M
Latitude: 47.2596332, Longitude: 10.0889096, Information Type: guidepost, Reference: 77.10M
Latitude: 47.2622069, Longitude: 10.0736704, Information Type: guidepost, Reference: 77.16M
Latitude: 47.2661492, Longitude: 10.0673077, Information Type: guidepost, Reference: 77.18M
Latitude: 47.2506427, Longitude: 10.0938232, Information Type: guidepost, Reference: 77.40M
