Latitude: 47.1115609, Longitude: 9.9720549, Information Type: guidepost, Reference: VWW 82.098
Latitude: 47.0565891, Longitude: 10.0280298, Information Type: guidepost, Reference: N/A
Latitude: 47.0485264, Longitude: 10.1068659, Information Type: guidepost, Reference: VWW 82.062
Latitude: 47.0497046, Longitude: 10.0819663, Information Type: guidepost, Reference: N/A
Latitude: 47.0913897, Longitude: 9.9925531, Information Type: guidepost, Reference: VWW 82.009
Latitude: 47.0891565, Longitude: 10.0036008, Information Type: guidepost, Reference: VWW 82.040
Latitude: 47.0858357, Longitude: 10.0112434, Information Type: guidepost, Reference: VWW 82.042
Latitude: 47.0773815, Longitude: 10.0218134, Information Type: guidepost, Reference: VWW 82.043
Latitude: 47.0952290, Longitude: 9.9806373, Information Type: guidepost, Reference: VWW 82.021
Latitude: 47.0950150, Longitude: 9.9786504, Information Type: guidepost, Reference: VWW 82.002
Latitude: 47.0943169, Longitude: 9.9990512, Information Type: guidepost, Reference: VWW 82.024
Latitude: 47.0930088, Longitude: 9.9833288, Information Type: guidepost, Reference: VWW 82.007
Latitude: 47.0755720, Longitude: 10.0462815, Information Type: guidepost, Reference: VWW 82.122
Latitude: 47.0752284, Longitude: 10.1156454, Information Type: guidepost, Reference: VWW 82.118
Latitude: 47.0985849, Longitude: 10.0598167, Information Type: guidepost, Reference: VWW 82.109
Latitude: 47.0933360, Longitude: 10.0397926, Information Type: guidepost, Reference: VWW 82.107
Latitude: 47.0717771, Longitude: 10.1333504, Information Type: guidepost, Reference: N/A
Latitude: 47.0519430, Longitude: 10.0614206, Information Type: guidepost, Reference: VWW 82.061
Latitude: 47.0465185, Longitude: 10.1521626, Information Type: guidepost, Reference: N/A
Latitude: 47.0522778, Longitude: 10.1281577, Information Type: guidepost, Reference: VWW 82.063
Latitude: 47.0481644, Longitude: 10.0265456, Information Type: guidepost, Reference: N/A
Latitude: 47.0968667, Longitude: 10.0412437, Information Type: guidepost, Reference: VWW 82.108
Latitude: 47.0903416, Longitude: 10.0090461, Information Type: guidepost, Reference: VWW 82.072
Latitude: 47.0972498, Longitude: 9.9777961, Information Type: guidepost, Reference: VWW 82.071
Latitude: 47.1076999, Longitude: 9.9883945, Information Type: guidepost, Reference: VWW 82.119
Latitude: 47.1048674, Longitude: 9.9911500, Information Type: guidepost, Reference: VWW 82.126
Latitude: 47.1050186, Longitude: 9.9917699, Information Type: guidepost, Reference: VWW 82.127
Latitude: 47.0954157, Longitude: 9.9570634, Information Type: guidepost, Reference: VWW 82.055
Latitude: 47.1053578, Longitude: 9.9641717, Information Type: guidepost, Reference: VWW 82.054
Latitude: 47.0930179, Longitude: 9.9825550, Information Type: guidepost, Reference: VWW 82.058
Latitude: 47.0923701, Longitude: 9.9800615, Information Type: guidepost, Reference: VWW 82.057
Latitude: 47.0925149, Longitude: 9.9783642, Information Type: guidepost, Reference: VWW 82.056
Latitude: 47.1007011, Longitude: 9.9875463, Information Type: guidepost, Reference: VWW 82.050
Latitude: 47.0891531, Longitude: 10.0027747, Information Type: guidepost, Reference: VWW 82.053
Latitude: 47.1108009, Longitude: 10.0561710, Information Type: guidepost, Reference: VWW 82.111
Latitude: 47.0682621, Longitude: 10.0453847, Information Type: guidepost, Reference: VWW 82.121
Latitude: 47.0792054, Longitude: 10.0420680, Information Type: guidepost, Reference: VWW 82.123
Latitude: 47.0929041, Longitude: 10.0018336, Information Type: guidepost, Reference: VWW 82.041
Latitude: 47.0940788, Longitude: 10.0024852, Information Type: guidepost, Reference: VWW 82.025
Latitude: 47.0960313, Longitude: 10.0060148, Information Type: guidepost, Reference: VWW 82.028
Latitude: 47.0939766, Longitude: 10.0052509, Information Type: guidepost, Reference: VWW 82.026
Latitude: 47.0951628, Longitude: 10.0077979, Information Type: guidepost, Reference: VWW 82.027
Latitude: 47.0967924, Longitude: 10.0114552, Information Type: guidepost, Reference: VWW 82.104
Latitude: 47.0995594, Longitude: 9.9992598, Information Type: guidepost, Reference: VWW 82.103
Latitude: 47.0992649, Longitude: 9.9865243, Information Type: guidepost, Reference: VWW 82.032
Latitude: 47.1009719, Longitude: 9.9790093, Information Type: guidepost, Reference: VWW 82.031
Latitude: 47.1038570, Longitude: 9.9756497, Information Type: guidepost, Reference: VWW 82.038
Latitude: 47.1011147, Longitude: 9.9783039, Information Type: guidepost, Reference: VWW 82.033
Latitude: 47.1005956, Longitude: 9.9760022, Information Type: guidepost, Reference: VWW 82.030
Latitude: 47.1045066, Longitude: 9.9817429, Information Type: guidepost, Reference: VWW 82.036
Latitude: 47.1036820, Longitude: 9.9846738, Information Type: guidepost, Reference: VWW 82.037
Latitude: 47.1070359, Longitude: 9.9871474, Information Type: guidepost, Reference: VWW 82.102
Latitude: 47.1076552, Longitude: 9.9879882, Information Type: guidepost, Reference: VWW 82.115
Latitude: 47.1074594, Longitude: 9.9958070, Information Type: guidepost, Reference: VWW 82.097
Latitude: 47.0984421, Longitude: 10.0279128, Information Type: guidepost, Reference: VWW 82.116
Latitude: 47.1077004, Longitude: 10.0516537, Information Type: guidepost, Reference: VWW 82.110
Latitude: 47.1112189, Longitude: 10.0556713, Information Type: guidepost, Reference: VWW 82.112
Latitude: 47.1110190, Longitude: 10.0552573, Information Type: guidepost, Reference: VWW 82.117
Latitude: 47.1108498, Longitude: 10.0538665, Information Type: guidepost, Reference: VWW 82.113
Latitude: 47.1103658, Longitude: 10.0523840, Information Type: guidepost, Reference: VWW 82.114
Latitude: 47.1093942, Longitude: 9.9838639, Information Type: guidepost, Reference: VWW 17.008
Latitude: 47.1075647, Longitude: 9.9841359, Information Type: guidepost, Reference: VWW 82.101
Latitude: 47.1073784, Longitude: 9.9829488, Information Type: guidepost, Reference: VWW 82.099
Latitude: 47.1021035, Longitude: 9.9728723, Information Type: guidepost, Reference: VWW 82.029
Latitude: 47.1086652, Longitude: 9.9816322, Information Type: guidepost, Reference: VWW 82.095
Latitude: 47.1097866, Longitude: 9.9796916, Information Type: guidepost, Reference: VWW 82.093
Latitude: 47.1059900, Longitude: 9.9733198, Information Type: guidepost, Reference: VWW 82.035
Latitude: 47.1065280, Longitude: 9.9691053, Information Type: guidepost, Reference: VWW 82.034
Latitude: 47.0612124, Longitude: 10.0679517, Information Type: guidepost, Reference: VWW 82.125
Latitude: 47.0561144, Longitude: 10.0508563, Information Type: guidepost, Reference: VWW 82.060
Latitude: 47.0640226, Longitude: 10.0611736, Information Type: guidepost, Reference: VWW 82.120
Latitude: 47.0563642, Longitude: 10.0460954, Information Type: guidepost, Reference: VWW 82.048
Latitude: 47.0555109, Longitude: 10.0410577, Information Type: guidepost, Reference: VWW 82.049
Latitude: 47.0486508, Longitude: 10.0267104, Information Type: guidepost, Reference: VWW 82.052
Latitude: 47.0568208, Longitude: 10.0270834, Information Type: guidepost, Reference: VWW 82.047
Latitude: 47.0621724, Longitude: 10.0216311, Information Type: guidepost, Reference: VWW 82.046
Latitude: 47.0738596, Longitude: 10.0236242, Information Type: guidepost, Reference: VWW 82.044
Latitude: 47.0748637, Longitude: 10.0269315, Information Type: guidepost, Reference: VWW 82.045
Latitude: 47.0898383, Longitude: 10.0381129, Information Type: guidepost, Reference: VWW 82.106
Latitude: 47.0881349, Longitude: 10.0352584, Information Type: guidepost, Reference: VWW 82.105
Latitude: 47.0912193, Longitude: 9.9788561, Information Type: guidepost, Reference: VWW 82.005
Latitude: 47.0914850, Longitude: 9.9809783, Information Type: guidepost, Reference: VWW 82.006
Latitude: 47.0931987, Longitude: 9.9986576, Information Type: guidepost, Reference: VWW 82.039
Latitude: 47.0942763, Longitude: 9.9946588, Information Type: guidepost, Reference: VWW 82.023
Latitude: 47.0934217, Longitude: 9.9877498, Information Type: guidepost, Reference: VWW 82.010
Latitude: 47.0930785, Longitude: 9.9878086, Information Type: guidepost, Reference: VWW 82.008
Latitude: 47.0947984, Longitude: 9.9784587, Information Type: guidepost, Reference: VWW 82.003
Latitude: 47.0929781, Longitude: 9.9764334, Information Type: guidepost, Reference: VWW 82.020
Latitude: 47.0943750, Longitude: 9.9774907, Information Type: guidepost, Reference: VWW 82.004
Latitude: 47.0949363, Longitude: 9.9644291, Information Type: guidepost, Reference: VWW 82.011
Latitude: 47.0945403, Longitude: 9.9595052, Information Type: guidepost, Reference: VWW 82.022
Latitude: 47.0931667, Longitude: 9.9548380, Information Type: guidepost, Reference: VWW 82.012
Latitude: 47.0902647, Longitude: 9.9571007, Information Type: guidepost, Reference: VWW 82.013
Latitude: 47.0930481, Longitude: 9.9636810, Information Type: guidepost, Reference: VWW 82.014
Latitude: 47.0922877, Longitude: 9.9675370, Information Type: guidepost, Reference: VWW 82.019
Latitude: 47.0913203, Longitude: 9.9732093, Information Type: guidepost, Reference: VWW 82.015
Latitude: 47.0812499, Longitude: 9.9874017, Information Type: guidepost, Reference: VWW 82.016
