Latitude: 47.2596181, Longitude: 10.0171599, Information Type: guidepost, Reference: VWW 83.134
Latitude: 47.2188233, Longitude: 9.9300880, Information Type: guidepost, Reference: VWW 83.066
Latitude: 47.2121595, Longitude: 9.8868893, Information Type: guidepost, Reference: VWW 83.067
Latitude: 47.2186044, Longitude: 9.8983294, Information Type: guidepost, Reference: VWW 83.068
Latitude: 47.2345080, Longitude: 10.0241230, Information Type: guidepost, Reference: VWW 83.151
Latitude: 47.2303286, Longitude: 10.0181392, Information Type: guidepost, Reference: VWW 83.152
Latitude: 47.2170074, Longitude: 10.0345188, Information Type: guidepost, Reference: VWW 83.157
Latitude: 47.2326497, Longitude: 9.9303417, Information Type: guidepost, Reference: VWW 83.042
Latitude: 47.2185471, Longitude: 9.8991316, Information Type: guidepost, Reference: VWW 83.078
Latitude: 47.2316212, Longitude: 9.9400541, Information Type: guidepost, Reference: VWW 83.043
Latitude: 47.2311818, Longitude: 9.9220086, Information Type: guidepost, Reference: VWW 83.040
Latitude: 47.2181125, Longitude: 9.9308252, Information Type: guidepost, Reference: VWW 83.064
Latitude: 47.2270367, Longitude: 9.9312665, Information Type: guidepost, Reference: VWW 83.046
Latitude: 47.2119740, Longitude: 9.9346287, Information Type: guidepost, Reference: VWW 83.065
Latitude: 47.2620266, Longitude: 9.9565067, Information Type: guidepost, Reference: VWW 83.161
Latitude: 47.2605224, Longitude: 9.9708810, Information Type: guidepost, Reference: VWW 83.164
Latitude: 47.2579733, Longitude: 9.9892535, Information Type: guidepost, Reference: VWW 83.108
Latitude: 47.2562301, Longitude: 9.9808227, Information Type: guidepost, Reference: N/A
Latitude: 47.2512504, Longitude: 9.9614179, Information Type: guidepost, Reference: N/A
Latitude: 47.2247680, Longitude: 9.9868170, Information Type: guidepost, Reference: VWW 83.091
Latitude: 47.2315906, Longitude: 9.9220153, Information Type: guidepost, Reference: VWW 83.041
Latitude: 47.2294829, Longitude: 9.9228899, Information Type: guidepost, Reference: VWW 83.047
Latitude: 47.2397302, Longitude: 9.9057375, Information Type: guidepost, Reference: VWW 83.007
Latitude: 47.2448252, Longitude: 9.9561040, Information Type: guidepost, Reference: VWW 83.013
Latitude: 47.2448931, Longitude: 9.9511331, Information Type: guidepost, Reference: VWW 83.017
Latitude: 47.2448172, Longitude: 9.9522985, Information Type: guidepost, Reference: VWW 83.012
Latitude: 47.2450370, Longitude: 9.9522956, Information Type: guidepost, Reference: VWW 83.011
Latitude: 47.2463701, Longitude: 9.9568015, Information Type: guidepost, Reference: VWW 83.105
Latitude: 47.2523331, Longitude: 9.9715583, Information Type: guidepost, Reference: VWW 83.106
Latitude: 47.2561725, Longitude: 9.9811145, Information Type: guidepost, Reference: VWW 83.107
Latitude: 47.2665967, Longitude: 10.0029664, Information Type: guidepost, Reference: VWW 83.109
Latitude: 47.2627126, Longitude: 10.0143842, Information Type: guidepost, Reference: VWW 83.111
Latitude: 47.2681571, Longitude: 10.0063743, Information Type: guidepost, Reference: VWW 83.163
Latitude: 47.2650190, Longitude: 10.0073191, Information Type: guidepost, Reference: VWW 83.162
Latitude: 47.2406784, Longitude: 10.0241206, Information Type: guidepost, Reference: VWW 83.088
Latitude: 47.2339521, Longitude: 10.0316659, Information Type: guidepost, Reference: VWW 83.116
Latitude: 47.2456823, Longitude: 9.9801403, Information Type: guidepost, Reference: VWW 83.059
Latitude: 47.2478167, Longitude: 10.0084228, Information Type: guidepost, Reference: VWW 83.131
Latitude: 47.2455637, Longitude: 10.0126421, Information Type: guidepost, Reference: VWW 83.089
Latitude: 47.2503250, Longitude: 10.0107437, Information Type: guidepost, Reference: VWW 83.132
Latitude: 47.2549145, Longitude: 10.0069888, Information Type: guidepost, Reference: VWW 83.119
Latitude: 47.2495231, Longitude: 10.0120709, Information Type: guidepost, Reference: VWW 83.098
Latitude: 47.2555555, Longitude: 10.0077774, Information Type: guidepost, Reference: VWW 83.133
Latitude: 47.2568527, Longitude: 10.0176438, Information Type: guidepost, Reference: VWW 83.112
Latitude: 47.2590366, Longitude: 10.0291610, Information Type: guidepost, Reference: VWW 83.113
Latitude: 47.2363510, Longitude: 9.8940732, Information Type: guidepost, Reference: VWW 83.032
Latitude: 47.2251843, Longitude: 9.9161345, Information Type: guidepost, Reference: VWW 83.178
Latitude: 47.2229785, Longitude: 9.9200613, Information Type: guidepost, Reference: VWW 83.177
Latitude: 47.2553537, Longitude: 10.0086610, Information Type: guidepost, Reference: VWW 83.120
Latitude: 47.2345476, Longitude: 9.8950625, Information Type: guidepost, Reference: VWW 83.175
Latitude: 47.2321700, Longitude: 9.9224473, Information Type: guidepost, Reference: VWW 83.035
Latitude: 47.2328569, Longitude: 9.9209355, Information Type: guidepost, Reference: VWW 83.039
Latitude: 47.2203692, Longitude: 9.9001624, Information Type: guidepost, Reference: VWW 83.174
Latitude: 47.2239367, Longitude: 9.9121758, Information Type: guidepost, Reference: VWW 83.173
Latitude: 47.2407835, Longitude: 9.9793002, Information Type: guidepost, Reference: VWW 83.061
Latitude: 47.2343270, Longitude: 9.8876466, Information Type: guidepost, Reference: VWW 83.130
Latitude: 47.2455232, Longitude: 10.0438299, Information Type: guidepost, Reference: VWW 83.122
Latitude: 47.2139852, Longitude: 9.9576177, Information Type: guidepost, Reference: VWW 83.188
Latitude: 47.2156454, Longitude: 9.9529362, Information Type: guidepost, Reference: VWW 83.189
Latitude: 47.2432784, Longitude: 10.0398834, Information Type: guidepost, Reference: VWW 83.123
Latitude: 47.2093959, Longitude: 9.8890079, Information Type: guidepost, Reference: VWW 83.167
Latitude: 47.2109629, Longitude: 9.9132622, Information Type: guidepost, Reference: VWW 83.168
Latitude: 47.2498122, Longitude: 10.0105123, Information Type: guidepost, Reference: VWW 83.135
Latitude: 47.2309526, Longitude: 9.9188335, Information Type: guidepost, Reference: VWW 83.038
Latitude: 47.2331793, Longitude: 9.9525262, Information Type: guidepost, Reference: VWW 83.083
Latitude: 47.2287931, Longitude: 9.9386904, Information Type: guidepost, Reference: VWW 83.147
Latitude: 47.2223038, Longitude: 9.9338783, Information Type: guidepost, Reference: VWW 83.048
Latitude: 47.2215254, Longitude: 9.9190893, Information Type: guidepost, Reference: VWW 83.172
Latitude: 47.2275484, Longitude: 9.9069686, Information Type: guidepost, Reference: VWW 83.079
Latitude: 47.2251765, Longitude: 9.8976088, Information Type: guidepost, Reference: VWW 83.171
Latitude: 47.2250253, Longitude: 9.9023438, Information Type: guidepost, Reference: VWW 83.076
Latitude: 47.2241365, Longitude: 9.8997120, Information Type: guidepost, Reference: VWW 83.077
Latitude: 47.2329949, Longitude: 10.0308503, Information Type: guidepost, Reference: VWW 83.150
Latitude: 47.2404143, Longitude: 9.9790998, Information Type: guidepost, Reference: VWW 83.060
Latitude: 47.2424750, Longitude: 9.9590533, Information Type: guidepost, Reference: VWW 83.183
Latitude: 47.2442747, Longitude: 9.9599575, Information Type: guidepost, Reference: VWW 83.181
Latitude: 47.2446098, Longitude: 9.9641699, Information Type: guidepost, Reference: VWW 83.182
Latitude: 47.2453501, Longitude: 9.9657890, Information Type: guidepost, Reference: VWW 83.184
Latitude: 47.2441530, Longitude: 9.9594609, Information Type: guidepost, Reference: VWW 83.081
Latitude: 47.2429763, Longitude: 9.9541568, Information Type: guidepost, Reference: VWW 83.018
Latitude: 47.2351630, Longitude: 9.9478475, Information Type: guidepost, Reference: VWW 83.148
Latitude: 47.2294345, Longitude: 9.8808606, Information Type: guidepost, Reference: VWW 83.129
Latitude: 47.2302598, Longitude: 9.8767136, Information Type: guidepost, Reference: VWW 83.127
Latitude: 47.2318623, Longitude: 9.8790154, Information Type: guidepost, Reference: VWW 83.128
Latitude: 47.2266109, Longitude: 9.8745576, Information Type: guidepost, Reference: VWW 83.126
Latitude: 47.2268474, Longitude: 9.8757284, Information Type: guidepost, Reference: VWW 83.125
