Latitude: 47.2875324, Longitude: 9.6566921, Information Type: guidepost, Reference: VWW 85.03
Latitude: 47.2873785, Longitude: 9.6560670, Information Type: guidepost, Reference: VWW 85.02
Latitude: 47.2910939, Longitude: 9.6404879, Information Type: guidepost, Reference: VWW 85.18
Latitude: 47.2929881, Longitude: 9.6364259, Information Type: guidepost, Reference: VWW 85.19
Latitude: 47.2850318, Longitude: 9.6426476, Information Type: guidepost, Reference: VWW 85.12
Latitude: 47.2887088, Longitude: 9.6349200, Information Type: guidepost, Reference: VWW 85.24
Latitude: 47.2892074, Longitude: 9.6319975, Information Type: guidepost, Reference: VWW 85.25
Latitude: 47.2937670, Longitude: 9.6336591, Information Type: guidepost, Reference: VWW 85.22
Latitude: 47.2921277, Longitude: 9.6498172, Information Type: guidepost, Reference: VWW 85.17
Latitude: 47.2939259, Longitude: 9.6358218, Information Type: guidepost, Reference: VWW 85.20
Latitude: 47.2877895, Longitude: 9.6355670, Information Type: guidepost, Reference: VWW 85.23
Latitude: 47.2834931, Longitude: 9.6466580, Information Type: guidepost, Reference: VWW 85.10
Latitude: 47.2865405, Longitude: 9.6426121, Information Type: guidepost, Reference: VWW 85.14
Latitude: 47.2889911, Longitude: 9.6451780, Information Type: guidepost, Reference: VWW 85.15
Latitude: 47.2867990, Longitude: 9.6519553, Information Type: guidepost, Reference: VWW 85.01
Latitude: 47.2886289, Longitude: 9.6605790, Information Type: guidepost, Reference: VWW 85.04
Latitude: 47.2842513, Longitude: 9.6552222, Information Type: guidepost, Reference: VWW 85.07
Latitude: 47.2855396, Longitude: 9.6427150, Information Type: guidepost, Reference: VWW 85.11
Latitude: 47.2818779, Longitude: 9.6510184, Information Type: guidepost, Reference: VWW 85.09
Latitude: 47.2907423, Longitude: 9.6659228, Information Type: guidepost, Reference: VWW 85.05
Latitude: 47.2840764, Longitude: 9.6564567, Information Type: guidepost, Reference: VWW 85.06
Latitude: 47.2843365, Longitude: 9.6535093, Information Type: guidepost, Reference: VWW 85.08
Latitude: 47.2857462, Longitude: 9.6585499, Information Type: guidepost, Reference: VWW 85.16
Latitude: 47.2863904, Longitude: 9.6571308, Information Type: guidepost, Reference: VWW 85.21
Latitude: 47.2880772, Longitude: 9.6614061, Information Type: guidepost, Reference: VWW 85.13
Latitude: 47.2912440, Longitude: 9.6477266, Information Type: guidepost, Reference: 85.843.R
Latitude: 47.2929845, Longitude: 9.6364467, Information Type: guidepost, Reference: 85.861.R
Latitude: 47.2917407, Longitude: 9.6476065, Information Type: guidepost, Reference: 85.842.R
Latitude: 47.2910899, Longitude: 9.6405263, Information Type: guidepost, Reference: 85.860.R
Latitude: 47.2911896, Longitude: 9.6458030, Information Type: guidepost, Reference: 85.864.R
Latitude: 47.2849005, Longitude: 9.6515551, Information Type: guidepost, Reference: 85.854.R
Latitude: 47.2889595, Longitude: 9.6452168, Information Type: guidepost, Reference: 85.859.R
Latitude: 47.2917005, Longitude: 9.6473664, Information Type: guidepost, Reference: 85.841.R
Latitude: 47.2887044, Longitude: 9.6479658, Information Type: guidepost, Reference: 85.844.R
Latitude: 47.2939066, Longitude: 9.6358748, Information Type: guidepost, Reference: 85.863.R
Latitude: 47.2848490, Longitude: 9.6515293, Information Type: guidepost, Reference: 85.856.R
Latitude: 47.2847076, Longitude: 9.6531477, Information Type: guidepost, Reference: 85.853.R
Latitude: 47.2915160, Longitude: 9.6485480, Information Type: guidepost, Reference: 85.866.R
Latitude: 47.2859397, Longitude: 9.6498140, Information Type: guidepost, Reference: 85.857.R
Latitude: 47.2869856, Longitude: 9.6490205, Information Type: guidepost, Reference: 85.858.R
Latitude: 47.2879936, Longitude: 9.6479340, Information Type: guidepost, Reference: 85.846.R
Latitude: 47.2883418, Longitude: 9.6474933, Information Type: guidepost, Reference: 85.845.R
Latitude: 47.2846873, Longitude: 9.6452671, Information Type: guidepost, Reference: 85.849.R
Latitude: 47.2938931, Longitude: 9.6358847, Information Type: guidepost, Reference: 85.862.R
Latitude: 47.2926425, Longitude: 9.6467976, Information Type: guidepost, Reference: 85.840.R
Latitude: 47.2849360, Longitude: 9.6454860, Information Type: guidepost, Reference: 85.848.R
Latitude: 47.2848975, Longitude: 9.6515102, Information Type: guidepost, Reference: 85.855.R
Latitude: 47.2843267, Longitude: 9.6535281, Information Type: guidepost, Reference: 85.852.R
Latitude: 47.2836359, Longitude: 9.6470692, Information Type: guidepost, Reference: 85.850.R
Latitude: 47.2914292, Longitude: 9.6481592, Information Type: guidepost, Reference: 85.865.R
Latitude: 47.2844304, Longitude: 9.6549411, Information Type: guidepost, Reference: 85.851.R
Latitude: 47.2856344, Longitude: 9.6459924, Information Type: guidepost, Reference: 85.847.R
