Latitude: 47.2043123, Longitude: 9.7636615, Information Type: guidepost, Reference: VWW 87.05
Latitude: 47.2008161, Longitude: 9.7661934, Information Type: guidepost, Reference: VWW 87.21
Latitude: 47.2022600, Longitude: 9.7667822, Information Type: guidepost, Reference: VWW 87.04
Latitude: 47.2057030, Longitude: 9.7784212, Information Type: guidepost, Reference: VWW 87.10
Latitude: 47.2024833, Longitude: 9.7568167, Information Type: guidepost, Reference: VWW 87.01
Latitude: 47.1983728, Longitude: 9.7759009, Information Type: guidepost, Reference: VWW 87.19
Latitude: 47.1943631, Longitude: 9.7696505, Information Type: guidepost, Reference: VWW 87.23
Latitude: 47.1902839, Longitude: 9.7614919, Information Type: guidepost, Reference: VWW 87.25
Latitude: 47.1970128, Longitude: 9.7659875, Information Type: guidepost, Reference: VWW 87.22
Latitude: 47.1949879, Longitude: 9.7473677, Information Type: guidepost, Reference: VWW 11.26
Latitude: 47.1984943, Longitude: 9.7711187, Information Type: guidepost, Reference: VWW 87.31
Latitude: 47.2003651, Longitude: 9.7657031, Information Type: guidepost, Reference: VWW 87.03
Latitude: 47.1981236, Longitude: 9.7660964, Information Type: guidepost, Reference: VWW 87.20
Latitude: 47.2040019, Longitude: 9.7674296, Information Type: guidepost, Reference: VWW 87.07
Latitude: 47.2051037, Longitude: 9.7651610, Information Type: guidepost, Reference: VWW 87.06
Latitude: 47.2052455, Longitude: 9.7688810, Information Type: guidepost, Reference: VWW 87.08
Latitude: 47.2017543, Longitude: 9.7655122, Information Type: guidepost, Reference: VWW 87.02
Latitude: 47.2015350, Longitude: 9.7639567, Information Type: guidepost, Reference: VWW 87.13
Latitude: 47.2027580, Longitude: 9.7557320, Information Type: guidepost, Reference: VWW 11.08
Latitude: 47.2105081, Longitude: 9.7789896, Information Type: guidepost, Reference: VWW 87.11
Latitude: 47.2107342, Longitude: 9.7736926, Information Type: guidepost, Reference: VWW 87.09
Latitude: 47.2078127, Longitude: 9.7585729, Information Type: guidepost, Reference: VWW 87.14
Latitude: 47.2061719, Longitude: 9.7629771, Information Type: guidepost, Reference: VWW 87.12
Latitude: 47.1980527, Longitude: 9.7659003, Information Type: guidepost, Reference: 87.1363.R
Latitude: 47.1949573, Longitude: 9.7473453, Information Type: guidepost, Reference: 87.1351.R
Latitude: 47.1962832, Longitude: 9.7581268, Information Type: guidepost, Reference: 87.1359.R
Latitude: 47.1968081, Longitude: 9.7655890, Information Type: guidepost, Reference: 87.1360.R
Latitude: 47.1948750, Longitude: 9.7690038, Information Type: guidepost, Reference: 87.1367.R
Latitude: 47.1995755, Longitude: 9.7658933, Information Type: guidepost, Reference: 87.1364.R
Latitude: 47.1968975, Longitude: 9.7660289, Information Type: guidepost, Reference: 87.1361.R
Latitude: 47.1973707, Longitude: 9.7736806, Information Type: guidepost, Reference: 87.1368.R
Latitude: 47.1998354, Longitude: 9.7660568, Information Type: guidepost, Reference: 87.1365.R
Latitude: 47.1976340, Longitude: 9.7661609, Information Type: guidepost, Reference: 87.1362.R
Latitude: 47.1955347, Longitude: 9.7680057, Information Type: guidepost, Reference: 87.1366.R
Latitude: 47.2050981, Longitude: 9.7651862, Information Type: guidepost, Reference: 87.06M
Latitude: 47.2062772, Longitude: 9.7628382, Information Type: guidepost, Reference: 87.12M
Latitude: 47.2027580, Longitude: 9.7557320, Information Type: guidepost, Reference: 11.08M
Latitude: 47.2024912, Longitude: 9.7568896, Information Type: guidepost, Reference: 87.01M
Latitude: 47.2003651, Longitude: 9.7657031, Information Type: guidepost, Reference: 87.03M
Latitude: 47.2015350, Longitude: 9.7639567, Information Type: guidepost, Reference: 87.13M
Latitude: 47.1981236, Longitude: 9.7660964, Information Type: guidepost, Reference: 87.20M
