Latitude: 47.2674491, Longitude: 10.1496236, Information Type: guidepost, Reference: VWW 93.29
Latitude: 47.2671902, Longitude: 10.1284336, Information Type: guidepost, Reference: VWW 93.40
Latitude: 47.2669103, Longitude: 10.1239973, Information Type: guidepost, Reference: VWW 93.43
Latitude: 47.2791931, Longitude: 10.1329116, Information Type: guidepost, Reference: VWW 93.46
Latitude: 47.2783197, Longitude: 10.1370424, Information Type: guidepost, Reference: VWW 93.45
Latitude: 47.6250109, Longitude: 16.0536317, Information Type: guidepost, Reference: N/A
Latitude: 47.2767323, Longitude: 10.1661988, Information Type: guidepost, Reference: VWW 93.94
Latitude: 47.6229483, Longitude: 16.0628231, Information Type: guidepost, Reference: N/A
Latitude: 47.6340792, Longitude: 16.1480461, Information Type: guidepost, Reference: N/A
Latitude: 47.2562005, Longitude: 10.1836501, Information Type: guidepost, Reference: VWW 93.21
Latitude: 47.2619411, Longitude: 10.1721463, Information Type: guidepost, Reference: VWW 93.09
Latitude: 47.2591831, Longitude: 10.1810679, Information Type: guidepost, Reference: VWW 93.02
Latitude: 47.6567303, Longitude: 16.1099794, Information Type: guidepost, Reference: N/A
Latitude: 47.2578175, Longitude: 10.1866419, Information Type: guidepost, Reference: VWW 93.25
Latitude: 47.2645315, Longitude: 10.1679103, Information Type: guidepost, Reference: VWW 93.11
Latitude: 47.2684254, Longitude: 10.1434504, Information Type: guidepost, Reference: VWW 93.71
Latitude: 47.2676798, Longitude: 10.1470497, Information Type: guidepost, Reference: VWW 93.30
Latitude: 47.2578380, Longitude: 10.1220853, Information Type: guidepost, Reference: VWW 93.92
Latitude: 47.2605491, Longitude: 10.1748078, Information Type: guidepost, Reference: VWW 93.05
Latitude: 47.2653530, Longitude: 10.1290705, Information Type: guidepost, Reference: VWW 93.69
Latitude: 47.2554823, Longitude: 10.1214823, Information Type: guidepost, Reference: VWW 93.42
Latitude: 47.2522569, Longitude: 10.1461420, Information Type: guidepost, Reference: N/A
Latitude: 47.2647202, Longitude: 10.1176610, Information Type: guidepost, Reference: VWW 93.55
Latitude: 47.6576122, Longitude: 16.0741568, Information Type: guidepost, Reference: N/A
Latitude: 47.6634491, Longitude: 16.0766083, Information Type: guidepost, Reference: N/A
Latitude: 47.6608550, Longitude: 16.0896760, Information Type: guidepost, Reference: N/A
Latitude: 47.6515745, Longitude: 16.0527487, Information Type: guidepost, Reference: N/A
Latitude: 47.6513027, Longitude: 16.0531478, Information Type: guidepost, Reference: N/A
Latitude: 47.6366094, Longitude: 16.0405344, Information Type: guidepost, Reference: N/A
Latitude: 47.6380503, Longitude: 16.0414249, Information Type: guidepost, Reference: N/A
Latitude: 47.6380648, Longitude: 16.0426434, Information Type: guidepost, Reference: N/A
Latitude: 47.6335615, Longitude: 16.0390817, Information Type: guidepost, Reference: N/A
Latitude: 47.6303145, Longitude: 16.0335323, Information Type: guidepost, Reference: N/A
Latitude: 47.2565191, Longitude: 10.1566410, Information Type: guidepost, Reference: VWW 93.89
Latitude: 47.2529477, Longitude: 10.1499455, Information Type: guidepost, Reference: VWW 93.15
Latitude: 47.2583952, Longitude: 10.1495510, Information Type: guidepost, Reference: VWW 93.65
Latitude: 47.6492536, Longitude: 16.1344106, Information Type: guidepost, Reference: N/A
Latitude: 47.2603615, Longitude: 10.1780707, Information Type: guidepost, Reference: VWW 93.03
Latitude: 47.2597151, Longitude: 10.1771082, Information Type: guidepost, Reference: VWW 93.53
Latitude: 47.2560713, Longitude: 10.1589103, Information Type: guidepost, Reference: VWW 93.17
Latitude: 47.2587612, Longitude: 10.1691902, Information Type: guidepost, Reference: VWW 93.72
Latitude: 47.2626018, Longitude: 10.1662605, Information Type: guidepost, Reference: VWW 93.73
Latitude: 47.2555708, Longitude: 10.1894337, Information Type: guidepost, Reference: VWW 93.95
Latitude: 47.2524200, Longitude: 10.1841802, Information Type: guidepost, Reference: VWW 93.96
Latitude: 47.2749057, Longitude: 10.1701844, Information Type: guidepost, Reference: VWW 93.93
Latitude: 47.2552689, Longitude: 10.1348393, Information Type: guidepost, Reference: VWW 93.91
Latitude: 47.2611785, Longitude: 10.1594320, Information Type: guidepost, Reference: VWW 93.90
Latitude: 47.2517140, Longitude: 10.1859313, Information Type: guidepost, Reference: VWW 93.22
Latitude: 47.2661561, Longitude: 10.1286233, Information Type: guidepost, Reference: VWW 93.41
Latitude: 47.2694937, Longitude: 10.1306336, Information Type: guidepost, Reference: VWW 93.54
Latitude: 47.2683007, Longitude: 10.1276577, Information Type: guidepost, Reference: VWW 93.39
Latitude: 47.2686276, Longitude: 10.1357116, Information Type: guidepost, Reference: VWW 93.38
Latitude: 47.2700954, Longitude: 10.1358530, Information Type: guidepost, Reference: VWW 93.36
Latitude: 47.2717517, Longitude: 10.1556596, Information Type: guidepost, Reference: VWW 93.50
Latitude: 47.2697135, Longitude: 10.1430795, Information Type: guidepost, Reference: VWW 93.35
Latitude: 47.2683344, Longitude: 10.1439289, Information Type: guidepost, Reference: VWW 93.34
Latitude: 47.2675036, Longitude: 10.1552209, Information Type: guidepost, Reference: VWW 93.12
Latitude: 47.2626477, Longitude: 10.1626794, Information Type: guidepost, Reference: VWW 93.13
Latitude: 47.2653442, Longitude: 10.1562414, Information Type: guidepost, Reference: VWW 93.70
Latitude: 47.2625429, Longitude: 10.1689389, Information Type: guidepost, Reference: VWW 93.10
Latitude: 47.2640156, Longitude: 10.1529445, Information Type: guidepost, Reference: VWW 93.31
Latitude: 47.2582699, Longitude: 10.1417845, Information Type: guidepost, Reference: VWW 93.32
Latitude: 47.2586766, Longitude: 10.1526049, Information Type: guidepost, Reference: VWW 93.14
Latitude: 47.2573238, Longitude: 10.1856272, Information Type: guidepost, Reference: VWW 93.26
Latitude: 47.2577716, Longitude: 10.1835162, Information Type: guidepost, Reference: VWW 93.01
Latitude: 47.2621105, Longitude: 10.1742857, Information Type: guidepost, Reference: VWW 93.68
Latitude: 47.2608311, Longitude: 10.1690771, Information Type: guidepost, Reference: VWW 93.08
Latitude: 47.2596439, Longitude: 10.1653989, Information Type: guidepost, Reference: VWW 93.07
Latitude: 47.2599547, Longitude: 10.1709931, Information Type: guidepost, Reference: VWW 93.67
Latitude: 47.2561472, Longitude: 10.1795345, Information Type: guidepost, Reference: VWW 93.20
Latitude: 47.2526396, Longitude: 10.1693795, Information Type: guidepost, Reference: VWW 93.19
Latitude: 47.2522363, Longitude: 10.1670223, Information Type: guidepost, Reference: VWW 93.66
Latitude: 47.2517499, Longitude: 10.1656066, Information Type: guidepost, Reference: VWW 93.18
Latitude: 47.2589184, Longitude: 10.1744197, Information Type: guidepost, Reference: VWW 93.06
Latitude: 47.2601358, Longitude: 10.1763875, Information Type: guidepost, Reference: VWW 93.04
Latitude: 47.2705964, Longitude: 10.1342155, Information Type: guidepost, Reference: VWW 93.37
Latitude: 47.2730591, Longitude: 10.1241789, Information Type: guidepost, Reference: VWW 93.44
Latitude: 47.2589777, Longitude: 10.1883917, Information Type: guidepost, Reference: VWW 93.86
Latitude: 47.2569747, Longitude: 10.1867988, Information Type: guidepost, Reference: VWW 93.85
Latitude: 47.2542277, Longitude: 10.1940260, Information Type: guidepost, Reference: VWW 93.23
Latitude: 47.2593181, Longitude: 10.1934405, Information Type: guidepost, Reference: VWW 93.24
Latitude: 47.2730106, Longitude: 10.1585287, Information Type: guidepost, Reference: VWW 93.87
Latitude: 47.2746870, Longitude: 10.1671141, Information Type: guidepost, Reference: VWW 93.88
Latitude: 47.2592584, Longitude: 10.1858135, Information Type: guidepost, Reference: VWW 93.27
Latitude: 47.2605247, Longitude: 10.1887560, Information Type: guidepost, Reference: VWW 93.28
Latitude: 47.2537500, Longitude: 10.1351652, Information Type: guidepost, Reference: VWW 93.33
Latitude: 47.2552689, Longitude: 10.1348393, Information Type: guidepost, Reference: 93.91M
Latitude: 47.2578605, Longitude: 10.1220831, Information Type: guidepost, Reference: 93.92M
Latitude: 47.2601411, Longitude: 10.1763824, Information Type: guidepost, Reference: 93.04M
Latitude: 47.2669715, Longitude: 10.1496227, Information Type: guidepost, Reference: 93.29M
Latitude: 47.2683344, Longitude: 10.1439289, Information Type: guidepost, Reference: 93.34M
Latitude: 47.2633857, Longitude: 10.1197625, Information Type: guidepost, Reference: 93.58W
Latitude: 47.2604237, Longitude: 10.1830466, Information Type: guidepost, Reference: 93.59W
Latitude: 47.2563504, Longitude: 10.1872995, Information Type: guidepost, Reference: 93.63W
Latitude: 47.2576113, Longitude: 10.1868224, Information Type: guidepost, Reference: 93.62W
Latitude: 47.2585707, Longitude: 10.1846617, Information Type: guidepost, Reference: 93.61W
Latitude: 47.2588112, Longitude: 10.1844170, Information Type: guidepost, Reference: 93.60W
Latitude: 47.2604797, Longitude: 10.1851748, Information Type: guidepost, Reference: 93.64W
Latitude: 47.2598324, Longitude: 10.1770810, Information Type: guidepost, Reference: 93.53W
Latitude: 47.2661111, Longitude: 10.1216499, Information Type: guidepost, Reference: 93.56W
Latitude: 47.2633577, Longitude: 10.1144545, Information Type: guidepost, Reference: 93.57W
Latitude: 47.2677620, Longitude: 10.1471187, Information Type: guidepost, Reference: 93.30W
Latitude: 47.2700533, Longitude: 10.1358924, Information Type: guidepost, Reference: 93.36W
Latitude: 47.2671693, Longitude: 10.1289296, Information Type: guidepost, Reference: 93.40W
Latitude: 47.2682224, Longitude: 10.1274985, Information Type: guidepost, Reference: 93.39W
Latitude: 47.2668987, Longitude: 10.1239272, Information Type: guidepost, Reference: 93.43W
Latitude: 47.2672633, Longitude: 10.1286212, Information Type: guidepost, Reference: 93.40M
Latitude: 47.2683007, Longitude: 10.1276577, Information Type: guidepost, Reference: 93.39M
Latitude: 47.2700954, Longitude: 10.1358530, Information Type: guidepost, Reference: 93.36M
