Latitude: 47.2612698, Longitude: 9.6709370, Information Type: guidepost, Reference: VWW 90.19
Latitude: 47.2622573, Longitude: 9.6729770, Information Type: guidepost, Reference: VWW 90.20
Latitude: 47.2633563, Longitude: 9.6703224, Information Type: guidepost, Reference: VWW 90.23
Latitude: 47.2526693, Longitude: 9.6709560, Information Type: guidepost, Reference: VWW 90.01
Latitude: 47.2475743, Longitude: 9.6696687, Information Type: guidepost, Reference: VWW 90.02
Latitude: 47.2473129, Longitude: 9.6695625, Information Type: guidepost, Reference: VWW 90.03
Latitude: 47.2448142, Longitude: 9.6678530, Information Type: guidepost, Reference: VWW 90.04
Latitude: 47.2444105, Longitude: 9.6640120, Information Type: guidepost, Reference: VWW 90.05
Latitude: 47.2534160, Longitude: 9.6728451, Information Type: guidepost, Reference: VWW 90.06
Latitude: 47.2535343, Longitude: 9.6745895, Information Type: guidepost, Reference: VWW 90.07
Latitude: 47.2538807, Longitude: 9.6769831, Information Type: guidepost, Reference: VWW 90.08
Latitude: 47.2497944, Longitude: 9.6763752, Information Type: guidepost, Reference: VWW 90.09
Latitude: 47.2514618, Longitude: 9.6796923, Information Type: guidepost, Reference: VWW 90.10
Latitude: 47.2583715, Longitude: 9.6818791, Information Type: guidepost, Reference: VWW 90.41
Latitude: 47.2623549, Longitude: 9.6732775, Information Type: guidepost, Reference: VWW 90.20
Latitude: 47.2515973, Longitude: 9.6724313, Information Type: guidepost, Reference: VWW 90.21
Latitude: 47.2539434, Longitude: 9.6848007, Information Type: guidepost, Reference: VWW 90.22
Latitude: 47.2458746, Longitude: 9.6693240, Information Type: guidepost, Reference: VWW 90.26
Latitude: 47.2529128, Longitude: 9.6679984, Information Type: guidepost, Reference: VWW 90.30
Latitude: 47.2599857, Longitude: 9.6726871, Information Type: guidepost, Reference: VWW 90.31
Latitude: 47.2591172, Longitude: 9.6726733, Information Type: guidepost, Reference: VWW 90.32
Latitude: 47.2565784, Longitude: 9.6765882, Information Type: guidepost, Reference: VWW 90.33
Latitude: 47.2563651, Longitude: 9.6758226, Information Type: guidepost, Reference: VWW 90.34
Latitude: 47.2578479, Longitude: 9.6689788, Information Type: guidepost, Reference: VWW 90.35
Latitude: 47.2569943, Longitude: 9.6685693, Information Type: guidepost, Reference: VWW 90.36
Latitude: 47.2549316, Longitude: 9.6766500, Information Type: guidepost, Reference: VWW 90.37
Latitude: 47.2550156, Longitude: 9.6842464, Information Type: guidepost, Reference: VWW 90.38
Latitude: 47.2492428, Longitude: 9.6957733, Information Type: guidepost, Reference: VWW 90.11
Latitude: 47.2494891, Longitude: 9.6975266, Information Type: guidepost, Reference: VWW 90.12
Latitude: 47.2474752, Longitude: 9.7035590, Information Type: guidepost, Reference: VWW 90.13
Latitude: 47.2568313, Longitude: 9.6917608, Information Type: guidepost, Reference: VWW 90.15
Latitude: 47.2503881, Longitude: 9.7100845, Information Type: guidepost, Reference: VWW 90.17
Latitude: 47.2504763, Longitude: 9.7095259, Information Type: guidepost, Reference: VWW 90.18
Latitude: 47.2498368, Longitude: 9.6768437, Information Type: guidepost, Reference: 90.40M
Latitude: 47.2600473, Longitude: 9.6748621, Information Type: guidepost, Reference: N/A
Latitude: 47.2581788, Longitude: 9.6818446, Information Type: guidepost, Reference: VWW 90.14
Latitude: 47.2496926, Longitude: 9.6761811, Information Type: guidepost, Reference: VWW 90.39
Latitude: 47.2393749, Longitude: 9.7114862, Information Type: guidepost, Reference: VWW 90.28
Latitude: 47.2453701, Longitude: 9.6698669, Information Type: guidepost, Reference: VWW 90.26
Latitude: 47.2510864, Longitude: 9.6943362, Information Type: guidepost, Reference: VWW 90.27
Latitude: 47.2470722, Longitude: 9.7011742, Information Type: guidepost, Reference: VWW 90.13
Latitude: 47.2562009, Longitude: 9.6966635, Information Type: guidepost, Reference: VWW 90.24
Latitude: 47.2527010, Longitude: 9.7033999, Information Type: guidepost, Reference: VWW 90.16
Latitude: 47.2548858, Longitude: 9.6998428, Information Type: guidepost, Reference: VWW 90.25
Latitude: 47.2583727, Longitude: 9.6818960, Information Type: guidepost, Reference: 90.41M
Latitude: 47.2492322, Longitude: 9.6958000, Information Type: guidepost, Reference: 90.11M
Latitude: 47.2534195, Longitude: 9.6728668, Information Type: guidepost, Reference: 90.06M
Latitude: 47.2475859, Longitude: 9.6696706, Information Type: guidepost, Reference: 90.02M
Latitude: 47.2448178, Longitude: 9.6678788, Information Type: guidepost, Reference: 90.04M
Latitude: 47.2525926, Longitude: 9.6710063, Information Type: guidepost, Reference: 90.01M
