Latitude: 47.2955894, Longitude: 11.4147739, Information Type: guidepost, Reference: N/A
Latitude: 47.2792978, Longitude: 11.3474342, Information Type: guidepost, Reference: N/A
Latitude: 47.2822602, Longitude: 11.3695177, Information Type: guidepost, Reference: N/A
Latitude: 47.2788418, Longitude: 11.3462052, Information Type: guidepost, Reference: N/A
Latitude: 47.2843471, Longitude: 11.3348740, Information Type: guidepost, Reference: N/A
Latitude: 47.2822337, Longitude: 11.3387215, Information Type: guidepost, Reference: N/A
Latitude: 47.2869588, Longitude: 11.3554037, Information Type: guidepost, Reference: N/A
Latitude: 47.2858952, Longitude: 11.3552712, Information Type: guidepost, Reference: N/A
Latitude: 47.2886152, Longitude: 11.3540099, Information Type: guidepost, Reference: N/A
Latitude: 47.3422897, Longitude: 11.3328558, Information Type: guidepost, Reference: N/A
Latitude: 47.3381969, Longitude: 11.3426914, Information Type: guidepost, Reference: N/A
Latitude: 47.3383958, Longitude: 11.3410461, Information Type: guidepost, Reference: N/A
Latitude: 47.3384513, Longitude: 11.3411161, Information Type: guidepost, Reference: N/A
Latitude: 47.3374802, Longitude: 11.3676457, Information Type: guidepost, Reference: N/A
Latitude: 47.3222780, Longitude: 11.3852817, Information Type: guidepost, Reference: N/A
Latitude: 47.3285709, Longitude: 11.3702608, Information Type: guidepost, Reference: N/A
Latitude: 47.3120775, Longitude: 11.3840466, Information Type: guidepost, Reference: N/A
Latitude: 47.3121014, Longitude: 11.3839080, Information Type: guidepost, Reference: N/A
Latitude: 47.3126701, Longitude: 11.3889665, Information Type: guidepost, Reference: N/A
Latitude: 47.3134292, Longitude: 11.3955788, Information Type: guidepost, Reference: N/A
Latitude: 47.3228005, Longitude: 11.4097260, Information Type: guidepost, Reference: N/A
Latitude: 47.3242104, Longitude: 11.4186995, Information Type: guidepost, Reference: N/A
Latitude: 47.2302579, Longitude: 11.3899726, Information Type: guidepost, Reference: N/A
Latitude: 47.2425051, Longitude: 11.3540959, Information Type: guidepost, Reference: N/A
Latitude: 47.2472198, Longitude: 11.3623713, Information Type: guidepost, Reference: N/A
Latitude: 47.2461910, Longitude: 11.3750238, Information Type: guidepost, Reference: N/A
Latitude: 47.2499187, Longitude: 11.3829081, Information Type: guidepost, Reference: N/A
Latitude: 47.2505223, Longitude: 11.3826547, Information Type: guidepost, Reference: N/A
Latitude: 47.2506856, Longitude: 11.3765671, Information Type: guidepost, Reference: N/A
Latitude: 47.2527392, Longitude: 11.3790639, Information Type: guidepost, Reference: N/A
Latitude: 47.2542042, Longitude: 11.3807549, Information Type: guidepost, Reference: N/A
Latitude: 47.2443101, Longitude: 11.3640201, Information Type: guidepost, Reference: N/A
Latitude: 47.2455081, Longitude: 11.3648589, Information Type: guidepost, Reference: N/A
Latitude: 47.2492664, Longitude: 11.3816839, Information Type: guidepost, Reference: N/A
Latitude: 47.3348875, Longitude: 11.4262709, Information Type: guidepost, Reference: N/A
Latitude: 47.2820751, Longitude: 11.3344618, Information Type: guidepost, Reference: N/A
Latitude: 47.3207756, Longitude: 11.4041226, Information Type: guidepost, Reference: N/A
Latitude: 47.3395155, Longitude: 11.4210332, Information Type: guidepost, Reference: N/A
Latitude: 47.2908358, Longitude: 11.4072765, Information Type: guidepost, Reference: N/A
Latitude: 47.2933516, Longitude: 11.4048690, Information Type: guidepost, Reference: N/A
Latitude: 47.2879337, Longitude: 11.3866657, Information Type: guidepost, Reference: N/A
Latitude: 47.2892568, Longitude: 11.3902770, Information Type: guidepost, Reference: N/A
Latitude: 47.2903136, Longitude: 11.3749761, Information Type: guidepost, Reference: N/A
