Latitude: 47.5630839, Longitude: 9.7662547, Information Type: guidepost, Reference: VWW 37.09
Latitude: 47.5370033, Longitude: 9.7369084, Information Type: guidepost, Reference: VWW 37.28
Latitude: 47.5695608, Longitude: 9.7525616, Information Type: guidepost, Reference: VWW 37.01
Latitude: 47.5505557, Longitude: 9.7388307, Information Type: guidepost, Reference: VWW 37.24
Latitude: 47.5341782, Longitude: 9.7360402, Information Type: guidepost, Reference: VWW 37.22
Latitude: 47.5684877, Longitude: 9.7590137, Information Type: guidepost, Reference: VWW 37.05
Latitude: 47.5690392, Longitude: 9.7587565, Information Type: guidepost, Reference: VWW 37.06
Latitude: 47.5714115, Longitude: 9.7567352, Information Type: guidepost, Reference: VWW 37.03
Latitude: 47.5554844, Longitude: 9.7514501, Information Type: guidepost, Reference: VWW 37.47
Latitude: 47.5335006, Longitude: 9.7335071, Information Type: guidepost, Reference: VWW 37.29
Latitude: 47.5361623, Longitude: 9.7450580, Information Type: guidepost, Reference: VWW 37.30
Latitude: 47.5364137, Longitude: 9.7468190, Information Type: guidepost, Reference: VWW 37.31
Latitude: 47.5409453, Longitude: 9.7594132, Information Type: guidepost, Reference: VWW 37.45
Latitude: 47.5372615, Longitude: 9.7491243, Information Type: guidepost, Reference: VWW 37.32
Latitude: 47.5436362, Longitude: 9.7511682, Information Type: guidepost, Reference: VWW 37.38
Latitude: 47.5439810, Longitude: 9.7534513, Information Type: guidepost, Reference: VWW 37.39
Latitude: 47.5445401, Longitude: 9.7587960, Information Type: guidepost, Reference: VWW 37.40
Latitude: 47.5428114, Longitude: 9.7626153, Information Type: guidepost, Reference: VWW 37.44
Latitude: 47.5428666, Longitude: 9.7616564, Information Type: guidepost, Reference: VWW 37.43
Latitude: 47.5442981, Longitude: 9.7606772, Information Type: guidepost, Reference: VWW 37.42
Latitude: 47.5488091, Longitude: 9.7685810, Information Type: guidepost, Reference: VWW 37.46
Latitude: 47.5472803, Longitude: 9.7619168, Information Type: guidepost, Reference: VWW 37.41
Latitude: 47.5523342, Longitude: 9.7594290, Information Type: guidepost, Reference: VWW 37.13
Latitude: 47.5520285, Longitude: 9.7612049, Information Type: guidepost, Reference: VWW 37.12
Latitude: 47.5577859, Longitude: 9.7625699, Information Type: guidepost, Reference: VWW 37.11
Latitude: 47.5458611, Longitude: 9.7353864, Information Type: guidepost, Reference: VWW 37.27
Latitude: 47.5468515, Longitude: 9.7386654, Information Type: guidepost, Reference: VWW 37.26
Latitude: 47.5465064, Longitude: 9.7516270, Information Type: guidepost, Reference: VWW 37.37
Latitude: 47.5485483, Longitude: 9.7454496, Information Type: guidepost, Reference: VWW 37.25
Latitude: 47.5553457, Longitude: 9.7506926, Information Type: guidepost, Reference: VWW 37.15
Latitude: 47.5473704, Longitude: 9.7559397, Information Type: guidepost, Reference: VWW 37.36
Latitude: 47.5487350, Longitude: 9.7568514, Information Type: guidepost, Reference: VWW 37.35
Latitude: 47.5512825, Longitude: 9.7553929, Information Type: guidepost, Reference: VWW 37.34
Latitude: 47.5545208, Longitude: 9.7534590, Information Type: guidepost, Reference: VWW 37.33
Latitude: 47.5555048, Longitude: 9.7533395, Information Type: guidepost, Reference: VWW 37.14
Latitude: 47.5611727, Longitude: 9.7619705, Information Type: guidepost, Reference: VWW 37.10
Latitude: 47.5600824, Longitude: 9.7558848, Information Type: guidepost, Reference: VWW 37.16
Latitude: 47.5554672, Longitude: 9.7476991, Information Type: guidepost, Reference: VWW 37.21
Latitude: 47.5571927, Longitude: 9.7469659, Information Type: guidepost, Reference: VWW 37.20
Latitude: 47.5646802, Longitude: 9.7514673, Information Type: guidepost, Reference: VWW 37.19
Latitude: 47.5688728, Longitude: 9.7534918, Information Type: guidepost, Reference: VWW 37.04
Latitude: 47.5647121, Longitude: 9.7765421, Information Type: guidepost, Reference: VWW 60.40
