Latitude: 47.4476866, Longitude: 9.6613354, Information Type: guidepost, Reference: VWW 55.46
Latitude: 47.4005020, Longitude: 9.6582767, Information Type: guidepost, Reference: VWW 55.07
Latitude: 47.4343489, Longitude: 9.6579172, Information Type: guidepost, Reference: VWW 55.94
Latitude: 47.4340201, Longitude: 9.6564091, Information Type: guidepost, Reference: VWW 55.93
Latitude: 47.4330126, Longitude: 9.6624452, Information Type: guidepost, Reference: VWW 55.83
Latitude: 47.4317211, Longitude: 9.6540062, Information Type: guidepost, Reference: VWW 55.87
Latitude: 47.4383773, Longitude: 9.6462724, Information Type: guidepost, Reference: VWW 55.86
Latitude: 47.4361497, Longitude: 9.6528112, Information Type: guidepost, Reference: VWW 55.85
Latitude: 47.4356863, Longitude: 9.6563972, Information Type: guidepost, Reference: VWW 55.84
Latitude: 47.4367005, Longitude: 9.6593492, Information Type: guidepost, Reference: VWW 55.88
Latitude: 47.4393081, Longitude: 9.6589194, Information Type: guidepost, Reference: VWW 55.89
Latitude: 47.4395766, Longitude: 9.6625944, Information Type: guidepost, Reference: VWW 55.90
Latitude: 47.4420242, Longitude: 9.6717609, Information Type: guidepost, Reference: VWW 55.92
Latitude: 47.4399015, Longitude: 9.6665979, Information Type: guidepost, Reference: VWW 55.91
Latitude: 47.4315934, Longitude: 9.6697825, Information Type: guidepost, Reference: VWW 55.82
Latitude: 47.4090921, Longitude: 9.6768283, Information Type: guidepost, Reference: VWW 55.79
Latitude: 47.4126249, Longitude: 9.6737362, Information Type: guidepost, Reference: VWW 55.78
Latitude: 47.4136197, Longitude: 9.6642906, Information Type: guidepost, Reference: VWW 55.77
Latitude: 47.4157228, Longitude: 9.6592822, Information Type: guidepost, Reference: VWW 55.17
Latitude: 47.4178114, Longitude: 9.6718276, Information Type: guidepost, Reference: VWW 55.80
Latitude: 47.4338142, Longitude: 9.6960143, Information Type: guidepost, Reference: VWW 55.40
Latitude: 47.4287839, Longitude: 9.6912987, Information Type: guidepost, Reference: VWW 55.42
Latitude: 47.4464529, Longitude: 9.6969205, Information Type: guidepost, Reference: VWW 55.81
Latitude: 47.4261993, Longitude: 9.6595690, Information Type: guidepost, Reference: VWW 55.75
Latitude: 47.4198460, Longitude: 9.6601401, Information Type: guidepost, Reference: VWW 55.76
Latitude: 47.4518113, Longitude: 9.6684057, Information Type: guidepost, Reference: VWW 55.56
Latitude: 47.4506733, Longitude: 9.6675821, Information Type: guidepost, Reference: VWW 55.41
Latitude: 47.3972408, Longitude: 9.6685776, Information Type: guidepost, Reference: VWW 55.70
Latitude: 47.3980656, Longitude: 9.6780676, Information Type: guidepost, Reference: VWW 55.72
Latitude: 47.3953791, Longitude: 9.6679932, Information Type: guidepost, Reference: VWW 55.71
Latitude: 47.4488239, Longitude: 9.6875838, Information Type: guidepost, Reference: VWW 55.74
Latitude: 47.4169779, Longitude: 9.6835050, Information Type: guidepost, Reference: VWW 55.73
Latitude: 47.4302842, Longitude: 9.6551051, Information Type: guidepost, Reference: VWW 55.49
Latitude: 47.4318317, Longitude: 9.6506154, Information Type: guidepost, Reference: VWW 55.48
Latitude: 47.4317253, Longitude: 9.6477003, Information Type: guidepost, Reference: VWW 55.02
Latitude: 47.4313650, Longitude: 9.6461182, Information Type: guidepost, Reference: VWW 55.03
