Latitude: 47.0872173, Longitude: 9.6503054, Information Type: guidepost, Reference: VWW 61.155
Latitude: 47.0785435, Longitude: 9.6657726, Information Type: guidepost, Reference: VWW 61.161
Latitude: 47.0797628, Longitude: 9.6679778, Information Type: guidepost, Reference: VWW 61.162
Latitude: 47.0795651, Longitude: 9.6684417, Information Type: guidepost, Reference: VWW 61.164
Latitude: 47.1842341, Longitude: 9.6452337, Information Type: guidepost, Reference: VWW 61.208
Latitude: 47.1580538, Longitude: 9.7258326, Information Type: guidepost, Reference: VWW 61.109
Latitude: 47.1418970, Longitude: 9.7205952, Information Type: guidepost, Reference: VWW 61.114
Latitude: 47.1457294, Longitude: 9.7200493, Information Type: guidepost, Reference: N/A
Latitude: 47.1469273, Longitude: 9.7197607, Information Type: guidepost, Reference: VWW 61.112
Latitude: 47.0765661, Longitude: 9.6644399, Information Type: guidepost, Reference: VWW 61.165
Latitude: 47.0766635, Longitude: 9.6588288, Information Type: guidepost, Reference: VWW 61.166
Latitude: 47.1575363, Longitude: 9.6319601, Information Type: guidepost, Reference: VWW 61.214
Latitude: 47.1609203, Longitude: 9.6355610, Information Type: guidepost, Reference: VWW 61.213
Latitude: 47.0891911, Longitude: 9.6653337, Information Type: guidepost, Reference: VWW 61.163
Latitude: 47.0794952, Longitude: 9.6670578, Information Type: guidepost, Reference: VWW 61.160
Latitude: 47.0761438, Longitude: 9.6780173, Information Type: guidepost, Reference: VWW 61.168
Latitude: 47.1720702, Longitude: 9.6336343, Information Type: guidepost, Reference: VWW 61.212
Latitude: 47.1791326, Longitude: 9.6272379, Information Type: guidepost, Reference: VWW 27.305
Latitude: 47.1176036, Longitude: 9.7184627, Information Type: guidepost, Reference: VWW 61.123
Latitude: 47.1304854, Longitude: 9.7298393, Information Type: guidepost, Reference: VWW 61.118
Latitude: 47.1155419, Longitude: 9.7194432, Information Type: guidepost, Reference: VWW 61.129
Latitude: 47.1155080, Longitude: 9.7191247, Information Type: guidepost, Reference: VWW 61.120
Latitude: 47.1151504, Longitude: 9.7180657, Information Type: guidepost, Reference: VWW 61.139
Latitude: 47.1158723, Longitude: 9.7302134, Information Type: guidepost, Reference: VWW 61.125
Latitude: 47.1159107, Longitude: 9.7264141, Information Type: guidepost, Reference: VWW 61.126
Latitude: 47.0769043, Longitude: 9.6779242, Information Type: guidepost, Reference: VWW 12.082
Latitude: 47.1917193, Longitude: 9.7134298, Information Type: guidepost, Reference: VWW 61.027
Latitude: 47.1958348, Longitude: 9.6899592, Information Type: guidepost, Reference: VWW 61.170
Latitude: 47.1161388, Longitude: 9.7313239, Information Type: guidepost, Reference: VWW 61.119
Latitude: 47.2125635, Longitude: 9.6516286, Information Type: guidepost, Reference: 61.1252.R
Latitude: 47.2139791, Longitude: 9.6537007, Information Type: guidepost, Reference: 61.1256.R
Latitude: 47.2126214, Longitude: 9.6522232, Information Type: guidepost, Reference: VWW 61.1255.R
Latitude: 47.2073664, Longitude: 9.6645854, Information Type: guidepost, Reference: N/A
Latitude: 47.2078545, Longitude: 9.6654181, Information Type: guidepost, Reference: VWW 61.173
Latitude: 47.1912613, Longitude: 9.7126688, Information Type: guidepost, Reference: 61.1276.R
Latitude: 47.1961870, Longitude: 9.6901683, Information Type: guidepost, Reference: 61.1267.R
Latitude: 47.1937910, Longitude: 9.7099888, Information Type: guidepost, Reference: VWW 61.176
Latitude: 47.1099928, Longitude: 9.7200553, Information Type: guidepost, Reference: VWW 12.114
Latitude: 47.1599118, Longitude: 9.6493646, Information Type: guidepost, Reference: VWW 61.135
Latitude: 47.1595185, Longitude: 9.6499747, Information Type: guidepost, Reference: VWW 61.134
Latitude: 47.1595234, Longitude: 9.6491142, Information Type: guidepost, Reference: VWW 61.136
Latitude: 47.1516753, Longitude: 9.6313942, Information Type: guidepost, Reference: VWW 61.137
Latitude: 47.1655552, Longitude: 9.6611812, Information Type: guidepost, Reference: VWW 61.044
Latitude: 47.1642590, Longitude: 9.6577838, Information Type: guidepost, Reference: VWW 61.052
Latitude: 47.2059579, Longitude: 9.6568081, Information Type: guidepost, Reference: VWW 61.174
Latitude: 47.1910415, Longitude: 9.7094504, Information Type: guidepost, Reference: VWW 61.177
Latitude: 47.1986176, Longitude: 9.6849805, Information Type: guidepost, Reference: VWW 61.172
Latitude: 47.1900672, Longitude: 9.6877115, Information Type: guidepost, Reference: VWW 61.179
Latitude: 47.1913004, Longitude: 9.6883900, Information Type: guidepost, Reference: VWW 61.178
Latitude: 47.1970873, Longitude: 9.6905346, Information Type: guidepost, Reference: VWW 61.171
Latitude: 47.1861893, Longitude: 9.6830696, Information Type: guidepost, Reference: VWW 61.008
Latitude: 47.1817858, Longitude: 9.6761943, Information Type: guidepost, Reference: VWW 61.061
Latitude: 47.1155653, Longitude: 9.7230520, Information Type: guidepost, Reference: VWW 61.127
Latitude: 47.1156521, Longitude: 9.7204736, Information Type: guidepost, Reference: VWW 61.128
Latitude: 47.1147589, Longitude: 9.7120297, Information Type: guidepost, Reference: VWW 61.124
Latitude: 47.1147522, Longitude: 9.7174784, Information Type: guidepost, Reference: VWW 61.121
Latitude: 47.1106683, Longitude: 9.7282789, Information Type: guidepost, Reference: VWW 12.055
Latitude: 47.1102590, Longitude: 9.7225360, Information Type: guidepost, Reference: VWW 12.057
Latitude: 47.1738040, Longitude: 9.6904276, Information Type: guidepost, Reference: VWW 61.095
Latitude: 47.1735471, Longitude: 9.6924083, Information Type: guidepost, Reference: VWW 61.096
Latitude: 47.1749973, Longitude: 9.6926446, Information Type: guidepost, Reference: VWW 61.102
Latitude: 47.1771214, Longitude: 9.6862436, Information Type: guidepost, Reference: VWW 61.084
Latitude: 47.1755403, Longitude: 9.6879778, Information Type: guidepost, Reference: VWW 61.094
Latitude: 47.1736489, Longitude: 9.6885797, Information Type: guidepost, Reference: VWW 61.093
Latitude: 47.1708286, Longitude: 9.7270158, Information Type: guidepost, Reference: VWW 61.088
Latitude: 47.1717538, Longitude: 9.6947899, Information Type: guidepost, Reference: VWW 61.097
Latitude: 47.1667014, Longitude: 9.6966088, Information Type: guidepost, Reference: VWW 61.103
Latitude: 47.1659298, Longitude: 9.7008636, Information Type: guidepost, Reference: VWW 61.104
Latitude: 47.1102991, Longitude: 9.7232516, Information Type: guidepost, Reference: VWW 12.056
Latitude: 47.1308215, Longitude: 9.7299618, Information Type: guidepost, Reference: VWW 61.115
Latitude: 47.1391420, Longitude: 9.7307042, Information Type: guidepost, Reference: VWW 61.113
Latitude: 47.1476301, Longitude: 9.7332168, Information Type: guidepost, Reference: VWW 61.111
Latitude: 47.1527738, Longitude: 9.7270176, Information Type: guidepost, Reference: VWW 61.117
Latitude: 47.1764393, Longitude: 9.6972033, Information Type: guidepost, Reference: VWW 61.101
Latitude: 47.1761114, Longitude: 9.7015411, Information Type: guidepost, Reference: VWW 61.100
Latitude: 47.1572232, Longitude: 9.7330994, Information Type: guidepost, Reference: VWW 61.110
Latitude: 47.1587684, Longitude: 9.7299341, Information Type: guidepost, Reference: VWW 61.108
Latitude: 47.1602863, Longitude: 9.7187657, Information Type: guidepost, Reference: VWW 61.106
Latitude: 47.1601498, Longitude: 9.7210661, Information Type: guidepost, Reference: VWW 61.107
Latitude: 47.1609463, Longitude: 9.7172949, Information Type: guidepost, Reference: VWW 61.105
Latitude: 47.1611357, Longitude: 9.6987969, Information Type: guidepost, Reference: VWW 61.090
Latitude: 47.1538143, Longitude: 9.6966959, Information Type: guidepost, Reference: VWW 61.091
Latitude: 47.1688429, Longitude: 9.6837287, Information Type: guidepost, Reference: VWW 61.063
Latitude: 47.1602282, Longitude: 9.6788563, Information Type: guidepost, Reference: VWW 61.046
Latitude: 47.1613839, Longitude: 9.6724249, Information Type: guidepost, Reference: VWW 61.045
Latitude: 47.1634863, Longitude: 9.6646599, Information Type: guidepost, Reference: VWW 61.043
Latitude: 47.1476945, Longitude: 9.6922359, Information Type: guidepost, Reference: VWW 61.092
Latitude: 47.1706463, Longitude: 9.6819226, Information Type: guidepost, Reference: VWW 61.059
Latitude: 47.1749095, Longitude: 9.6782050, Information Type: guidepost, Reference: VWW 61.062
