Latitude: 47.1572096, Longitude: 9.8428719, Information Type: guidepost, Reference: VWW 10.18
Latitude: 47.1578900, Longitude: 9.8299935, Information Type: guidepost, Reference: N/A
Latitude: 47.1491757, Longitude: 9.9025089, Information Type: guidepost, Reference: VWW 10.67
Latitude: 47.1566135, Longitude: 9.8186863, Information Type: guidepost, Reference: VWW 10.76
Latitude: 47.1538402, Longitude: 9.8131349, Information Type: guidepost, Reference: 10.1466.R
Latitude: 47.1538453, Longitude: 9.8131135, Information Type: guidepost, Reference: VWW 10.85
Latitude: 47.1524723, Longitude: 9.8165657, Information Type: guidepost, Reference: VWW 15.07
Latitude: 47.1529048, Longitude: 9.8157256, Information Type: guidepost, Reference: N/A
Latitude: 47.1526503, Longitude: 9.8161464, Information Type: guidepost, Reference: VWW 10.87
Latitude: 47.1354309, Longitude: 9.8363647, Information Type: guidepost, Reference: VWW 10.86
Latitude: 47.1364439, Longitude: 9.8349139, Information Type: guidepost, Reference: 10.1476.R
Latitude: 47.1436362, Longitude: 9.8805496, Information Type: guidepost, Reference: VWW 10.52
Latitude: 47.1574032, Longitude: 9.8306201, Information Type: guidepost, Reference: VWW 10.13
Latitude: 47.1606773, Longitude: 9.9133012, Information Type: guidepost, Reference: VWW 10.83
Latitude: 47.1605455, Longitude: 9.9136930, Information Type: guidepost, Reference: VWW 10.82
Latitude: 47.1659813, Longitude: 9.8192468, Information Type: guidepost, Reference: VWW 10.14
Latitude: 47.1361087, Longitude: 9.8392814, Information Type: guidepost, Reference: VWW 10.88
Latitude: 47.1677671, Longitude: 9.8240570, Information Type: guidepost, Reference: VWW 10.38
Latitude: 47.1670651, Longitude: 9.8216304, Information Type: guidepost, Reference: VWW 10.32
Latitude: 47.1427260, Longitude: 9.8558909, Information Type: guidepost, Reference: VWW 10.80
Latitude: 47.1543935, Longitude: 9.8162314, Information Type: guidepost, Reference: VWW 10.78
Latitude: 47.1565605, Longitude: 9.8403383, Information Type: guidepost, Reference: VWW 10.17
Latitude: 47.1555623, Longitude: 9.8368533, Information Type: guidepost, Reference: VWW 10.16
Latitude: 47.1585717, Longitude: 9.8226459, Information Type: guidepost, Reference: VWW 10.04
Latitude: 47.1590827, Longitude: 9.8339821, Information Type: guidepost, Reference: VWW 10.07
Latitude: 47.1551336, Longitude: 9.8367701, Information Type: guidepost, Reference: VWW 10.15
Latitude: 47.1549872, Longitude: 9.8540576, Information Type: guidepost, Reference: VWW 10.20
Latitude: 47.1480027, Longitude: 9.8476668, Information Type: guidepost, Reference: VWW 10.28
Latitude: 47.1447464, Longitude: 9.8579617, Information Type: guidepost, Reference: VWW 10.35
Latitude: 47.1588861, Longitude: 9.8213960, Information Type: guidepost, Reference: VWW 10.03
Latitude: 47.1657979, Longitude: 9.8301923, Information Type: guidepost, Reference: VWW 10.09
Latitude: 47.1678531, Longitude: 9.8304242, Information Type: guidepost, Reference: VWW 10.10
Latitude: 47.1648248, Longitude: 9.8544745, Information Type: guidepost, Reference: VWW 10.27
Latitude: 47.1604300, Longitude: 9.9171212, Information Type: guidepost, Reference: VWW 10.73
Latitude: 47.1531865, Longitude: 9.9152314, Information Type: guidepost, Reference: VWW 10.72
Latitude: 47.1659021, Longitude: 9.8200350, Information Type: guidepost, Reference: VWW 10.02
Latitude: 47.1663499, Longitude: 9.8194406, Information Type: guidepost, Reference: VWW 10.01
Latitude: 47.1477930, Longitude: 9.8826316, Information Type: guidepost, Reference: VWW 10.79
Latitude: 47.1468509, Longitude: 9.8894148, Information Type: guidepost, Reference: VWW 10.58
Latitude: 47.1427977, Longitude: 9.8801735, Information Type: guidepost, Reference: VWW 10.51
Latitude: 47.1444626, Longitude: 9.8989567, Information Type: guidepost, Reference: VWW 10.61
Latitude: 47.1460529, Longitude: 9.9039032, Information Type: guidepost, Reference: VWW 10.64
Latitude: 47.1463502, Longitude: 9.9017326, Information Type: guidepost, Reference: VWW 10.63
Latitude: 47.1487050, Longitude: 9.9004111, Information Type: guidepost, Reference: VWW 10.66
Latitude: 47.1483348, Longitude: 9.9012305, Information Type: guidepost, Reference: VWW 10.65
Latitude: 47.1502750, Longitude: 9.9050525, Information Type: guidepost, Reference: VWW 10.74
Latitude: 47.1492622, Longitude: 9.9028306, Information Type: guidepost, Reference: VWW 10.68
Latitude: 47.1529175, Longitude: 9.8985863, Information Type: guidepost, Reference: VWW 10.69
Latitude: 47.1529121, Longitude: 9.9009861, Information Type: guidepost, Reference: VWW 10.70
Latitude: 47.1528900, Longitude: 9.9017747, Information Type: guidepost, Reference: VWW 10.71
Latitude: 47.1494385, Longitude: 9.8936054, Information Type: guidepost, Reference: VWW 10.59
Latitude: 47.1527464, Longitude: 9.8953342, Information Type: guidepost, Reference: VWW 10.60
Latitude: 47.1462052, Longitude: 9.8614586, Information Type: guidepost, Reference: VWW 10.33
Latitude: 47.1464321, Longitude: 9.8646881, Information Type: guidepost, Reference: VWW 10.36
Latitude: 47.1450836, Longitude: 9.8697693, Information Type: guidepost, Reference: VWW 10.37
Latitude: 47.1449032, Longitude: 9.8733720, Information Type: guidepost, Reference: VWW 10.55
