Latitude: 47.4873909, Longitude: 9.7229196, Information Type: guidepost, Reference: VWW 13.78
Latitude: 47.4869690, Longitude: 9.7288673, Information Type: guidepost, Reference: VWW 13.70
Latitude: 47.4890379, Longitude: 9.7290612, Information Type: guidepost, Reference: VWW 13.77
Latitude: 47.4921307, Longitude: 9.7654255, Information Type: guidepost, Reference: VWW 13.44
Latitude: 47.4962866, Longitude: 9.7713629, Information Type: guidepost, Reference: VWW 13.26
Latitude: 47.4958245, Longitude: 9.7510205, Information Type: guidepost, Reference: VWW 13.51
Latitude: 47.5012366, Longitude: 9.7600939, Information Type: guidepost, Reference: VWW 13.22
Latitude: 47.4889043, Longitude: 9.7604163, Information Type: guidepost, Reference: VWW 13.52
Latitude: 47.5024484, Longitude: 9.7403886, Information Type: guidepost, Reference: VWW 13.01
Latitude: 47.5051400, Longitude: 9.7460855, Information Type: guidepost, Reference: VWW 13.03
Latitude: 47.4932901, Longitude: 9.7752008, Information Type: guidepost, Reference: N/A
Latitude: 47.4908863, Longitude: 9.7486842, Information Type: guidepost, Reference: VWW 13.60
Latitude: 47.4910950, Longitude: 9.7690590, Information Type: guidepost, Reference: VWW 13.41
Latitude: 47.4953380, Longitude: 9.7538653, Information Type: guidepost, Reference: VWW 13.48
Latitude: 47.4900360, Longitude: 9.7879453, Information Type: guidepost, Reference: VWW 13.31
Latitude: 47.5115819, Longitude: 9.8020793, Information Type: guidepost, Reference: VWW 13.11
Latitude: 47.5118545, Longitude: 9.8022091, Information Type: guidepost, Reference: VWW 13.11
Latitude: 47.5054761, Longitude: 9.7924647, Information Type: guidepost, Reference: VWW 13.13
Latitude: 47.5259275, Longitude: 9.7466160, Information Type: guidepost, Reference: VWW 52.10
Latitude: 47.4932693, Longitude: 9.7506474, Information Type: guidepost, Reference: VWW 13.53
Latitude: 47.4941280, Longitude: 9.7469069, Information Type: guidepost, Reference: VWW 13.54
Latitude: 47.4896040, Longitude: 9.7484439, Information Type: guidepost, Reference: VWW 13.57
Latitude: 47.4941062, Longitude: 9.7461092, Information Type: guidepost, Reference: VWW 13.55
Latitude: 47.5015014, Longitude: 9.7483800, Information Type: guidepost, Reference: VWW 13.24
Latitude: 47.5018860, Longitude: 9.7479147, Information Type: guidepost, Reference: VWW 13.24
Latitude: 47.5065529, Longitude: 9.7533242, Information Type: guidepost, Reference: VWW 13.05
