Latitude: 47.3818382, Longitude: 9.7791456, Information Type: guidepost, Reference: VWW 20.102
Latitude: 47.3898009, Longitude: 9.7778182, Information Type: guidepost, Reference: VWW 20.060
Latitude: 47.3687526, Longitude: 9.7952927, Information Type: guidepost, Reference: VWW 20.074
Latitude: 47.3503823, Longitude: 9.7278296, Information Type: guidepost, Reference: VWW 20.030
Latitude: 47.3759310, Longitude: 9.7553634, Information Type: guidepost, Reference: VWW 20.215
Latitude: 47.3855878, Longitude: 9.7891024, Information Type: guidepost, Reference: VWW 20.064
Latitude: 47.4242820, Longitude: 9.7641213, Information Type: guidepost, Reference: VWW 20.146
Latitude: 47.4244194, Longitude: 9.7647962, Information Type: guidepost, Reference: VWW 20.147
Latitude: 47.4248375, Longitude: 9.7645045, Information Type: guidepost, Reference: VWW 20.007
Latitude: 47.4250493, Longitude: 9.7638472, Information Type: guidepost, Reference: VWW 20.006
Latitude: 47.4364432, Longitude: 9.7762175, Information Type: guidepost, Reference: VWW 20.298
Latitude: 47.3548796, Longitude: 9.8263622, Information Type: guidepost, Reference: VWW 58.28
Latitude: 47.3457653, Longitude: 9.8102939, Information Type: guidepost, Reference: VWW 20.202
Latitude: 47.3599639, Longitude: 9.8212435, Information Type: guidepost, Reference: N/A
Latitude: 47.3590889, Longitude: 9.7814389, Information Type: guidepost, Reference: VWW 20.124
Latitude: 47.3346743, Longitude: 9.7830140, Information Type: guidepost, Reference: VWW 20.128
Latitude: 47.3373311, Longitude: 9.7822447, Information Type: guidepost, Reference: VWW 20.127
Latitude: 47.3386781, Longitude: 9.7991751, Information Type: guidepost, Reference: VWW 20.203
Latitude: 47.3454595, Longitude: 9.7822474, Information Type: guidepost, Reference: VWW 20.126
Latitude: 47.3583170, Longitude: 9.7815612, Information Type: guidepost, Reference: VWW 20.125
Latitude: 47.3761974, Longitude: 9.7852656, Information Type: guidepost, Reference: VWW 20.071
Latitude: 47.3765192, Longitude: 9.7828695, Information Type: guidepost, Reference: VWW 20.068
Latitude: 47.3787682, Longitude: 9.7832450, Information Type: guidepost, Reference: VWW 20.067
Latitude: 47.3849661, Longitude: 9.7794004, Information Type: guidepost, Reference: VWW 20.148
Latitude: 47.3892494, Longitude: 9.7789178, Information Type: guidepost, Reference: VWW 20.062
Latitude: 47.3902700, Longitude: 9.7770311, Information Type: guidepost, Reference: VWW 20.061
Latitude: 47.3915504, Longitude: 9.7740858, Information Type: guidepost, Reference: 20.050M
Latitude: 47.4006275, Longitude: 9.7536221, Information Type: guidepost, Reference: VWW 20.086
Latitude: 47.4037574, Longitude: 9.7506790, Information Type: guidepost, Reference: VWW 20.292
Latitude: 47.3575606, Longitude: 9.8370449, Information Type: guidepost, Reference: VWW 20.218
