Latitude: 47.3649474, Longitude: 9.6537522, Information Type: guidepost, Reference: VWW 2.18
Latitude: 47.3622835, Longitude: 9.6295357, Information Type: guidepost, Reference: VWW 2.24
Latitude: 47.3645309, Longitude: 9.6290432, Information Type: guidepost, Reference: VWW 2.25
Latitude: 47.3639804, Longitude: 9.6378975, Information Type: guidepost, Reference: VWW 2.23
Latitude: 47.3645323, Longitude: 9.6461838, Information Type: guidepost, Reference: VWW 2.19
Latitude: 47.3662558, Longitude: 9.6468672, Information Type: guidepost, Reference: VWW 2.20
Latitude: 47.3560551, Longitude: 9.6358674, Information Type: guidepost, Reference: VWW 2.26
Latitude: 47.3518287, Longitude: 9.6601635, Information Type: guidepost, Reference: VWW 2.09
Latitude: 47.3434505, Longitude: 9.6644837, Information Type: guidepost, Reference: VWW 2.35
Latitude: 47.3459349, Longitude: 9.6631057, Information Type: guidepost, Reference: VWW 2.34
Latitude: 47.3510387, Longitude: 9.6652546, Information Type: guidepost, Reference: VWW 2.33
Latitude: 47.3545394, Longitude: 9.6644906, Information Type: guidepost, Reference: VWW 2.31
Latitude: 47.3518555, Longitude: 9.6638800, Information Type: guidepost, Reference: VWW 2.30
Latitude: 47.3525054, Longitude: 9.6621775, Information Type: guidepost, Reference: VWW 2.29
Latitude: 47.3438676, Longitude: 9.6683657, Information Type: guidepost, Reference: VWW 2.11
Latitude: 47.3525250, Longitude: 9.6614524, Information Type: guidepost, Reference: VWW 2.10
Latitude: 47.3545133, Longitude: 9.6522109, Information Type: guidepost, Reference: VWW 2.02
Latitude: 47.3538978, Longitude: 9.6508067, Information Type: guidepost, Reference: VWW 2.01
Latitude: 47.3558543, Longitude: 9.6511683, Information Type: guidepost, Reference: VWW 2.03
Latitude: 47.3533293, Longitude: 9.6356146, Information Type: guidepost, Reference: VWW 2.27
Latitude: 47.3593208, Longitude: 9.6389442, Information Type: guidepost, Reference: VWW 2.22
Latitude: 47.3563555, Longitude: 9.6454526, Information Type: guidepost, Reference: VWW 2.04
Latitude: 47.3538504, Longitude: 9.6448797, Information Type: guidepost, Reference: VWW 2.05
Latitude: 47.3524298, Longitude: 9.6486769, Information Type: guidepost, Reference: VWW 2.28
Latitude: 47.3505432, Longitude: 9.6452223, Information Type: guidepost, Reference: VWW 2.06
Latitude: 47.3494745, Longitude: 9.6463295, Information Type: guidepost, Reference: VWW 2.07
Latitude: 47.3485717, Longitude: 9.6485133, Information Type: guidepost, Reference: VWW 2.08
Latitude: 47.3442707, Longitude: 9.6690563, Information Type: guidepost, Reference: VWW 2.12
