Latitude: 47.3213568, Longitude: 9.9816550, Information Type: guidepost, Reference: VWW 4.52
Latitude: 47.2768290, Longitude: 9.9876629, Information Type: guidepost, Reference: VWW 4.40
Latitude: 47.3256087, Longitude: 9.9771538, Information Type: guidepost, Reference: VWW 4.07
Latitude: 47.3066462, Longitude: 9.9118166, Information Type: guidepost, Reference: VWW 4.77
Latitude: 47.3084832, Longitude: 9.9144289, Information Type: guidepost, Reference: VWW 4.76
Latitude: 47.3128448, Longitude: 9.8926889, Information Type: guidepost, Reference: VWW 58.49
Latitude: 47.3193303, Longitude: 10.0055823, Information Type: guidepost, Reference: VWW 4.42
Latitude: 47.3140789, Longitude: 9.9786970, Information Type: guidepost, Reference: VWW 4.50
Latitude: 47.3091765, Longitude: 9.9865659, Information Type: guidepost, Reference: VWW 4.49
Latitude: 47.3231025, Longitude: 9.9765159, Information Type: guidepost, Reference: VWW 4.05
Latitude: 47.3231063, Longitude: 9.9768994, Information Type: guidepost, Reference: VWW 4.04
Latitude: 47.3202993, Longitude: 9.9888927, Information Type: guidepost, Reference: VWW 4.30
Latitude: 47.3239199, Longitude: 9.9766192, Information Type: guidepost, Reference: VWW 4.06
Latitude: 47.2879268, Longitude: 9.9613804, Information Type: guidepost, Reference: VWW 4.44
Latitude: 47.3240462, Longitude: 9.9552124, Information Type: guidepost, Reference: VWW 4.95
Latitude: 47.3076828, Longitude: 9.9957834, Information Type: guidepost, Reference: VWW 4.94
Latitude: 47.2834790, Longitude: 9.9853837, Information Type: guidepost, Reference: VWW 4.39
Latitude: 47.2802180, Longitude: 9.9564770, Information Type: guidepost, Reference: VWW 4.60
Latitude: 47.3278532, Longitude: 9.9995324, Information Type: guidepost, Reference: VWW 4.90
Latitude: 47.3321780, Longitude: 10.0061289, Information Type: guidepost, Reference: VWW 4.93
Latitude: 47.3322013, Longitude: 10.0011941, Information Type: guidepost, Reference: VWW 4.92
Latitude: 47.3308488, Longitude: 9.9979375, Information Type: guidepost, Reference: VWW 4.91
Latitude: 47.3074682, Longitude: 9.9456976, Information Type: guidepost, Reference: VWW 4.70
Latitude: 47.3146704, Longitude: 9.9417626, Information Type: guidepost, Reference: VWW 4.71
Latitude: 47.3147969, Longitude: 9.9359382, Information Type: guidepost, Reference: VWW 4.74
Latitude: 47.3117596, Longitude: 9.9281938, Information Type: guidepost, Reference: VWW 4.75
Latitude: 47.2960622, Longitude: 9.9224667, Information Type: guidepost, Reference: VWW 4.78
Latitude: 47.2915259, Longitude: 9.9279177, Information Type: guidepost, Reference: VWW 4.79
Latitude: 47.3244945, Longitude: 9.9306591, Information Type: guidepost, Reference: VWW 4.72
Latitude: 47.3241923, Longitude: 9.9524017, Information Type: guidepost, Reference: VWW 4.68
Latitude: 47.3233316, Longitude: 9.9599685, Information Type: guidepost, Reference: VWW 4.67
Latitude: 47.3253980, Longitude: 9.9760895, Information Type: guidepost, Reference: VWW 4.09
Latitude: 47.3253557, Longitude: 9.9755593, Information Type: guidepost, Reference: VWW 4.08
Latitude: 47.3246556, Longitude: 9.9749217, Information Type: guidepost, Reference: VWW 4.61
Latitude: 47.3292285, Longitude: 9.9893156, Information Type: guidepost, Reference: VWW 4.10
Latitude: 47.3282726, Longitude: 9.9973806, Information Type: guidepost, Reference: VWW 4.80
Latitude: 47.3275847, Longitude: 10.0018447, Information Type: guidepost, Reference: VWW 4.18
Latitude: 47.3277010, Longitude: 9.9986523, Information Type: guidepost, Reference: VWW 4.83
Latitude: 47.3298125, Longitude: 9.9921551, Information Type: guidepost, Reference: VWW 4.11
Latitude: 47.3389279, Longitude: 9.9925700, Information Type: guidepost, Reference: VWW 4.13
Latitude: 47.3332933, Longitude: 9.9984300, Information Type: guidepost, Reference: VWW 4.12
Latitude: 47.3395747, Longitude: 10.0075443, Information Type: guidepost, Reference: VWW 4.16
Latitude: 47.3241145, Longitude: 9.9989575, Information Type: guidepost, Reference: VWW 4.82
Latitude: 47.3278257, Longitude: 9.9930802, Information Type: guidepost, Reference: VWW 4.26
Latitude: 47.3232422, Longitude: 9.9904350, Information Type: guidepost, Reference: VWW 4.29
Latitude: 47.3242912, Longitude: 9.9943293, Information Type: guidepost, Reference: VWW 4.27
Latitude: 47.3221266, Longitude: 9.9971574, Information Type: guidepost, Reference: VWW 4.28
Latitude: 47.3227854, Longitude: 9.9987635, Information Type: guidepost, Reference: VWW 4.25
Latitude: 47.3248101, Longitude: 10.0019343, Information Type: guidepost, Reference: VWW 4.19
Latitude: 47.3233425, Longitude: 10.0005780, Information Type: guidepost, Reference: VWW 4.20
Latitude: 47.3218744, Longitude: 10.0031018, Information Type: guidepost, Reference: VWW 4.21
Latitude: 47.3199413, Longitude: 10.0048306, Information Type: guidepost, Reference: VWW 4.22
Latitude: 47.3191860, Longitude: 10.0043241, Information Type: guidepost, Reference: VWW 4.43
Latitude: 47.3182566, Longitude: 9.9987207, Information Type: guidepost, Reference: VWW 4.23
Latitude: 47.3168841, Longitude: 9.9992619, Information Type: guidepost, Reference: VWW 4.24
Latitude: 47.3152640, Longitude: 9.9926107, Information Type: guidepost, Reference: VWW 4.32
Latitude: 47.3164478, Longitude: 9.9987429, Information Type: guidepost, Reference: VWW 4.31
Latitude: 47.3226551, Longitude: 9.9819914, Information Type: guidepost, Reference: VWW 4.03
