Latitude: 47.4639850, Longitude: 9.7949243, Information Type: guidepost, Reference: VWW 7.27
Latitude: 47.4565410, Longitude: 9.7873229, Information Type: guidepost, Reference: VWW 7.43
Latitude: 47.4665436, Longitude: 9.7756057, Information Type: guidepost, Reference: VWW 7.15
Latitude: 47.4541950, Longitude: 9.7895227, Information Type: guidepost, Reference: VWW 79.16
Latitude: 47.4638487, Longitude: 9.7946356, Information Type: guidepost, Reference: VWW 7.26
Latitude: 47.4673105, Longitude: 9.7881108, Information Type: guidepost, Reference: VWW 7.21
Latitude: 47.4672928, Longitude: 9.7687573, Information Type: guidepost, Reference: VWW 95.24
Latitude: 47.4583368, Longitude: 9.7903556, Information Type: guidepost, Reference: VWW 7.25
Latitude: 47.4541847, Longitude: 9.7871031, Information Type: guidepost, Reference: VWW 7.44
Latitude: 47.4725498, Longitude: 9.8059833, Information Type: guidepost, Reference: VWW 7.39
Latitude: 47.4678637, Longitude: 9.8116974, Information Type: guidepost, Reference: VWW 7.35
Latitude: 47.4667352, Longitude: 9.7687495, Information Type: guidepost, Reference: VWW 7.11
Latitude: 47.4591540, Longitude: 9.7745254, Information Type: guidepost, Reference: VWW 7.42
Latitude: 47.4617492, Longitude: 9.7723210, Information Type: guidepost, Reference: VWW 7.46
Latitude: 47.4641736, Longitude: 9.7800730, Information Type: guidepost, Reference: VWW 7.20
Latitude: 47.4652170, Longitude: 9.7779688, Information Type: guidepost, Reference: VWW 7.13
Latitude: 47.4612877, Longitude: 9.7765701, Information Type: guidepost, Reference: VWW 7.06
Latitude: 47.4595009, Longitude: 9.7760615, Information Type: guidepost, Reference: VWW 7.48
Latitude: 47.4579949, Longitude: 9.7725561, Information Type: guidepost, Reference: VWW 7.04
Latitude: 47.4581304, Longitude: 9.7722544, Information Type: guidepost, Reference: VWW 7.05
Latitude: 47.4597255, Longitude: 9.7835583, Information Type: guidepost, Reference: VWW 7.49
Latitude: 47.4593925, Longitude: 9.7817053, Information Type: guidepost, Reference: VWW 7.18
Latitude: 47.4635630, Longitude: 9.7867650, Information Type: guidepost, Reference: VWW 7.19
Latitude: 47.4675554, Longitude: 9.7891530, Information Type: guidepost, Reference: VWW 7.22
Latitude: 47.4682852, Longitude: 9.8106167, Information Type: guidepost, Reference: VWW 7.40
Latitude: 47.4675599, Longitude: 9.8081852, Information Type: guidepost, Reference: VWW 7.36
Latitude: 47.4686981, Longitude: 9.8048342, Information Type: guidepost, Reference: VWW 7.37
Latitude: 47.4692185, Longitude: 9.8033378, Information Type: guidepost, Reference: VWW 7.38
Latitude: 47.4608108, Longitude: 9.7949304, Information Type: guidepost, Reference: VWW 7.50
Latitude: 47.4633594, Longitude: 9.8082458, Information Type: guidepost, Reference: VWW 7.32
Latitude: 47.4640209, Longitude: 9.8061260, Information Type: guidepost, Reference: VWW 7.34
Latitude: 47.4628730, Longitude: 9.8066195, Information Type: guidepost, Reference: VWW 7.33
Latitude: 47.4622098, Longitude: 9.7593851, Information Type: guidepost, Reference: VWW 7.08
Latitude: 47.4615235, Longitude: 9.7681402, Information Type: guidepost, Reference: VWW 7.07
Latitude: 47.4667716, Longitude: 9.7769876, Information Type: guidepost, Reference: VWW 7.16
Latitude: 47.4631131, Longitude: 9.7582471, Information Type: guidepost, Reference: VWW 7.09
Latitude: 47.4583017, Longitude: 9.7635344, Information Type: guidepost, Reference: VWW 7.02
Latitude: 47.4587450, Longitude: 9.7602053, Information Type: guidepost, Reference: VWW 7.01
Latitude: 47.4596442, Longitude: 9.8056564, Information Type: guidepost, Reference: VWW 7.31
Latitude: 47.4657774, Longitude: 9.7768719, Information Type: guidepost, Reference: VWW 7.14
Latitude: 47.4580854, Longitude: 9.7737241, Information Type: guidepost, Reference: VWW 7.23
Latitude: 47.4583190, Longitude: 9.7683696, Information Type: guidepost, Reference: VWW 7.03
Latitude: 47.4571114, Longitude: 9.8049460, Information Type: guidepost, Reference: VWW 7.30
Latitude: 47.4482723, Longitude: 9.7946551, Information Type: guidepost, Reference: VWW 7.28
Latitude: 47.4491355, Longitude: 9.7947770, Information Type: guidepost, Reference: VWW 7.29
Latitude: 47.4571116, Longitude: 9.7842592, Information Type: guidepost, Reference: VWW 7.24
Latitude: 47.4591149, Longitude: 9.7805822, Information Type: guidepost, Reference: VWW 7.17
Latitude: 47.4567018, Longitude: 9.7856506, Information Type: guidepost, Reference: VWW 7.45
Latitude: 47.4635614, Longitude: 9.7722648, Information Type: guidepost, Reference: VWW 7.47
Latitude: 47.4643897, Longitude: 9.7717378, Information Type: guidepost, Reference: VWW 7.12
