Latitude: 47.3619340, Longitude: 10.0022822, Information Type: guidepost, Reference: VWW 8.41
Latitude: 47.3619231, Longitude: 10.0153446, Information Type: guidepost, Reference: VWW 8.43
Latitude: 47.3554256, Longitude: 10.0112702, Information Type: guidepost, Reference: VWW 8.44
Latitude: 47.3519810, Longitude: 10.0107604, Information Type: guidepost, Reference: VWW 8.45
Latitude: 47.3481895, Longitude: 10.0126194, Information Type: guidepost, Reference: VWW 8.46
Latitude: 47.3761146, Longitude: 9.9499474, Information Type: guidepost, Reference: VWW 8.29
Latitude: 47.3470687, Longitude: 10.0108353, Information Type: guidepost, Reference: VWW 8.47
Latitude: 47.3474610, Longitude: 10.0105949, Information Type: guidepost, Reference: VWW 8.63
Latitude: 47.3490958, Longitude: 10.0045226, Information Type: guidepost, Reference: VWW 8.64
Latitude: 47.3729003, Longitude: 9.9957982, Information Type: guidepost, Reference: VWW 8.62
Latitude: 47.3729826, Longitude: 9.9354165, Information Type: guidepost, Reference: VWW 8.61
Latitude: 47.3669355, Longitude: 9.9369274, Information Type: guidepost, Reference: VWW 8.60
Latitude: 47.3692962, Longitude: 9.9100441, Information Type: guidepost, Reference: VWW 8.59
Latitude: 47.3618080, Longitude: 9.9086114, Information Type: guidepost, Reference: VWW 8.22
Latitude: 47.3593630, Longitude: 9.9357352, Information Type: guidepost, Reference: VWW 8.08
Latitude: 47.3650759, Longitude: 9.9372666, Information Type: guidepost, Reference: VWW 8.10
Latitude: 47.3653174, Longitude: 10.0159474, Information Type: guidepost, Reference: VWW 8.42
Latitude: 47.3517787, Longitude: 10.0163895, Information Type: guidepost, Reference: VWW 8.48
Latitude: 47.3605322, Longitude: 9.9856993, Information Type: guidepost, Reference: VWW 8.40
Latitude: 47.3604237, Longitude: 9.9693250, Information Type: guidepost, Reference: VWW 8.38
Latitude: 47.3584044, Longitude: 9.9706238, Information Type: guidepost, Reference: VWW 8.39
Latitude: 47.3607642, Longitude: 9.9588075, Information Type: guidepost, Reference: VWW 8.37
Latitude: 47.3683914, Longitude: 9.9374926, Information Type: guidepost, Reference: VWW 8.12
Latitude: 47.3682478, Longitude: 9.9366759, Information Type: guidepost, Reference: VWW 8.11
Latitude: 47.3683272, Longitude: 9.9380007, Information Type: guidepost, Reference: VWW 8.13
Latitude: 47.3679905, Longitude: 9.9470180, Information Type: guidepost, Reference: VWW 8.33
Latitude: 47.3684049, Longitude: 9.9488609, Information Type: guidepost, Reference: VWW 8.34
Latitude: 47.3666282, Longitude: 9.9606106, Information Type: guidepost, Reference: VWW 8.36
Latitude: 47.3692676, Longitude: 9.9672801, Information Type: guidepost, Reference: VWW 8.35
Latitude: 47.3730286, Longitude: 9.9888277, Information Type: guidepost, Reference: VWW 8.32
Latitude: 47.3810080, Longitude: 9.9893690, Information Type: guidepost, Reference: VWW 8.31
Latitude: 47.3731336, Longitude: 9.9645429, Information Type: guidepost, Reference: VWW 8.28
Latitude: 47.3745419, Longitude: 9.9724667, Information Type: guidepost, Reference: VWW 8.49
Latitude: 47.3735410, Longitude: 9.9626009, Information Type: guidepost, Reference: VWW 8.27
Latitude: 47.3735829, Longitude: 9.9498460, Information Type: guidepost, Reference: VWW 8.24
Latitude: 47.3733723, Longitude: 9.9487364, Information Type: guidepost, Reference: VWW 8.25
Latitude: 47.3738135, Longitude: 9.9475934, Information Type: guidepost, Reference: VWW 8.26
Latitude: 47.3710879, Longitude: 9.9199498, Information Type: guidepost, Reference: VWW 8.17
Latitude: 47.3715760, Longitude: 9.9193421, Information Type: guidepost, Reference: VWW 8.16
