Latitude: 47.2232568, Longitude: 9.8339061, Information Type: guidepost, Reference: VWW 9.01
Latitude: 47.2242768, Longitude: 9.8328649, Information Type: guidepost, Reference: VWW 9.23
Latitude: 47.2193401, Longitude: 9.8311316, Information Type: guidepost, Reference: VWW 9.02
Latitude: 47.2201974, Longitude: 9.8381652, Information Type: guidepost, Reference: VWW 9.38
Latitude: 47.2219165, Longitude: 9.8362605, Information Type: guidepost, Reference: VWW 9.39
Latitude: 47.2228401, Longitude: 9.8349323, Information Type: guidepost, Reference: VWW 9.40
Latitude: 47.2275194, Longitude: 9.8348220, Information Type: guidepost, Reference: VWW 9.06
Latitude: 47.2259806, Longitude: 9.8360358, Information Type: guidepost, Reference: VWW 9.05
Latitude: 47.2257953, Longitude: 9.8417712, Information Type: guidepost, Reference: VWW 9.04
Latitude: 47.2237124, Longitude: 9.8359856, Information Type: guidepost, Reference: VWW 9.03
Latitude: 47.2248206, Longitude: 9.8443421, Information Type: guidepost, Reference: VWW 9.34
Latitude: 47.2244957, Longitude: 9.8632911, Information Type: guidepost, Reference: VWW 9.31
Latitude: 47.2221291, Longitude: 9.8432358, Information Type: guidepost, Reference: VWW 9.37
Latitude: 47.2235895, Longitude: 9.8486883, Information Type: guidepost, Reference: VWW 9.35
Latitude: 47.2251848, Longitude: 9.8509734, Information Type: guidepost, Reference: VWW 9.36
Latitude: 47.2268398, Longitude: 9.8738687, Information Type: guidepost, Reference: VWW 9.30
Latitude: 47.2264183, Longitude: 9.8613557, Information Type: guidepost, Reference: VWW 9.28
Latitude: 47.2275869, Longitude: 9.8527550, Information Type: guidepost, Reference: VWW 9.25
Latitude: 47.2295221, Longitude: 9.8373591, Information Type: guidepost, Reference: VWW 9.07
Latitude: 47.2333739, Longitude: 9.8394058, Information Type: guidepost, Reference: VWW 9.08
Latitude: 47.2345642, Longitude: 9.8503851, Information Type: guidepost, Reference: VWW 9.16
Latitude: 47.2359651, Longitude: 9.8539986, Information Type: guidepost, Reference: VWW 9.17
Latitude: 47.2343526, Longitude: 9.8553997, Information Type: guidepost, Reference: VWW 9.21
Latitude: 47.2362068, Longitude: 9.8607106, Information Type: guidepost, Reference: VWW 9.20
Latitude: 47.2354019, Longitude: 9.8448437, Information Type: guidepost, Reference: VWW 9.12
Latitude: 47.2379199, Longitude: 9.8453186, Information Type: guidepost, Reference: VWW 9.14
Latitude: 47.2355609, Longitude: 9.8435568, Information Type: guidepost, Reference: VWW 9.13
Latitude: 47.2351587, Longitude: 9.8363274, Information Type: guidepost, Reference: VWW 9.09
Latitude: 47.2445910, Longitude: 9.8255045, Information Type: guidepost, Reference: VWW 9.15
Latitude: 47.2448434, Longitude: 9.8261902, Information Type: guidepost, Reference: VWW 9.11
Latitude: 47.2494927, Longitude: 9.8457428, Information Type: guidepost, Reference: VWW 9.18
Latitude: 47.2572630, Longitude: 9.8506951, Information Type: guidepost, Reference: VWW 9.19
Latitude: 47.2400882, Longitude: 9.8242662, Information Type: guidepost, Reference: VWW 9.10
Latitude: 47.2624666, Longitude: 9.8348656, Information Type: guidepost, Reference: VWW 9.24
Latitude: 47.2266242, Longitude: 9.8488857, Information Type: guidepost, Reference: VWW 9.26
Latitude: 47.2314420, Longitude: 9.8594317, Information Type: guidepost, Reference: VWW 9.22
