Latitude: 47.2072522, Longitude: 9.7498385, Information Type: guidepost, Reference: VWW 11.11
Latitude: 47.1961849, Longitude: 9.7188504, Information Type: guidepost, Reference: VWW 11.20
Latitude: 47.2000114, Longitude: 9.7185101, Information Type: guidepost, Reference: VWW 11.03
Latitude: 47.1793296, Longitude: 9.7385702, Information Type: guidepost, Reference: VWW 11.27
Latitude: 47.2002689, Longitude: 9.7468586, Information Type: guidepost, Reference: VWW 11.24
Latitude: 47.1983123, Longitude: 9.7474911, Information Type: guidepost, Reference: VWW 11.23
Latitude: 47.1968491, Longitude: 9.7434064, Information Type: guidepost, Reference: VWW 11.22
Latitude: 47.1972507, Longitude: 9.7413586, Information Type: guidepost, Reference: VWW 11.25
Latitude: 47.1853342, Longitude: 9.7292296, Information Type: guidepost, Reference: VWW 11.21
Latitude: 47.1935495, Longitude: 9.7177914, Information Type: guidepost, Reference: VWW 11.19
Latitude: 47.1930177, Longitude: 9.7157115, Information Type: guidepost, Reference: VWW 11.18
Latitude: 47.2048101, Longitude: 9.7362197, Information Type: guidepost, Reference: VWW 11.07
Latitude: 47.1984763, Longitude: 9.7131960, Information Type: guidepost, Reference: VWW 11.02
Latitude: 47.1968550, Longitude: 9.7152649, Information Type: guidepost, Reference: VWW 11.01
Latitude: 47.1977854, Longitude: 9.7419078, Information Type: guidepost, Reference: VWW 11.12
Latitude: 47.1995493, Longitude: 9.7471598, Information Type: guidepost, Reference: VWW 11.13
Latitude: 47.2016846, Longitude: 9.7319813, Information Type: guidepost, Reference: VWW 11.09
Latitude: 47.2023297, Longitude: 9.7418222, Information Type: guidepost, Reference: VWW 11.06
Latitude: 47.2018803, Longitude: 9.7422918, Information Type: guidepost, Reference: VWW 11.05
Latitude: 47.2006845, Longitude: 9.7469140, Information Type: guidepost, Reference: VWW 11.10
Latitude: 47.2054934, Longitude: 9.7238239, Information Type: guidepost, Reference: VWW 11.04
