Latitude: 47.1037321, Longitude: 9.7863129, Information Type: guidepost, Reference: VWW 15.43
Latitude: 47.1193167, Longitude: 9.7985676, Information Type: guidepost, Reference: VWW 15.48
Latitude: 47.1146543, Longitude: 9.8016629, Information Type: guidepost, Reference: VWW 15.49
Latitude: 47.1112672, Longitude: 9.7949516, Information Type: guidepost, Reference: VWW 15.51
Latitude: 47.1019787, Longitude: 9.8039790, Information Type: guidepost, Reference: VWW 15.57
Latitude: 47.1097107, Longitude: 9.8164102, Information Type: guidepost, Reference: VWW 15.59
Latitude: 47.1490066, Longitude: 9.7993112, Information Type: guidepost, Reference: VWW 15.02
Latitude: 47.1507090, Longitude: 9.8025126, Information Type: guidepost, Reference: VWW 15.04
Latitude: 47.1296124, Longitude: 9.7830125, Information Type: guidepost, Reference: VWW 15.55
Latitude: 47.1160554, Longitude: 9.8072189, Information Type: guidepost, Reference: VWW 15.52
Latitude: 47.1339872, Longitude: 9.8108616, Information Type: guidepost, Reference: VWW 15.35
Latitude: 47.1459366, Longitude: 9.8042206, Information Type: guidepost, Reference: VWW 15.14
Latitude: 47.1430993, Longitude: 9.8029794, Information Type: guidepost, Reference: VWW 15.19
Latitude: 47.1432317, Longitude: 9.8035034, Information Type: guidepost, Reference: VWW 15.17
Latitude: 47.1410721, Longitude: 9.7973088, Information Type: guidepost, Reference: VWW 15.23
Latitude: 47.1405314, Longitude: 9.8045863, Information Type: guidepost, Reference: VWW 15.15
Latitude: 47.1414916, Longitude: 9.7921598, Information Type: guidepost, Reference: VWW 15.22
Latitude: 47.1473972, Longitude: 9.7915533, Information Type: guidepost, Reference: VWW 15.26
Latitude: 47.1595716, Longitude: 9.7847382, Information Type: guidepost, Reference: VWW 15.32
Latitude: 47.1583893, Longitude: 9.7871424, Information Type: guidepost, Reference: VWW 15.31
Latitude: 47.1374416, Longitude: 9.8204947, Information Type: guidepost, Reference: VWW 15.11
Latitude: 47.1293557, Longitude: 9.8146942, Information Type: guidepost, Reference: VWW 15.60
Latitude: 47.1252673, Longitude: 9.7941605, Information Type: guidepost, Reference: VWW 15.47
Latitude: 47.1455119, Longitude: 9.7984527, Information Type: guidepost, Reference: VWW 15.21
Latitude: 47.1516739, Longitude: 9.7998745, Information Type: guidepost, Reference: VWW 15.50
Latitude: 47.1478788, Longitude: 9.8203672, Information Type: guidepost, Reference: VWW 15.09
Latitude: 47.1475845, Longitude: 9.8040727, Information Type: guidepost, Reference: VWW 15.45
Latitude: 47.1478083, Longitude: 9.8055786, Information Type: guidepost, Reference: VWW 15.13
Latitude: 47.1487665, Longitude: 9.8047081, Information Type: guidepost, Reference: VWW 15.08
Latitude: 47.1483474, Longitude: 9.8036217, Information Type: guidepost, Reference: VWW 15.10
Latitude: 47.1502723, Longitude: 9.8019255, Information Type: guidepost, Reference: VWW 15.03
Latitude: 47.1499536, Longitude: 9.8037573, Information Type: guidepost, Reference: VWW 15.05
Latitude: 47.1516619, Longitude: 9.8079881, Information Type: guidepost, Reference: VWW 15.06
Latitude: 47.1370720, Longitude: 9.8163969, Information Type: guidepost, Reference: VWW 15.16
Latitude: 47.1375141, Longitude: 9.8014434, Information Type: guidepost, Reference: VWW 15.36
Latitude: 47.1391320, Longitude: 9.7876996, Information Type: guidepost, Reference: VWW 15.37
Latitude: 47.1119441, Longitude: 9.8058063, Information Type: guidepost, Reference: VWW 15.53
Latitude: 47.1086966, Longitude: 9.8155220, Information Type: guidepost, Reference: VWW 15.58
Latitude: 47.1030426, Longitude: 9.8063707, Information Type: guidepost, Reference: VWW 15.56
Latitude: 47.1200769, Longitude: 9.7704931, Information Type: guidepost, Reference: VWW 15.41
Latitude: 47.1219162, Longitude: 9.7691790, Information Type: guidepost, Reference: VWW 15.40
Latitude: 47.1200338, Longitude: 9.7674722, Information Type: guidepost, Reference: VWW 15.42
Latitude: 47.1263235, Longitude: 9.7747974, Information Type: guidepost, Reference: VWW 15.39
Latitude: 47.1339267, Longitude: 9.7835539, Information Type: guidepost, Reference: VWW 15.38
Latitude: 47.1442433, Longitude: 9.8139084, Information Type: guidepost, Reference: VWW 15.12
Latitude: 47.1513591, Longitude: 9.8020167, Information Type: guidepost, Reference: VWW 15.28
Latitude: 47.1523246, Longitude: 9.8045579, Information Type: guidepost, Reference: VWW 15.29
Latitude: 47.1539805, Longitude: 9.7877160, Information Type: guidepost, Reference: VWW 15.30
Latitude: 47.1533688, Longitude: 9.7936440, Information Type: guidepost, Reference: VWW 15.34
Latitude: 47.1536982, Longitude: 9.7982160, Information Type: guidepost, Reference: VWW 15.33
Latitude: 47.1273845, Longitude: 9.7751246, Information Type: guidepost, Reference: VWW 16.19
Latitude: 47.1095298, Longitude: 9.8082542, Information Type: guidepost, Reference: VWW 15.54
Latitude: 47.1329035, Longitude: 9.7886649, Information Type: guidepost, Reference: VWW 15.46
Latitude: 47.1395221, Longitude: 9.7825067, Information Type: guidepost, Reference: VWW 15.24
Latitude: 47.1426072, Longitude: 9.8032242, Information Type: guidepost, Reference: VWW 15.18
Latitude: 47.1439234, Longitude: 9.7918352, Information Type: guidepost, Reference: VWW 15.01
Latitude: 47.1518479, Longitude: 9.7987338, Information Type: guidepost, Reference: VWW 15.27
Latitude: 47.1414856, Longitude: 9.7840130, Information Type: guidepost, Reference: VWW 15.25
