Latitude: 47.2922864, Longitude: 9.8541744, Information Type: guidepost, Reference: VWW 18.14
Latitude: 47.2913863, Longitude: 9.8492708, Information Type: guidepost, Reference: VWW 18.13
Latitude: 47.2804799, Longitude: 9.8916769, Information Type: guidepost, Reference: VWW 18.55
Latitude: 47.2799942, Longitude: 9.8915542, Information Type: guidepost, Reference: VWW 18.56
Latitude: 47.3017431, Longitude: 9.8886414, Information Type: guidepost, Reference: VWW 18.02
Latitude: 47.3012986, Longitude: 9.8461027, Information Type: guidepost, Reference: VWW 18.10
Latitude: 47.3083998, Longitude: 9.8872507, Information Type: guidepost, Reference: VWW 18.05
Latitude: 47.3050942, Longitude: 9.8872366, Information Type: guidepost, Reference: VWW 18.03
Latitude: 47.2834955, Longitude: 9.8986830, Information Type: guidepost, Reference: VWW 18.49
Latitude: 47.2831093, Longitude: 9.8663677, Information Type: guidepost, Reference: VWW 18.19
Latitude: 47.2832303, Longitude: 9.8824087, Information Type: guidepost, Reference: VWW 18.25
Latitude: 47.2827814, Longitude: 9.8704816, Information Type: guidepost, Reference: VWW 18.59
Latitude: 47.2797308, Longitude: 9.8525047, Information Type: guidepost, Reference: VWW 18.73
Latitude: 47.2775119, Longitude: 9.8670366, Information Type: guidepost, Reference: VWW 18.21
Latitude: 47.2795138, Longitude: 9.8652546, Information Type: guidepost, Reference: VWW 18.20
Latitude: 47.2815733, Longitude: 9.8651513, Information Type: guidepost, Reference: VWW 18.64
Latitude: 47.2825425, Longitude: 9.8828512, Information Type: guidepost, Reference: VWW 18.24
Latitude: 47.2820690, Longitude: 9.8847203, Information Type: guidepost, Reference: VWW 18.26
Latitude: 47.2863125, Longitude: 9.8880950, Information Type: guidepost, Reference: VWW 18.34
Latitude: 47.2860774, Longitude: 9.8908281, Information Type: guidepost, Reference: VWW 18.35
Latitude: 47.2852186, Longitude: 9.8923768, Information Type: guidepost, Reference: VWW 18.36
Latitude: 47.2862789, Longitude: 9.8788943, Information Type: guidepost, Reference: VWW 18.23
Latitude: 47.2879309, Longitude: 9.8487590, Information Type: guidepost, Reference: VWW 18.15
Latitude: 47.3117066, Longitude: 9.8695142, Information Type: guidepost, Reference: VWW 18.08
Latitude: 47.2914440, Longitude: 9.8996726, Information Type: guidepost, Reference: VWW 18.46
Latitude: 47.2802500, Longitude: 9.8891877, Information Type: guidepost, Reference: VWW 18.68
Latitude: 47.2870400, Longitude: 9.9187128, Information Type: guidepost, Reference: VWW 18.70
Latitude: 47.2893642, Longitude: 9.8858842, Information Type: guidepost, Reference: VWW 18.69
Latitude: 47.2862171, Longitude: 9.9048941, Information Type: guidepost, Reference: VWW 18.78
Latitude: 47.2908273, Longitude: 9.9091754, Information Type: guidepost, Reference: VWW 18.77
Latitude: 47.2868293, Longitude: 9.8903237, Information Type: guidepost, Reference: VWW 18.76
Latitude: 47.3044088, Longitude: 9.8764585, Information Type: guidepost, Reference: VWW 18.75
Latitude: 47.2968029, Longitude: 9.8666371, Information Type: guidepost, Reference: VWW 18.74
Latitude: 47.2819711, Longitude: 9.8426358, Information Type: guidepost, Reference: VWW 18.51
Latitude: 47.2760463, Longitude: 9.8602615, Information Type: guidepost, Reference: VWW 18.61
Latitude: 47.2875122, Longitude: 9.8874207, Information Type: guidepost, Reference: VWW 18.72
