Latitude: 47.4899000, Longitude: 9.8397468, Information Type: guidepost, Reference: VWW 19.20
Latitude: 47.4997482, Longitude: 9.9074370, Information Type: guidepost, Reference: VWW 19.28
Latitude: 47.4994425, Longitude: 9.8750821, Information Type: guidepost, Reference: VWW 19.23
Latitude: 47.4877471, Longitude: 9.8598934, Information Type: guidepost, Reference: VWW 19.27
Latitude: 47.4959805, Longitude: 9.8949692, Information Type: guidepost, Reference: VWW 19.25
Latitude: 47.4926562, Longitude: 9.8810824, Information Type: guidepost, Reference: VWW 19.12
Latitude: 47.4896682, Longitude: 9.8593222, Information Type: guidepost, Reference: VWW 19.22
Latitude: 47.4852857, Longitude: 9.8592558, Information Type: guidepost, Reference: VWW 19.21
Latitude: 47.4754265, Longitude: 9.8544396, Information Type: guidepost, Reference: VWW 19.17
Latitude: 47.4812869, Longitude: 9.8454560, Information Type: guidepost, Reference: VWW 19.18
Latitude: 47.4816277, Longitude: 9.8460365, Information Type: guidepost, Reference: VWW 19.19
Latitude: 47.4921457, Longitude: 9.8786691, Information Type: guidepost, Reference: VWW 19.01
Latitude: 47.4927922, Longitude: 9.8789940, Information Type: guidepost, Reference: VWW 19.02
Latitude: 47.4956788, Longitude: 9.8736547, Information Type: guidepost, Reference: VWW 19.03
Latitude: 47.4942722, Longitude: 9.8703569, Information Type: guidepost, Reference: VWW 19.04
Latitude: 47.4984634, Longitude: 9.8707387, Information Type: guidepost, Reference: VWW 19.05
Latitude: 47.4965167, Longitude: 9.9026561, Information Type: guidepost, Reference: VWW 19.11
Latitude: 47.4965723, Longitude: 9.8934482, Information Type: guidepost, Reference: VWW 19.10
Latitude: 47.5005481, Longitude: 9.8959305, Information Type: guidepost, Reference: VWW 19.15
Latitude: 47.5045740, Longitude: 9.9020343, Information Type: guidepost, Reference: VWW 19.14
Latitude: 47.5020373, Longitude: 9.9027012, Information Type: guidepost, Reference: VWW 19.13
Latitude: 47.4840328, Longitude: 9.8701774, Information Type: guidepost, Reference: VWW 19.16
Latitude: 47.4980465, Longitude: 9.8785725, Information Type: guidepost, Reference: VWW 19.09
Latitude: 47.5016479, Longitude: 9.8875907, Information Type: guidepost, Reference: VWW 19.08
Latitude: 47.5011406, Longitude: 9.8775486, Information Type: guidepost, Reference: VWW 19.06
Latitude: 47.5015842, Longitude: 9.8795356, Information Type: guidepost, Reference: VWW 19.07
