Latitude: 47.2361737, Longitude: 9.7339586, Information Type: guidepost, Reference: VWW 22.08
Latitude: 47.2362391, Longitude: 9.7326545, Information Type: guidepost, Reference: VWW 22.07
Latitude: 47.2292933, Longitude: 9.7372705, Information Type: guidepost, Reference: VWW 22.14
Latitude: 47.2339762, Longitude: 9.7089281, Information Type: guidepost, Reference: VWW 22.19
Latitude: 47.2233581, Longitude: 9.7364440, Information Type: guidepost, Reference: VWW 22.11
Latitude: 47.2259042, Longitude: 9.7393283, Information Type: guidepost, Reference: VWW 22.12
Latitude: 47.2385304, Longitude: 9.7257957, Information Type: guidepost, Reference: VWW 22.28
Latitude: 47.2386346, Longitude: 9.7126082, Information Type: guidepost, Reference: VWW 22.18
Latitude: 47.2377332, Longitude: 9.7376889, Information Type: guidepost, Reference: VWW 22.22
Latitude: 47.2376443, Longitude: 9.7371705, Information Type: guidepost, Reference: VWW 22.21
Latitude: 47.2360493, Longitude: 9.7325118, Information Type: guidepost, Reference: VWW 22.06
Latitude: 47.2329951, Longitude: 9.7344713, Information Type: guidepost, Reference: VWW 22.25
Latitude: 47.2303486, Longitude: 9.7344801, Information Type: guidepost, Reference: VWW 22.26
Latitude: 47.2273047, Longitude: 9.7233035, Information Type: guidepost, Reference: VWW 22.01
Latitude: 47.2314268, Longitude: 9.7316524, Information Type: guidepost, Reference: VWW 22.24
Latitude: 47.2287752, Longitude: 9.7384532, Information Type: guidepost, Reference: VWW 22.13
Latitude: 47.2287844, Longitude: 9.7389266, Information Type: guidepost, Reference: VWW 22.27
Latitude: 47.2192679, Longitude: 9.7413962, Information Type: guidepost, Reference: VWW 22.16
Latitude: 47.2229982, Longitude: 9.7347883, Information Type: guidepost, Reference: VWW 22.09
Latitude: 47.2233658, Longitude: 9.7357890, Information Type: guidepost, Reference: VWW 22.10
Latitude: 47.2223094, Longitude: 9.7388075, Information Type: guidepost, Reference: VWW 22.04
Latitude: 47.2299831, Longitude: 9.7263194, Information Type: guidepost, Reference: VWW 22.02
Latitude: 47.2330423, Longitude: 9.7224682, Information Type: guidepost, Reference: VWW 22.30
Latitude: 47.2330923, Longitude: 9.7210820, Information Type: guidepost, Reference: VWW 22.23
Latitude: 47.2307231, Longitude: 9.7108975, Information Type: guidepost, Reference: VWW 22.29
Latitude: 47.2378565, Longitude: 9.7262820, Information Type: guidepost, Reference: VWW 22.20
Latitude: 47.2387355, Longitude: 9.7250748, Information Type: guidepost, Reference: VWW 22.15
Latitude: 47.2207428, Longitude: 9.7428377, Information Type: guidepost, Reference: VWW 22.17
