Latitude: 47.3436881, Longitude: 10.0873163, Information Type: guidepost, Reference: VWW 23.75
Latitude: 47.3426280, Longitude: 10.0871305, Information Type: guidepost, Reference: VWW 23.74
Latitude: 47.4422618, Longitude: 9.9294481, Information Type: guidepost, Reference: VWW 23.13
Latitude: 47.3743214, Longitude: 10.0633802, Information Type: guidepost, Reference: VWW 23.71
Latitude: 47.3746835, Longitude: 10.0552609, Information Type: guidepost, Reference: VWW 23.70
Latitude: 47.4368202, Longitude: 9.9025529, Information Type: guidepost, Reference: VWW 23.06
Latitude: 47.4315950, Longitude: 9.9007022, Information Type: guidepost, Reference: VWW 23.83
Latitude: 47.4406207, Longitude: 9.9314239, Information Type: guidepost, Reference: VWW 23.19
Latitude: 47.4179734, Longitude: 9.9028393, Information Type: guidepost, Reference: VWW 23.67
Latitude: 47.4053288, Longitude: 9.9968114, Information Type: guidepost, Reference: VWW 23.61
Latitude: 47.4030447, Longitude: 10.0078688, Information Type: guidepost, Reference: VWW 23.60
Latitude: 47.3972896, Longitude: 10.0048265, Information Type: guidepost, Reference: VWW 23.59
Latitude: 47.3973938, Longitude: 9.9828145, Information Type: guidepost, Reference: VWW 23.57
Latitude: 47.3988353, Longitude: 9.9741290, Information Type: guidepost, Reference: VWW 23.55
Latitude: 47.3985594, Longitude: 10.0435189, Information Type: guidepost, Reference: VWW 81.33
Latitude: 47.3990718, Longitude: 10.0487760, Information Type: guidepost, Reference: VWW 23.68
Latitude: 47.4277175, Longitude: 9.9026336, Information Type: guidepost, Reference: VWW 23.14
Latitude: 47.4267392, Longitude: 9.8862054, Information Type: guidepost, Reference: VWW 23.03
Latitude: 47.4175356, Longitude: 9.9855815, Information Type: guidepost, Reference: VWW 23.27
Latitude: 47.4328786, Longitude: 9.8983386, Information Type: guidepost, Reference: VWW 23.05
Latitude: 47.4309649, Longitude: 9.8888344, Information Type: guidepost, Reference: VWW 23.34
Latitude: 47.4315030, Longitude: 9.8678243, Information Type: guidepost, Reference: VWW 23.35
Latitude: 47.4335414, Longitude: 9.9277147, Information Type: guidepost, Reference: VWW 23.89
Latitude: 47.4402720, Longitude: 9.9226527, Information Type: guidepost, Reference: VWW 23.84
Latitude: 47.4084719, Longitude: 9.9766025, Information Type: guidepost, Reference: VWW 23.25
Latitude: 47.3842801, Longitude: 10.0100366, Information Type: guidepost, Reference: VWW 6.95
Latitude: 47.3943216, Longitude: 9.9807247, Information Type: guidepost, Reference: VWW 23.88
Latitude: 47.4054080, Longitude: 9.9931791, Information Type: guidepost, Reference: VWW 23.87
Latitude: 47.4366944, Longitude: 9.9357554, Information Type: guidepost, Reference: VWW 23.86
Latitude: 47.3939076, Longitude: 9.9816219, Information Type: guidepost, Reference: VWW 23.85
Latitude: 47.4403177, Longitude: 9.9099145, Information Type: guidepost, Reference: VWW 23.12
Latitude: 47.4397405, Longitude: 9.9098271, Information Type: guidepost, Reference: VWW 23.11
Latitude: 47.4384715, Longitude: 9.9200892, Information Type: guidepost, Reference: VWW 23.78
Latitude: 47.4363174, Longitude: 9.9186113, Information Type: guidepost, Reference: VWW 23.18
Latitude: 47.4347964, Longitude: 9.9159654, Information Type: guidepost, Reference: VWW 23.08
Latitude: 47.4342414, Longitude: 9.9154613, Information Type: guidepost, Reference: VWW 23.09
Latitude: 47.4338679, Longitude: 9.9177607, Information Type: guidepost, Reference: VWW 23.17
Latitude: 47.4330978, Longitude: 9.9265484, Information Type: guidepost, Reference: VWW 23.10
Latitude: 47.4371324, Longitude: 9.9365421, Information Type: guidepost, Reference: VWW 23.51
Latitude: 47.4353032, Longitude: 9.9414240, Information Type: guidepost, Reference: VWW 23.49
Latitude: 47.4344109, Longitude: 9.9519329, Information Type: guidepost, Reference: VWW 23.48
Latitude: 47.4295320, Longitude: 9.9498388, Information Type: guidepost, Reference: VWW 23.50
Latitude: 47.4398152, Longitude: 9.8655871, Information Type: guidepost, Reference: VWW 23.37
Latitude: 47.4323472, Longitude: 9.8673514, Information Type: guidepost, Reference: VWW 23.36
Latitude: 47.4381222, Longitude: 9.8917047, Information Type: guidepost, Reference: VWW 23.79
Latitude: 47.4310730, Longitude: 9.8909125, Information Type: guidepost, Reference: VWW 23.04
Latitude: 47.4312524, Longitude: 9.8968063, Information Type: guidepost, Reference: VWW 23.02
Latitude: 47.4313535, Longitude: 9.8975031, Information Type: guidepost, Reference: VWW 23.01
Latitude: 47.4302920, Longitude: 9.9194947, Information Type: guidepost, Reference: VWW 23.16
Latitude: 47.4269164, Longitude: 9.9054013, Information Type: guidepost, Reference: VWW 23.15
Latitude: 47.4266549, Longitude: 9.9228542, Information Type: guidepost, Reference: VWW 23.33
Latitude: 47.4187397, Longitude: 9.9281617, Information Type: guidepost, Reference: VWW 3.34
