Latitude: 47.5189564, Longitude: 9.7865509, Information Type: guidepost, Reference: VWW 24.36
Latitude: 47.5194579, Longitude: 9.7859748, Information Type: guidepost, Reference: VWW 24.35
Latitude: 47.5234705, Longitude: 9.8114733, Information Type: guidepost, Reference: VWW 24.45
Latitude: 47.5242067, Longitude: 9.8021083, Information Type: guidepost, Reference: VWW 24.44
Latitude: 47.5242698, Longitude: 9.8013678, Information Type: guidepost, Reference: VWW 24.43
Latitude: 47.5222424, Longitude: 9.7897472, Information Type: guidepost, Reference: VWW 24.39
Latitude: 47.5250534, Longitude: 9.8001790, Information Type: guidepost, Reference: VWW 24.42
Latitude: 47.5257918, Longitude: 9.7934402, Information Type: guidepost, Reference: VWW 24.40
Latitude: 47.5144367, Longitude: 9.8032502, Information Type: guidepost, Reference: VWW 24.46
Latitude: 47.5335248, Longitude: 9.7796731, Information Type: guidepost, Reference: VWW 24.31
Latitude: 47.5319986, Longitude: 9.7790908, Information Type: guidepost, Reference: VWW 24.29
Latitude: 47.5313271, Longitude: 9.7781987, Information Type: guidepost, Reference: VWW 24.32
Latitude: 47.5349651, Longitude: 9.7784474, Information Type: guidepost, Reference: VWW 24.30
Latitude: 47.5390620, Longitude: 9.7832636, Information Type: guidepost, Reference: VWW 24.05
Latitude: 47.5251418, Longitude: 9.7884148, Information Type: guidepost, Reference: VWW 24.37
Latitude: 47.5403792, Longitude: 9.8056729, Information Type: guidepost, Reference: VWW 24.16
Latitude: 47.5203221, Longitude: 9.7858559, Information Type: guidepost, Reference: VWW 24.34
Latitude: 47.5275750, Longitude: 9.7788516, Information Type: guidepost, Reference: VWW 24.28
Latitude: 47.5299914, Longitude: 9.7817136, Information Type: guidepost, Reference: VWW 24.27
Latitude: 47.5226444, Longitude: 9.7914749, Information Type: guidepost, Reference: VWW 24.39
Latitude: 47.5277749, Longitude: 9.7905039, Information Type: guidepost, Reference: VWW 24.38
Latitude: 47.5305020, Longitude: 9.7785470, Information Type: guidepost, Reference: VWW 24.33
Latitude: 47.5330187, Longitude: 9.7888485, Information Type: guidepost, Reference: VWW 24.23
Latitude: 47.5338673, Longitude: 9.7777506, Information Type: guidepost, Reference: VWW 52.88
Latitude: 47.5352673, Longitude: 9.7792295, Information Type: guidepost, Reference: VWW 24.01
Latitude: 47.5339725, Longitude: 9.7809267, Information Type: guidepost, Reference: VWW 24.25
Latitude: 47.5345192, Longitude: 9.7835253, Information Type: guidepost, Reference: VWW 24.24
Latitude: 47.5379494, Longitude: 9.7828525, Information Type: guidepost, Reference: VWW 24.03
Latitude: 47.5369949, Longitude: 9.7804615, Information Type: guidepost, Reference: VWW 24.02
Latitude: 47.5379098, Longitude: 9.7804041, Information Type: guidepost, Reference: VWW 24.04
Latitude: 47.5477090, Longitude: 9.7871529, Information Type: guidepost, Reference: VWW 24.12
Latitude: 47.5479342, Longitude: 9.7893799, Information Type: guidepost, Reference: VWW 24.13
Latitude: 47.5364216, Longitude: 9.7710870, Information Type: guidepost, Reference: VWW 52.83
Latitude: 47.5425946, Longitude: 9.7787343, Information Type: guidepost, Reference: VWW 24.06
Latitude: 47.5433048, Longitude: 9.7792444, Information Type: guidepost, Reference: VWW 24.07
Latitude: 47.5472413, Longitude: 9.7859726, Information Type: guidepost, Reference: VWW 24.11
Latitude: 47.5294821, Longitude: 9.7992535, Information Type: guidepost, Reference: VWW 24.41
Latitude: 47.5335019, Longitude: 9.8020014, Information Type: guidepost, Reference: VWW 24.20
Latitude: 47.5325166, Longitude: 9.7936329, Information Type: guidepost, Reference: VWW 24.22
Latitude: 47.5422664, Longitude: 9.7978115, Information Type: guidepost, Reference: VWW 24.08
Latitude: 47.5445459, Longitude: 9.7970834, Information Type: guidepost, Reference: VWW 24.14
Latitude: 47.5445395, Longitude: 9.8034198, Information Type: guidepost, Reference: VWW 24.15
Latitude: 47.5381492, Longitude: 9.8043192, Information Type: guidepost, Reference: VWW 24.09
Latitude: 47.5365338, Longitude: 9.7980873, Information Type: guidepost, Reference: VWW 24.21
Latitude: 47.5377296, Longitude: 9.7997761, Information Type: guidepost, Reference: VWW 24.18
Latitude: 47.5363795, Longitude: 9.8007854, Information Type: guidepost, Reference: VWW 24.19
Latitude: 47.5421321, Longitude: 9.8111626, Information Type: guidepost, Reference: VWW 24.17
Latitude: 47.5464633, Longitude: 9.7867220, Information Type: guidepost, Reference: VWW 24.10
