Latitude: 47.3173370, Longitude: 9.6970082, Information Type: guidepost, Reference: VWW 28.22
Latitude: 47.3185511, Longitude: 9.6974122, Information Type: guidepost, Reference: VWW 28.23
Latitude: 47.3247992, Longitude: 9.7096176, Information Type: guidepost, Reference: VWW 28.37
Latitude: 47.3342339, Longitude: 9.7157595, Information Type: guidepost, Reference: VWW 28.50
Latitude: 47.3350965, Longitude: 9.7158461, Information Type: guidepost, Reference: VWW 28.51
Latitude: 47.3382800, Longitude: 9.7182222, Information Type: guidepost, Reference: VWW 28.52
Latitude: 47.3387204, Longitude: 9.7185851, Information Type: guidepost, Reference: VWW 28.58
Latitude: 47.3150492, Longitude: 9.6735904, Information Type: guidepost, Reference: VWW 28.05
Latitude: 47.3204618, Longitude: 9.6834598, Information Type: guidepost, Reference: VWW 28.17
Latitude: 47.3203631, Longitude: 9.6814896, Information Type: guidepost, Reference: VWW 28.15
Latitude: 47.3196470, Longitude: 9.6802814, Information Type: guidepost, Reference: VWW 28.14
Latitude: 47.3235959, Longitude: 9.6955533, Information Type: guidepost, Reference: VWW 28.41
Latitude: 47.3239057, Longitude: 9.6938683, Information Type: guidepost, Reference: VWW 28.46
Latitude: 47.3287823, Longitude: 9.7029177, Information Type: guidepost, Reference: VWW 28.44
Latitude: 47.3282794, Longitude: 9.7004714, Information Type: guidepost, Reference: VWW 28.43
Latitude: 47.3281865, Longitude: 9.6998037, Information Type: guidepost, Reference: VWW 28.42
Latitude: 47.3296730, Longitude: 9.7008613, Information Type: guidepost, Reference: VWW 28.47
Latitude: 47.3146381, Longitude: 9.6784158, Information Type: guidepost, Reference: VWW 28.09
Latitude: 47.3157383, Longitude: 9.6870258, Information Type: guidepost, Reference: VWW 28.34
Latitude: 47.3165587, Longitude: 9.6891985, Information Type: guidepost, Reference: VWW 28.20
Latitude: 47.3172510, Longitude: 9.6965045, Information Type: guidepost, Reference: VWW 28.21
Latitude: 47.3155794, Longitude: 9.6856624, Information Type: guidepost, Reference: VWW 28.11
Latitude: 47.3206385, Longitude: 9.6691128, Information Type: guidepost, Reference: VWW 28.07
Latitude: 47.3186052, Longitude: 9.6684967, Information Type: guidepost, Reference: VWW 28.06
Latitude: 47.3091811, Longitude: 9.6674021, Information Type: guidepost, Reference: VWW 28.24
Latitude: 47.3134134, Longitude: 9.6759082, Information Type: guidepost, Reference: VWW 28.33
Latitude: 47.3139613, Longitude: 9.6737626, Information Type: guidepost, Reference: VWW 28.01
Latitude: 47.3276840, Longitude: 9.7091588, Information Type: guidepost, Reference: VWW 28.40
Latitude: 47.3357609, Longitude: 9.7241655, Information Type: guidepost, Reference: VWW 28.55
Latitude: 47.3181619, Longitude: 9.6779290, Information Type: guidepost, Reference: VWW 28.18
Latitude: 47.3151324, Longitude: 9.7011539, Information Type: guidepost, Reference: VWW 28.25
Latitude: 47.3126370, Longitude: 9.6673414, Information Type: guidepost, Reference: VWW 28.32
Latitude: 47.3157455, Longitude: 9.6809702, Information Type: guidepost, Reference: VWW 28.10
Latitude: 47.3361405, Longitude: 9.7180849, Information Type: guidepost, Reference: VWW 28.53
Latitude: 47.3207582, Longitude: 9.6672317, Information Type: guidepost, Reference: VWW 28.12
Latitude: 47.3306631, Longitude: 9.6914623, Information Type: guidepost, Reference: VWW 28.45
Latitude: 47.3280153, Longitude: 9.7139092, Information Type: guidepost, Reference: VWW 28.57
Latitude: 47.3149865, Longitude: 9.6751867, Information Type: guidepost, Reference: VWW 28.03
Latitude: 47.3193639, Longitude: 9.7125627, Information Type: guidepost, Reference: VWW 28.27
Latitude: 47.3246087, Longitude: 9.6848799, Information Type: guidepost, Reference: VWW 28.16
Latitude: 47.3149973, Longitude: 9.6742696, Information Type: guidepost, Reference: VWW 28.04
Latitude: 47.3149243, Longitude: 9.6747004, Information Type: guidepost, Reference: VWW 28.02
Latitude: 47.3135328, Longitude: 9.6787730, Information Type: guidepost, Reference: VWW 28.08
Latitude: 47.3250186, Longitude: 9.7212557, Information Type: guidepost, Reference: VWW 28.56
Latitude: 47.3265926, Longitude: 9.7251516, Information Type: guidepost, Reference: VWW 28.29
Latitude: 47.3279823, Longitude: 9.7199168, Information Type: guidepost, Reference: VWW 28.31
Latitude: 47.3231828, Longitude: 9.7212744, Information Type: guidepost, Reference: VWW 28.28
Latitude: 47.3252216, Longitude: 9.7132940, Information Type: guidepost, Reference: VWW 28.38
Latitude: 47.3280423, Longitude: 9.7198390, Information Type: guidepost, Reference: VWW 28.30
Latitude: 47.3357751, Longitude: 9.7186724, Information Type: guidepost, Reference: VWW 28.54
Latitude: 47.3268953, Longitude: 9.7093550, Information Type: guidepost, Reference: VWW 28.39
