Latitude: 46.9744504, Longitude: 10.0836325, Information Type: guidepost, Reference: VWW 31.204
Latitude: 46.9131868, Longitude: 10.1033051, Information Type: guidepost, Reference: VWW 31.294
Latitude: 46.9688604, Longitude: 10.0894669, Information Type: guidepost, Reference: VWW 31.205
Latitude: 46.9751375, Longitude: 10.1123973, Information Type: guidepost, Reference: VWW 31.236
Latitude: 46.9951260, Longitude: 10.1059896, Information Type: guidepost, Reference: VWW 31.240
Latitude: 46.9924538, Longitude: 10.1067236, Information Type: guidepost, Reference: VWW 31.238
Latitude: 46.9738622, Longitude: 10.0424290, Information Type: guidepost, Reference: VWW 31.077
Latitude: 46.9580451, Longitude: 10.0747223, Information Type: guidepost, Reference: VWW 31.213
Latitude: 46.9608902, Longitude: 10.0751141, Information Type: guidepost, Reference: VWW 31.212
Latitude: 46.8687867, Longitude: 10.1159061, Information Type: guidepost, Reference: VWW 31.302
Latitude: 46.8792955, Longitude: 10.1116156, Information Type: guidepost, Reference: VWW 31.298
Latitude: 46.8820724, Longitude: 10.1172204, Information Type: guidepost, Reference: VWW 31.299
Latitude: 46.9761838, Longitude: 10.0587849, Information Type: guidepost, Reference: VWW 31.045
Latitude: 46.9591014, Longitude: 10.0203036, Information Type: guidepost, Reference: VWW 31.109
Latitude: 46.9125815, Longitude: 9.9945250, Information Type: guidepost, Reference: VWW 31.265
Latitude: 46.9497642, Longitude: 9.9782608, Information Type: guidepost, Reference: VWW 31.103
Latitude: 46.9567434, Longitude: 9.9875378, Information Type: guidepost, Reference: VWW 31.102
Latitude: 46.9495880, Longitude: 9.9780355, Information Type: guidepost, Reference: VWW 31.104
Latitude: 46.9755522, Longitude: 10.0508959, Information Type: guidepost, Reference: VWW 31.046
Latitude: 46.9263067, Longitude: 10.0258197, Information Type: guidepost, Reference: VWW 31.270
Latitude: 47.0059641, Longitude: 10.0727340, Information Type: guidepost, Reference: VWW 31.032
Latitude: 47.0106651, Longitude: 10.0722407, Information Type: guidepost, Reference: VWW 31.033
Latitude: 46.9853156, Longitude: 10.0852473, Information Type: guidepost, Reference: VWW 31.042
Latitude: 46.9872524, Longitude: 10.0897212, Information Type: guidepost, Reference: VWW 31.041
Latitude: 46.9755236, Longitude: 10.0608237, Information Type: guidepost, Reference: VWW 31.044
Latitude: 46.9757149, Longitude: 10.0613433, Information Type: guidepost, Reference: VWW 31.044
Latitude: 46.9841006, Longitude: 10.0363584, Information Type: guidepost, Reference: VWW 31.051
Latitude: 46.9847497, Longitude: 10.0334871, Information Type: guidepost, Reference: VWW 31.054
Latitude: 46.9594087, Longitude: 10.1142375, Information Type: guidepost, Reference: VWW 31.315
Latitude: 46.9605114, Longitude: 10.1101216, Information Type: guidepost, Reference: VWW 31.317
Latitude: 46.9626310, Longitude: 10.1239075, Information Type: guidepost, Reference: VWW 31.327
Latitude: 46.9635344, Longitude: 10.1337804, Information Type: guidepost, Reference: VWW 31.329
Latitude: 46.9636417, Longitude: 10.1328496, Information Type: guidepost, Reference: VWW 31.328
Latitude: 46.9721705, Longitude: 10.1325389, Information Type: guidepost, Reference: VWW 31.324
Latitude: 47.0078766, Longitude: 10.1383326, Information Type: guidepost, Reference: VWW 31.242
Latitude: 46.9144450, Longitude: 10.1016447, Information Type: guidepost, Reference: VWW 31.272
Latitude: 46.9085008, Longitude: 10.0980497, Information Type: guidepost, Reference: VWW 31.296
Latitude: 46.8985679, Longitude: 10.0915801, Information Type: guidepost, Reference: VWW 31.311
Latitude: 46.9181835, Longitude: 10.0972987, Information Type: guidepost, Reference: VWW 31.289
Latitude: 46.9256159, Longitude: 10.0509929, Information Type: guidepost, Reference: VWW 31.252
Latitude: 46.9988567, Longitude: 10.1124406, Information Type: guidepost, Reference: VWW 31.241
Latitude: 46.9170436, Longitude: 10.0712278, Information Type: guidepost, Reference: VWW 31.277
Latitude: 46.9138531, Longitude: 10.0909717, Information Type: guidepost, Reference: VWW 31.279
Latitude: 46.9914610, Longitude: 10.1032050, Information Type: guidepost, Reference: VWW 31.239
Latitude: 46.9864681, Longitude: 10.1060728, Information Type: guidepost, Reference: VWW 31.273
Latitude: 47.0262299, Longitude: 10.1151840, Information Type: guidepost, Reference: VWW 31.313
Latitude: 46.9873822, Longitude: 10.0328194, Information Type: guidepost, Reference: VWW 31.053
Latitude: 46.9848087, Longitude: 10.0255622, Information Type: guidepost, Reference: VWW 31.065
Latitude: 46.9831337, Longitude: 10.0731907, Information Type: guidepost, Reference: VWW 31.043
Latitude: 46.9595191, Longitude: 9.9891165, Information Type: guidepost, Reference: VWW 31.101
Latitude: 46.8664248, Longitude: 10.1188474, Information Type: guidepost, Reference: VWW 31.304
Latitude: 46.8975492, Longitude: 10.0391478, Information Type: guidepost, Reference: VWW 31.256
Latitude: 46.8873406, Longitude: 10.0457344, Information Type: guidepost, Reference: VWW 31.282
Latitude: 46.8979220, Longitude: 10.0859192, Information Type: guidepost, Reference: VWW 31.280
