Latitude: 47.2302521, Longitude: 9.6079433, Information Type: guidepost, Reference: VWW 32.01
Latitude: 47.2299012, Longitude: 9.6099317, Information Type: guidepost, Reference: VWW 32.02
Latitude: 47.2257027, Longitude: 9.6262940, Information Type: guidepost, Reference: VWW 32.03
Latitude: 47.2262860, Longitude: 9.6290844, Information Type: guidepost, Reference: VWW 32.04
Latitude: 47.2270092, Longitude: 9.6332749, Information Type: guidepost, Reference: VWW 32.05
Latitude: 47.2322616, Longitude: 9.6085663, Information Type: guidepost, Reference: VWW 32.06
Latitude: 47.2328790, Longitude: 9.6100972, Information Type: guidepost, Reference: VWW 32.07
Latitude: 47.2327609, Longitude: 9.6139438, Information Type: guidepost, Reference: VWW 32.08
Latitude: 47.2330263, Longitude: 9.6151373, Information Type: guidepost, Reference: VWW 32.09
Latitude: 47.2335357, Longitude: 9.6155727, Information Type: guidepost, Reference: VWW 32.10
Latitude: 47.2321653, Longitude: 9.6195352, Information Type: guidepost, Reference: VWW 32.11
Latitude: 47.2317602, Longitude: 9.6261293, Information Type: guidepost, Reference: VWW 32.12
Latitude: 47.2325629, Longitude: 9.6273574, Information Type: guidepost, Reference: VWW 32.13
Latitude: 47.2287811, Longitude: 9.6256170, Information Type: guidepost, Reference: VWW 32.14
Latitude: 47.2381479, Longitude: 9.6062141, Information Type: guidepost, Reference: VWW 32.15
Latitude: 47.2408633, Longitude: 9.6128164, Information Type: guidepost, Reference: VWW 32.16
Latitude: 47.2408594, Longitude: 9.6139669, Information Type: guidepost, Reference: VWW 32.17
Latitude: 47.2390729, Longitude: 9.6201597, Information Type: guidepost, Reference: VWW 32.18
Latitude: 47.2381741, Longitude: 9.6199868, Information Type: guidepost, Reference: VWW 32.19
Latitude: 47.2378981, Longitude: 9.6193081, Information Type: guidepost, Reference: VWW 32.20
Latitude: 47.2347708, Longitude: 9.6282164, Information Type: guidepost, Reference: VWW 32.21
Latitude: 47.2360205, Longitude: 9.6306480, Information Type: guidepost, Reference: VWW 32.22
Latitude: 47.2361750, Longitude: 9.6319686, Information Type: guidepost, Reference: VWW 32.23
Latitude: 47.2375760, Longitude: 9.6315130, Information Type: guidepost, Reference: VWW 32.24
Latitude: 47.2516627, Longitude: 9.6450514, Information Type: guidepost, Reference: VWW 32.25
Latitude: 47.2439699, Longitude: 9.6235263, Information Type: guidepost, Reference: VWW 32.26
Latitude: 47.2450792, Longitude: 9.6221288, Information Type: guidepost, Reference: VWW 32.27
Latitude: 47.2484402, Longitude: 9.6260441, Information Type: guidepost, Reference: VWW 32.28
Latitude: 47.2492077, Longitude: 9.6225511, Information Type: guidepost, Reference: VWW 32.29
Latitude: 47.2476842, Longitude: 9.6283397, Information Type: guidepost, Reference: VWW 32.30
Latitude: 47.2497753, Longitude: 9.6278885, Information Type: guidepost, Reference: VWW 32.31
Latitude: 47.2502206, Longitude: 9.6279293, Information Type: guidepost, Reference: VWW 32.32
Latitude: 47.2453824, Longitude: 9.6300527, Information Type: guidepost, Reference: VWW 32.33
Latitude: 47.2450142, Longitude: 9.6320415, Information Type: guidepost, Reference: VWW 32.34
Latitude: 47.2505200, Longitude: 9.6346207, Information Type: guidepost, Reference: VWW 32.35
Latitude: 47.2549531, Longitude: 9.6444216, Information Type: guidepost, Reference: VWW 32.37
Latitude: 47.2509177, Longitude: 9.6391149, Information Type: guidepost, Reference: VWW 32.38
Latitude: 47.2467844, Longitude: 9.6400801, Information Type: guidepost, Reference: VWW 32.39
Latitude: 47.2526693, Longitude: 9.6431869, Information Type: guidepost, Reference: VWW 32.40
Latitude: 47.2566010, Longitude: 9.6427962, Information Type: guidepost, Reference: VWW 32.41
Latitude: 47.2386304, Longitude: 9.6377349, Information Type: guidepost, Reference: VWW 32.42
Latitude: 47.2435824, Longitude: 9.6436905, Information Type: guidepost, Reference: VWW 32.43
Latitude: 47.2500728, Longitude: 9.6473589, Information Type: guidepost, Reference: VWW 32.44
Latitude: 47.2514467, Longitude: 9.6506567, Information Type: guidepost, Reference: VWW 32.45
Latitude: 47.2459156, Longitude: 9.6496330, Information Type: guidepost, Reference: VWW 32.46
Latitude: 47.2460850, Longitude: 9.6522572, Information Type: guidepost, Reference: VWW 32.47
Latitude: 47.2335143, Longitude: 9.6348009, Information Type: guidepost, Reference: VWW 32.49
Latitude: 47.2391083, Longitude: 9.6427359, Information Type: guidepost, Reference: VWW 32.50
Latitude: 47.2357151, Longitude: 9.6431189, Information Type: guidepost, Reference: VWW 32.51
Latitude: 47.2387545, Longitude: 9.6485285, Information Type: guidepost, Reference: VWW 32.52
Latitude: 47.2396628, Longitude: 9.6500995, Information Type: guidepost, Reference: VWW 32.53
Latitude: 47.2357473, Longitude: 9.6470827, Information Type: guidepost, Reference: VWW 32.54
Latitude: 47.2402147, Longitude: 9.6119501, Information Type: guidepost, Reference: VWW 32.55
Latitude: 47.2426875, Longitude: 9.6295487, Information Type: guidepost, Reference: VWW 32.56
Latitude: 47.2335524, Longitude: 9.6416886, Information Type: guidepost, Reference: VWW 32.57
Latitude: 47.2303141, Longitude: 9.6341225, Information Type: guidepost, Reference: VWW 32.58
Latitude: 47.2461085, Longitude: 9.6340337, Information Type: guidepost, Reference: VWW 32.60
Latitude: 47.2461373, Longitude: 9.6350534, Information Type: guidepost, Reference: VWW 32.61
Latitude: 47.2481747, Longitude: 9.6362077, Information Type: guidepost, Reference: VWW 32.62
Latitude: 47.2500354, Longitude: 9.6364145, Information Type: guidepost, Reference: VWW 32.63
Latitude: 47.2533849, Longitude: 9.6368327, Information Type: guidepost, Reference: VWW 32.64
Latitude: 47.2344652, Longitude: 9.6445290, Information Type: guidepost, Reference: VWW 32.65
Latitude: 47.2331694, Longitude: 9.6409709, Information Type: guidepost, Reference: VWW 32.66
Latitude: 47.2335716, Longitude: 9.6007781, Information Type: guidepost, Reference: VWW 32.67
Latitude: 47.2402780, Longitude: 9.6563423, Information Type: guidepost, Reference: VWW 64.006
