Latitude: 47.1375631, Longitude: 9.9380266, Information Type: guidepost, Reference: VWW 40.21
Latitude: 47.1371283, Longitude: 9.9328200, Information Type: guidepost, Reference: VWW 40.19
Latitude: 47.1301714, Longitude: 9.9605866, Information Type: guidepost, Reference: VWW 40.32
Latitude: 47.1577542, Longitude: 9.9341517, Information Type: guidepost, Reference: VWW 40.34
Latitude: 47.1598632, Longitude: 9.9525646, Information Type: guidepost, Reference: VWW 40.35
Latitude: 47.1479933, Longitude: 9.9107111, Information Type: guidepost, Reference: VWW 40.09
Latitude: 47.1481776, Longitude: 9.9097922, Information Type: guidepost, Reference: VWW 40.10
Latitude: 47.1374541, Longitude: 9.9751921, Information Type: guidepost, Reference: VWW 40.30
Latitude: 47.1366014, Longitude: 9.9684710, Information Type: guidepost, Reference: VWW 40.29
Latitude: 47.1406049, Longitude: 9.9421597, Information Type: guidepost, Reference: VWW 40.23
Latitude: 47.1416477, Longitude: 9.9552289, Information Type: guidepost, Reference: VWW 40.28
Latitude: 47.1406872, Longitude: 9.9487316, Information Type: guidepost, Reference: VWW 40.26
Latitude: 47.1419680, Longitude: 9.9463622, Information Type: guidepost, Reference: VWW 40.25
Latitude: 47.1441352, Longitude: 9.9373265, Information Type: guidepost, Reference: VWW 40.24
Latitude: 47.1488314, Longitude: 9.9175045, Information Type: guidepost, Reference: VWW 40.12
Latitude: 47.1444039, Longitude: 9.9192634, Information Type: guidepost, Reference: VWW 40.04
Latitude: 47.1499404, Longitude: 9.9258009, Information Type: guidepost, Reference: VWW 40.15
Latitude: 47.1489723, Longitude: 9.9200302, Information Type: guidepost, Reference: VWW 40.13
Latitude: 47.1468190, Longitude: 9.9287115, Information Type: guidepost, Reference: VWW 40.16
Latitude: 47.1498535, Longitude: 9.9126506, Information Type: guidepost, Reference: VWW 40.11
Latitude: 47.1295076, Longitude: 9.9735197, Information Type: guidepost, Reference: VWW 40.31
Latitude: 47.1418634, Longitude: 9.9256151, Information Type: guidepost, Reference: VWW 40.18
Latitude: 47.1430826, Longitude: 9.9287748, Information Type: guidepost, Reference: VWW 40.17
Latitude: 47.1384211, Longitude: 9.9391262, Information Type: guidepost, Reference: VWW 40.22
Latitude: 47.1381435, Longitude: 9.9333582, Information Type: guidepost, Reference: VWW 40.20
Latitude: 47.1465574, Longitude: 9.9146499, Information Type: guidepost, Reference: VWW 40.08
Latitude: 47.1428406, Longitude: 9.9111129, Information Type: guidepost, Reference: VWW 40.02
Latitude: 47.1445149, Longitude: 9.9190048, Information Type: guidepost, Reference: VWW 40.03
Latitude: 47.1447676, Longitude: 9.9180125, Information Type: guidepost, Reference: VWW 40.33
Latitude: 47.1455317, Longitude: 9.9142580, Information Type: guidepost, Reference: VWW 40.05
Latitude: 47.1455916, Longitude: 9.9094038, Information Type: guidepost, Reference: VWW 40.06
Latitude: 47.1456502, Longitude: 9.9089503, Information Type: guidepost, Reference: VWW 40.07
Latitude: 47.1521288, Longitude: 9.9147732, Information Type: guidepost, Reference: VWW 40.14
Latitude: 47.1425582, Longitude: 9.9112305, Information Type: guidepost, Reference: VWW 40.01
Latitude: 47.1387460, Longitude: 9.9527764, Information Type: guidepost, Reference: VWW 40.27
