Latitude: 47.4818862, Longitude: 9.7534035, Information Type: guidepost, Reference: VWW 41.04
Latitude: 47.4851982, Longitude: 9.7437067, Information Type: guidepost, Reference: VWW 41.05
Latitude: 47.4798386, Longitude: 9.7585237, Information Type: guidepost, Reference: VWW 41.03
Latitude: 47.4855092, Longitude: 9.7424267, Information Type: guidepost, Reference: VWW 13.66
Latitude: 47.4876195, Longitude: 9.7712385, Information Type: guidepost, Reference: VWW 41.12
Latitude: 47.4790937, Longitude: 9.7659213, Information Type: guidepost, Reference: VWW 41.18
Latitude: 47.4866422, Longitude: 9.7706110, Information Type: guidepost, Reference: VWW 41.13
Latitude: 47.4861410, Longitude: 9.7690306, Information Type: guidepost, Reference: VWW 41.14
Latitude: 47.4811093, Longitude: 9.7661355, Information Type: guidepost, Reference: VWW 41.16
Latitude: 47.4876319, Longitude: 9.7503775, Information Type: guidepost, Reference: VWW 41.20
Latitude: 47.4868483, Longitude: 9.7572854, Information Type: guidepost, Reference: VWW 41.25
Latitude: 47.4903757, Longitude: 9.7713686, Information Type: guidepost, Reference: VWW 41.11
Latitude: 47.4787506, Longitude: 9.7713007, Information Type: guidepost, Reference: VWW 41.21
Latitude: 47.4809008, Longitude: 9.7731079, Information Type: guidepost, Reference: VWW 41.22
Latitude: 47.4818206, Longitude: 9.7729573, Information Type: guidepost, Reference: VWW 41.23
Latitude: 47.4792380, Longitude: 9.7629572, Information Type: guidepost, Reference: VWW 41.24
Latitude: 47.4853598, Longitude: 9.7658776, Information Type: guidepost, Reference: VWW 41.15
Latitude: 47.4828784, Longitude: 9.7551608, Information Type: guidepost, Reference: VWW 41.06
Latitude: 47.4806059, Longitude: 9.7602474, Information Type: guidepost, Reference: VWW 41.02
Latitude: 47.4812976, Longitude: 9.7609075, Information Type: guidepost, Reference: VWW 41.01
Latitude: 47.4804633, Longitude: 9.7620911, Information Type: guidepost, Reference: VWW 41.19
Latitude: 47.4793225, Longitude: 9.7662700, Information Type: guidepost, Reference: VWW 41.17
Latitude: 47.4836314, Longitude: 9.7530781, Information Type: guidepost, Reference: VWW 41.07
Latitude: 47.4839275, Longitude: 9.7532835, Information Type: guidepost, Reference: VWW 41.08
Latitude: 47.4879915, Longitude: 9.7479823, Information Type: guidepost, Reference: VWW 41.09
Latitude: 47.4883419, Longitude: 9.7477901, Information Type: guidepost, Reference: VWW 41.10
