Latitude: 47.3049410, Longitude: 9.6232864, Information Type: guidepost, Reference: VWW 42.42
Latitude: 47.3098697, Longitude: 9.6262127, Information Type: guidepost, Reference: VWW 42.15
Latitude: 47.3126873, Longitude: 9.6250733, Information Type: guidepost, Reference: VWW 42.20
Latitude: 47.3206146, Longitude: 9.6454219, Information Type: guidepost, Reference: VWW 42.28
Latitude: 47.3147553, Longitude: 9.6360547, Information Type: guidepost, Reference: VWW 42.23
Latitude: 47.3163633, Longitude: 9.6346040, Information Type: guidepost, Reference: VWW 42.22
Latitude: 47.3082415, Longitude: 9.6468147, Information Type: guidepost, Reference: VWW 42.02
Latitude: 47.3087333, Longitude: 9.6466988, Information Type: guidepost, Reference: VWW 42.01
Latitude: 47.3087393, Longitude: 9.6441767, Information Type: guidepost, Reference: VWW 42.03
Latitude: 47.3090713, Longitude: 9.6522890, Information Type: guidepost, Reference: VWW 42.06
Latitude: 47.3092141, Longitude: 9.6245845, Information Type: guidepost, Reference: VWW 42.05
Latitude: 47.3107816, Longitude: 9.6512580, Information Type: guidepost, Reference: VWW 42.07
Latitude: 47.3112332, Longitude: 9.6503572, Information Type: guidepost, Reference: VWW 42.08
Latitude: 47.3126368, Longitude: 9.6502724, Information Type: guidepost, Reference: VWW 42.11
Latitude: 47.3141471, Longitude: 9.6552513, Information Type: guidepost, Reference: VWW 42.12
Latitude: 47.3154985, Longitude: 9.6596075, Information Type: guidepost, Reference: VWW 42.31
Latitude: 47.3160767, Longitude: 9.6601621, Information Type: guidepost, Reference: VWW 42.32
Latitude: 47.3143573, Longitude: 9.6317625, Information Type: guidepost, Reference: VWW 42.21
Latitude: 47.3171527, Longitude: 9.6450738, Information Type: guidepost, Reference: VWW 42.26
Latitude: 47.3207857, Longitude: 9.6634309, Information Type: guidepost, Reference: VWW 42.37
Latitude: 47.3226121, Longitude: 9.6616334, Information Type: guidepost, Reference: VWW 42.39
Latitude: 47.3240580, Longitude: 9.6636121, Information Type: guidepost, Reference: VWW 42.40
Latitude: 47.3263433, Longitude: 9.6710173, Information Type: guidepost, Reference: VWW 42.41
Latitude: 47.3096512, Longitude: 9.6553757, Information Type: guidepost, Reference: VWW 94.17
Latitude: 47.3138940, Longitude: 9.6483543, Information Type: guidepost, Reference: VWW 42.27
Latitude: 47.3121753, Longitude: 9.6466776, Information Type: guidepost, Reference: VWW 42.13
Latitude: 47.3191878, Longitude: 9.6645209, Information Type: guidepost, Reference: VWW 28.19
Latitude: 47.3178924, Longitude: 9.6626230, Information Type: guidepost, Reference: VWW 42.34
Latitude: 47.3124204, Longitude: 9.6473644, Information Type: guidepost, Reference: VWW 42.10
Latitude: 47.3178000, Longitude: 9.6539271, Information Type: guidepost, Reference: VWW 42.30
Latitude: 47.3133178, Longitude: 9.6315776, Information Type: guidepost, Reference: VWW 42.21
Latitude: 47.3157636, Longitude: 9.6487166, Information Type: guidepost, Reference: VWW 42.27
Latitude: 47.3224994, Longitude: 9.6507206, Information Type: guidepost, Reference: VWW 33.49
Latitude: 47.3151923, Longitude: 9.6466915, Information Type: guidepost, Reference: VWW 42.25
Latitude: 47.3105702, Longitude: 9.6418661, Information Type: guidepost, Reference: VWW 42.04
Latitude: 47.3123565, Longitude: 9.6477509, Information Type: guidepost, Reference: VWW 42.14
Latitude: 47.3120586, Longitude: 9.6472812, Information Type: guidepost, Reference: VWW 42.09
Latitude: 47.3121186, Longitude: 9.6468780, Information Type: guidepost, Reference: VWW 42.13
