Latitude: 47.1293353, Longitude: 10.0620834, Information Type: guidepost, Reference: VWW 43.056
Latitude: 47.1314402, Longitude: 10.0829694, Information Type: guidepost, Reference: VWW 43.054
Latitude: 47.1314972, Longitude: 10.1045167, Information Type: guidepost, Reference: VWW 43.069
Latitude: 47.1320415, Longitude: 10.1057307, Information Type: guidepost, Reference: VWW 43.068
Latitude: 47.1339086, Longitude: 10.0938684, Information Type: guidepost, Reference: VWW 43.070
Latitude: 47.1370351, Longitude: 10.0948779, Information Type: guidepost, Reference: VWW 43.066
Latitude: 47.1309503, Longitude: 10.0990214, Information Type: guidepost, Reference: VWW 43.063
Latitude: 47.1317485, Longitude: 10.0937950, Information Type: guidepost, Reference: VWW 43.059
Latitude: 47.1293058, Longitude: 10.0944216, Information Type: guidepost, Reference: VWW 43.004
Latitude: 47.1299856, Longitude: 10.0978478, Information Type: guidepost, Reference: VWW 43.061
Latitude: 47.1306500, Longitude: 10.0941566, Information Type: guidepost, Reference: VWW 43.060
Latitude: 47.1316364, Longitude: 10.0934020, Information Type: guidepost, Reference: VWW 43.058
Latitude: 47.1342273, Longitude: 10.0926162, Information Type: guidepost, Reference: VWW 43.071
Latitude: 47.1268920, Longitude: 10.1011011, Information Type: guidepost, Reference: VWW 43.015
Latitude: 47.1343111, Longitude: 10.0910214, Information Type: guidepost, Reference: VWW 43.064
Latitude: 47.1109775, Longitude: 10.0836166, Information Type: guidepost, Reference: VWW 43.025
Latitude: 47.1111500, Longitude: 10.0804920, Information Type: guidepost, Reference: VWW 43.008
Latitude: 47.1108856, Longitude: 10.0974267, Information Type: guidepost, Reference: VWW 43.010
Latitude: 47.1156155, Longitude: 10.0951243, Information Type: guidepost, Reference: VWW 43.009
Latitude: 47.1154426, Longitude: 10.0720255, Information Type: guidepost, Reference: VWW 43.007
Latitude: 47.1160013, Longitude: 10.0775600, Information Type: guidepost, Reference: VWW 43.006
Latitude: 47.1017516, Longitude: 10.1006502, Information Type: guidepost, Reference: VWW 43.076
Latitude: 47.1034247, Longitude: 10.1087550, Information Type: guidepost, Reference: VWW 43.075
Latitude: 47.1049057, Longitude: 10.1090906, Information Type: guidepost, Reference: VWW 43.012
Latitude: 47.1158918, Longitude: 10.1049907, Information Type: guidepost, Reference: VWW 43.013
Latitude: 47.1293555, Longitude: 10.0981414, Information Type: guidepost, Reference: VWW 43.016
Latitude: 47.1365802, Longitude: 10.0949031, Information Type: guidepost, Reference: VWW 43.065
Latitude: 47.1474906, Longitude: 10.2087015, Information Type: guidepost, Reference: VWW 43.092
