Latitude: 47.3158730, Longitude: 9.6263823, Information Type: guidepost, Reference: VWW 44.27
Latitude: 47.3405420, Longitude: 9.6057193, Information Type: guidepost, Reference: VWW 44.44
Latitude: 47.3441477, Longitude: 9.6120887, Information Type: guidepost, Reference: VWW 44.48
Latitude: 47.3396908, Longitude: 9.6081233, Information Type: guidepost, Reference: VWW 44.43
Latitude: 47.3375356, Longitude: 9.6118407, Information Type: guidepost, Reference: VWW 44.07
Latitude: 47.3397420, Longitude: 9.6141491, Information Type: guidepost, Reference: VWW 44.09
Latitude: 47.3384897, Longitude: 9.6125186, Information Type: guidepost, Reference: VWW 44.08
Latitude: 47.3398042, Longitude: 9.6044624, Information Type: guidepost, Reference: VWW 44.52
Latitude: 47.3253835, Longitude: 9.6247655, Information Type: guidepost, Reference: VWW 44.21
Latitude: 47.3129494, Longitude: 9.5947224, Information Type: guidepost, Reference: VWW 44.50
Latitude: 47.3222120, Longitude: 9.6167363, Information Type: guidepost, Reference: VWW 44.28
Latitude: 47.3239892, Longitude: 9.6201277, Information Type: guidepost, Reference: VWW 44.20
Latitude: 47.3234184, Longitude: 9.6224590, Information Type: guidepost, Reference: VWW 44.23
Latitude: 47.3230675, Longitude: 9.6246963, Information Type: guidepost, Reference: VWW 44.22
Latitude: 47.3307970, Longitude: 9.6019920, Information Type: guidepost, Reference: VWW 44.54
Latitude: 47.3254963, Longitude: 9.5940073, Information Type: guidepost, Reference: VWW 44.42
Latitude: 47.3436360, Longitude: 9.6113523, Information Type: guidepost, Reference: VWW 44.45
Latitude: 47.3424599, Longitude: 9.6140047, Information Type: guidepost, Reference: VWW 44.46
Latitude: 47.3163555, Longitude: 9.6203770, Information Type: guidepost, Reference: VWW 44.57
Latitude: 47.3258502, Longitude: 9.6154447, Information Type: guidepost, Reference: VWW 44.60
Latitude: 47.3290678, Longitude: 9.6202526, Information Type: guidepost, Reference: VWW 44.59
Latitude: 47.3291462, Longitude: 9.6198335, Information Type: guidepost, Reference: VWW 44.58
Latitude: 47.3441649, Longitude: 9.6134707, Information Type: guidepost, Reference: VWW 44.55
Latitude: 47.3324669, Longitude: 9.5968790, Information Type: guidepost, Reference: VWW 44.56
Latitude: 47.3409652, Longitude: 9.6066821, Information Type: guidepost, Reference: VWW 44.10
Latitude: 47.3355613, Longitude: 9.6059140, Information Type: guidepost, Reference: VWW 44.04
Latitude: 47.3335323, Longitude: 9.6112997, Information Type: guidepost, Reference: VWW 44.06
Latitude: 47.3362588, Longitude: 9.6167064, Information Type: guidepost, Reference: VWW 44.11
Latitude: 47.3310336, Longitude: 9.6217092, Information Type: guidepost, Reference: VWW 44.14
Latitude: 47.3340864, Longitude: 9.6194928, Information Type: guidepost, Reference: VWW 44.12
Latitude: 47.3315263, Longitude: 9.6188318, Information Type: guidepost, Reference: VWW 44.16
Latitude: 47.3358058, Longitude: 9.6044696, Information Type: guidepost, Reference: VWW 44.03
Latitude: 47.3349205, Longitude: 9.6036843, Information Type: guidepost, Reference: VWW 44.02
Latitude: 47.3299337, Longitude: 9.6218407, Information Type: guidepost, Reference: VWW 44.15
Latitude: 47.3237639, Longitude: 9.6164653, Information Type: guidepost, Reference: VWW 44.19
Latitude: 47.3206449, Longitude: 9.6236624, Information Type: guidepost, Reference: VWW 44.24
Latitude: 47.3172567, Longitude: 9.6203082, Information Type: guidepost, Reference: VWW 44.26
Latitude: 47.3209605, Longitude: 9.6177469, Information Type: guidepost, Reference: VWW 44.25
Latitude: 47.3199277, Longitude: 9.6163101, Information Type: guidepost, Reference: VWW 44.29
Latitude: 47.3307716, Longitude: 9.6094911, Information Type: guidepost, Reference: VWW 44.17
Latitude: 47.3318298, Longitude: 9.6076563, Information Type: guidepost, Reference: VWW 44.18
Latitude: 47.3309394, Longitude: 9.6013697, Information Type: guidepost, Reference: VWW 44.39
Latitude: 47.3327910, Longitude: 9.6056562, Information Type: guidepost, Reference: VWW 44.01
Latitude: 47.3305736, Longitude: 9.6026684, Information Type: guidepost, Reference: VWW 44.53
Latitude: 47.3298490, Longitude: 9.6050066, Information Type: guidepost, Reference: VWW 44.38
Latitude: 47.3225876, Longitude: 9.6052868, Information Type: guidepost, Reference: VWW 44.37
Latitude: 47.3209893, Longitude: 9.6098094, Information Type: guidepost, Reference: VWW 44.30
Latitude: 47.3152474, Longitude: 9.6018983, Information Type: guidepost, Reference: VWW 44.35
Latitude: 47.3203448, Longitude: 9.6097428, Information Type: guidepost, Reference: VWW 44.31
Latitude: 47.3124275, Longitude: 9.6117951, Information Type: guidepost, Reference: VWW 44.32
Latitude: 47.3111401, Longitude: 9.6114925, Information Type: guidepost, Reference: VWW 44.33
Latitude: 47.3117434, Longitude: 9.5993595, Information Type: guidepost, Reference: VWW 44.51
Latitude: 47.3124790, Longitude: 9.5996485, Information Type: guidepost, Reference: VWW 44.34
Latitude: 47.3320954, Longitude: 9.5985373, Information Type: guidepost, Reference: VWW 44.40
Latitude: 47.3334687, Longitude: 9.5963754, Information Type: guidepost, Reference: VWW 44.41
Latitude: 47.3451483, Longitude: 9.6185023, Information Type: guidepost, Reference: VWW 44.47
Latitude: 47.3238624, Longitude: 9.6224161, Information Type: guidepost, Reference: VWW 44.36
Latitude: 47.3333915, Longitude: 9.6100856, Information Type: guidepost, Reference: VWW 44.05
Latitude: 47.3337192, Longitude: 9.6220409, Information Type: guidepost, Reference: VWW 44.13
