Latitude: 47.4954083, Longitude: 9.9271808, Information Type: guidepost, Reference: VWW 45.04
Latitude: 47.4825372, Longitude: 9.9125304, Information Type: guidepost, Reference: VWW 45.12
Latitude: 47.4804358, Longitude: 9.9117542, Information Type: guidepost, Reference: VWW 45.19
Latitude: 47.4905339, Longitude: 9.9184026, Information Type: guidepost, Reference: VWW 45.27
Latitude: 47.4888164, Longitude: 9.9260423, Information Type: guidepost, Reference: VWW 45.05
Latitude: 47.4874071, Longitude: 9.9139525, Information Type: guidepost, Reference: VWW 45.06
Latitude: 47.4841209, Longitude: 9.9162229, Information Type: guidepost, Reference: VWW 45.13
Latitude: 47.4855042, Longitude: 9.9086893, Information Type: guidepost, Reference: VWW 45.07
Latitude: 47.4785692, Longitude: 9.8914786, Information Type: guidepost, Reference: VWW 45.10
Latitude: 47.4802129, Longitude: 9.8949892, Information Type: guidepost, Reference: VWW 45.09
Latitude: 47.4809616, Longitude: 9.9002493, Information Type: guidepost, Reference: VWW 45.08
Latitude: 47.4830532, Longitude: 9.9049463, Information Type: guidepost, Reference: VWW 45.25
Latitude: 47.4817194, Longitude: 9.9115277, Information Type: guidepost, Reference: VWW 45.11
Latitude: 47.4803856, Longitude: 9.9096398, Information Type: guidepost, Reference: VWW 45.20
Latitude: 47.4822114, Longitude: 9.9178828, Information Type: guidepost, Reference: VWW 45.16
Latitude: 47.4803226, Longitude: 9.9169371, Information Type: guidepost, Reference: VWW 45.17
Latitude: 47.4801210, Longitude: 9.9143336, Information Type: guidepost, Reference: VWW 45.18
Latitude: 47.4875847, Longitude: 9.9269649, Information Type: guidepost, Reference: VWW 45.14
Latitude: 47.4859503, Longitude: 9.9300652, Information Type: guidepost, Reference: VWW 45.15
Latitude: 47.4853186, Longitude: 9.9377818, Information Type: guidepost, Reference: VWW 45.02
Latitude: 47.4828752, Longitude: 9.9350879, Information Type: guidepost, Reference: VWW 45.01
Latitude: 47.4827540, Longitude: 9.9335478, Information Type: guidepost, Reference: VWW 45.23
Latitude: 47.4811910, Longitude: 9.9354650, Information Type: guidepost, Reference: VWW 45.24
Latitude: 47.4774693, Longitude: 9.9169997, Information Type: guidepost, Reference: VWW 45.21
Latitude: 47.4801975, Longitude: 9.9287781, Information Type: guidepost, Reference: VWW 45.22
