Latitude: 47.2674602, Longitude: 9.7040374, Information Type: guidepost, Reference: VWW 48.008
Latitude: 47.2661914, Longitude: 9.7025455, Information Type: guidepost, Reference: VWW 48.001
Latitude: 47.2676798, Longitude: 9.7053235, Information Type: guidepost, Reference: VWW 48.006
Latitude: 47.2604774, Longitude: 9.6884636, Information Type: guidepost, Reference: VWW 48.068
Latitude: 47.2618694, Longitude: 9.6894255, Information Type: guidepost, Reference: VWW 48.070
Latitude: 47.2631914, Longitude: 9.7428559, Information Type: guidepost, Reference: VWW 48.064
Latitude: 47.2739583, Longitude: 9.7182834, Information Type: guidepost, Reference: VWW 48.022
Latitude: 47.2978681, Longitude: 9.7780539, Information Type: guidepost, Reference: VWW 48.102
Latitude: 47.2893038, Longitude: 9.7683575, Information Type: guidepost, Reference: VWW 48.101
Latitude: 47.2677368, Longitude: 9.7924408, Information Type: guidepost, Reference: VWW 48.046
Latitude: 47.2669884, Longitude: 9.7931561, Information Type: guidepost, Reference: VWW 48.047
Latitude: 47.2645476, Longitude: 9.7425422, Information Type: guidepost, Reference: VWW 48.041
Latitude: 47.2664679, Longitude: 9.8327462, Information Type: guidepost, Reference: VWW 48.112
Latitude: 47.2651693, Longitude: 9.7055937, Information Type: guidepost, Reference: VWW 48.004
Latitude: 47.2652993, Longitude: 9.7027568, Information Type: guidepost, Reference: VWW 48.003
Latitude: 47.2589766, Longitude: 9.7039452, Information Type: guidepost, Reference: VWW 48.071
Latitude: 47.2769284, Longitude: 9.7594032, Information Type: guidepost, Reference: VWW 48.089
Latitude: 47.2801270, Longitude: 9.7514404, Information Type: guidepost, Reference: VWW 48.100
Latitude: 47.2771810, Longitude: 9.7363416, Information Type: guidepost, Reference: VWW 48.063
Latitude: 47.2783756, Longitude: 9.7451346, Information Type: guidepost, Reference: VWW 48.021
Latitude: 47.2677600, Longitude: 9.7287327, Information Type: guidepost, Reference: VWW 48.018
Latitude: 47.2684932, Longitude: 9.7373245, Information Type: guidepost, Reference: VWW 48.019
Latitude: 47.2673620, Longitude: 9.7444774, Information Type: guidepost, Reference: VWW 48.024
Latitude: 47.2691629, Longitude: 9.7451279, Information Type: guidepost, Reference: VWW 48.23
Latitude: 47.2639893, Longitude: 9.7420943, Information Type: guidepost, Reference: VWW 48.065
Latitude: 47.2660877, Longitude: 9.7029468, Information Type: guidepost, Reference: VWW 48.002
Latitude: 47.2659430, Longitude: 9.7056551, Information Type: guidepost, Reference: VWW 48.005
Latitude: 47.2636590, Longitude: 9.7500850, Information Type: guidepost, Reference: VWW 48.094
Latitude: 47.2596825, Longitude: 9.7498216, Information Type: guidepost, Reference: VWW 48.093
Latitude: 47.2656000, Longitude: 9.7073885, Information Type: guidepost, Reference: VWW 48.009
Latitude: 47.2628762, Longitude: 9.7406132, Information Type: guidepost, Reference: VWW 48.095
Latitude: 47.2644596, Longitude: 9.7296910, Information Type: guidepost, Reference: VWW 48.092
Latitude: 47.2743837, Longitude: 9.7624441, Information Type: guidepost, Reference: VWW 48.090
Latitude: 47.2747381, Longitude: 9.7606894, Information Type: guidepost, Reference: VWW 48.088
Latitude: 47.2743803, Longitude: 9.7596415, Information Type: guidepost, Reference: VWW 48.087
Latitude: 47.2727921, Longitude: 9.7610863, Information Type: guidepost, Reference: VWW 48.086
Latitude: 47.2701792, Longitude: 9.7618401, Information Type: guidepost, Reference: VWW 48.085
Latitude: 47.2659272, Longitude: 9.7554276, Information Type: guidepost, Reference: VWW 48.084
Latitude: 47.2652519, Longitude: 9.7512169, Information Type: guidepost, Reference: VWW 48.083
Latitude: 47.2645665, Longitude: 9.7466208, Information Type: guidepost, Reference: VWW 48.082
Latitude: 47.2596585, Longitude: 9.7492333, Information Type: guidepost, Reference: VWW 48.038
Latitude: 47.2442554, Longitude: 9.7518972, Information Type: guidepost, Reference: VWW 48.077
Latitude: 47.2525217, Longitude: 9.7481889, Information Type: guidepost, Reference: VWW 48.074
Latitude: 47.2567905, Longitude: 9.7424374, Information Type: guidepost, Reference: VWW 48.036
Latitude: 47.2576213, Longitude: 9.7425511, Information Type: guidepost, Reference: VWW 48.037
Latitude: 47.2609042, Longitude: 9.7425438, Information Type: guidepost, Reference: VWW 48.039
Latitude: 47.2607690, Longitude: 9.7430545, Information Type: guidepost, Reference: VWW 48.062
Latitude: 47.2592100, Longitude: 9.7447382, Information Type: guidepost, Reference: VWW 48.066
Latitude: 47.2613402, Longitude: 9.7411460, Information Type: guidepost, Reference: VWW 48.040
Latitude: 47.2649641, Longitude: 9.7369992, Information Type: guidepost, Reference: VWW 48.028
Latitude: 47.2639299, Longitude: 9.7392618, Information Type: guidepost, Reference: VWW 48.035
Latitude: 47.2637673, Longitude: 9.7439713, Information Type: guidepost, Reference: VWW 48.042
Latitude: 47.2659542, Longitude: 9.7466762, Information Type: guidepost, Reference: VWW 48.043
Latitude: 47.2753485, Longitude: 9.7637792, Information Type: guidepost, Reference: VWW 48.044
Latitude: 47.2873946, Longitude: 9.7700644, Information Type: guidepost, Reference: VWW 48.105
Latitude: 47.2646145, Longitude: 9.7927184, Information Type: guidepost, Reference: VWW 48.048
Latitude: 47.2625353, Longitude: 9.7819478, Information Type: guidepost, Reference: VWW 48.045
Latitude: 47.2573508, Longitude: 9.7631436, Information Type: guidepost, Reference: VWW 48.049
Latitude: 47.2571252, Longitude: 9.7665655, Information Type: guidepost, Reference: VWW 48.050
Latitude: 47.2547390, Longitude: 9.7779005, Information Type: guidepost, Reference: VWW 48.076
Latitude: 47.2637311, Longitude: 9.7927606, Information Type: guidepost, Reference: VWW 48.051
Latitude: 47.2639858, Longitude: 9.7964380, Information Type: guidepost, Reference: VWW 48.052
Latitude: 47.2716383, Longitude: 9.7973219, Information Type: guidepost, Reference: VWW 48.058
Latitude: 47.2740278, Longitude: 9.8144770, Information Type: guidepost, Reference: VWW 48.110
Latitude: 47.2718383, Longitude: 9.8229621, Information Type: guidepost, Reference: VWW 48.111
Latitude: 47.2716675, Longitude: 9.8199101, Information Type: guidepost, Reference: VWW 48.056
Latitude: 47.2641564, Longitude: 9.8279601, Information Type: guidepost, Reference: VWW 48.057
Latitude: 47.2681300, Longitude: 9.8163703, Information Type: guidepost, Reference: VWW 48.055
Latitude: 47.2637941, Longitude: 9.8136199, Information Type: guidepost, Reference: VWW 48.061
Latitude: 47.2654103, Longitude: 9.8104772, Information Type: guidepost, Reference: VWW 48.054
Latitude: 47.2651757, Longitude: 9.8070308, Information Type: guidepost, Reference: VWW 48.053
Latitude: 47.2692516, Longitude: 9.8065685, Information Type: guidepost, Reference: VWW 48.059
Latitude: 47.2725885, Longitude: 9.8062082, Information Type: guidepost, Reference: VWW 48.060
Latitude: 47.2781917, Longitude: 9.8064758, Information Type: guidepost, Reference: VWW 48.109
Latitude: 47.2856100, Longitude: 9.8042592, Information Type: guidepost, Reference: VWW 48.108
Latitude: 47.2885365, Longitude: 9.8038514, Information Type: guidepost, Reference: VWW 48.107
Latitude: 47.2944387, Longitude: 9.7861422, Information Type: guidepost, Reference: VWW 48.106
Latitude: 47.3027937, Longitude: 9.7840969, Information Type: guidepost, Reference: VWW 48.103
Latitude: 47.2705467, Longitude: 9.7465824, Information Type: guidepost, Reference: VWW 48.023
Latitude: 47.2681063, Longitude: 9.7417000, Information Type: guidepost, Reference: VWW 48.026
Latitude: 47.2649237, Longitude: 9.7361809, Information Type: guidepost, Reference: VWW 48.029
Latitude: 47.2561662, Longitude: 9.7070291, Information Type: guidepost, Reference: VWW 48.081
Latitude: 47.2558379, Longitude: 9.7195880, Information Type: guidepost, Reference: VWW 48.072
Latitude: 47.2543278, Longitude: 9.7100296, Information Type: guidepost, Reference: VWW 48.080
Latitude: 47.2473345, Longitude: 9.7356655, Information Type: guidepost, Reference: VWW 48.078
Latitude: 47.2474720, Longitude: 9.7279785, Information Type: guidepost, Reference: VWW 48.079
Latitude: 47.2546889, Longitude: 9.7273507, Information Type: guidepost, Reference: VWW 48.073
Latitude: 47.2568473, Longitude: 9.7284328, Information Type: guidepost, Reference: VWW 48.069
Latitude: 47.2570763, Longitude: 9.7291776, Information Type: guidepost, Reference: VWW 48.032
Latitude: 47.2614995, Longitude: 9.7226806, Information Type: guidepost, Reference: VWW 48.031
Latitude: 47.2676744, Longitude: 9.7196531, Information Type: guidepost, Reference: VWW 48.010
Latitude: 47.2730271, Longitude: 9.7113778, Information Type: guidepost, Reference: VWW 48.012
Latitude: 47.2742229, Longitude: 9.7085639, Information Type: guidepost, Reference: VWW 48.013
Latitude: 47.2541527, Longitude: 9.7747619, Information Type: guidepost, Reference: VWW 48.075
Latitude: 47.2568230, Longitude: 9.7325371, Information Type: guidepost, Reference: VWW 48.033
Latitude: 47.2605477, Longitude: 9.7356642, Information Type: guidepost, Reference: VWW 48.034
Latitude: 47.2748616, Longitude: 9.7384377, Information Type: guidepost, Reference: VWW 48.020
Latitude: 47.2670440, Longitude: 9.7339766, Information Type: guidepost, Reference: VWW 48.027
Latitude: 47.2651746, Longitude: 9.7303306, Information Type: guidepost, Reference: VWW 48.030
Latitude: 47.2668808, Longitude: 9.7285442, Information Type: guidepost, Reference: VWW 48.016
Latitude: 47.2675711, Longitude: 9.7282866, Information Type: guidepost, Reference: VWW 48.017
Latitude: 47.2667449, Longitude: 9.7260346, Information Type: guidepost, Reference: VWW 48.015
