Latitude: 47.2236940, Longitude: 10.1325746, Information Type: guidepost, Reference: VWW 50.088
Latitude: 47.2253934, Longitude: 10.1343847, Information Type: guidepost, Reference: VWW 50.089
Latitude: 47.1581697, Longitude: 10.2023642, Information Type: guidepost, Reference: VWW 50.194
Latitude: 47.1995557, Longitude: 10.0674502, Information Type: guidepost, Reference: VWW 50.104
Latitude: 47.1819971, Longitude: 10.1456117, Information Type: guidepost, Reference: VWW 50.160
Latitude: 47.2388563, Longitude: 10.1440456, Information Type: guidepost, Reference: VWW 50.93
Latitude: 47.2393241, Longitude: 10.1369826, Information Type: guidepost, Reference: VWW 50.092
Latitude: 47.2437336, Longitude: 10.1276886, Information Type: guidepost, Reference: VWW 50.090
Latitude: 47.2459824, Longitude: 10.1521769, Information Type: guidepost, Reference: VWW 50.098
Latitude: 47.1994784, Longitude: 10.1693314, Information Type: guidepost, Reference: VWW 50.173
Latitude: 47.1987353, Longitude: 10.1713797, Information Type: guidepost, Reference: VWW 50.181
Latitude: 47.1971672, Longitude: 10.1710717, Information Type: guidepost, Reference: VWW 50.172
Latitude: 47.2019397, Longitude: 10.1664789, Information Type: guidepost, Reference: VWW 50.174
Latitude: 47.2173091, Longitude: 10.1360164, Information Type: guidepost, Reference: VWW 50.072
Latitude: 47.2207829, Longitude: 10.1352243, Information Type: guidepost, Reference: VWW 50.074
Latitude: 47.2188237, Longitude: 10.1363094, Information Type: guidepost, Reference: VWW 50.073
Latitude: 47.2244174, Longitude: 10.1281258, Information Type: guidepost, Reference: VWW 50.135
Latitude: 47.2215054, Longitude: 10.1370628, Information Type: guidepost, Reference: VWW 50.075
Latitude: 47.2190471, Longitude: 10.1290713, Information Type: guidepost, Reference: VWW 50.086
Latitude: 47.2182360, Longitude: 10.1244995, Information Type: guidepost, Reference: VWW 50.134
Latitude: 47.2205311, Longitude: 10.1238149, Information Type: guidepost, Reference: VWW 50.133
Latitude: 47.2196592, Longitude: 10.1211464, Information Type: guidepost, Reference: VWW 50.132
Latitude: 47.2196414, Longitude: 10.1141837, Information Type: guidepost, Reference: VWW 50.128
Latitude: 47.2270148, Longitude: 10.1029500, Information Type: guidepost, Reference: VWW 50.126
Latitude: 47.2283613, Longitude: 10.1022023, Information Type: guidepost, Reference: VWW 50.127
Latitude: 47.2303496, Longitude: 10.1305073, Information Type: guidepost, Reference: VWW 50.091
Latitude: 47.2226736, Longitude: 10.1403004, Information Type: guidepost, Reference: VWW 50.214
Latitude: 47.2396938, Longitude: 10.1605333, Information Type: guidepost, Reference: VWW 50.108
Latitude: 47.2155162, Longitude: 10.1538136, Information Type: guidepost, Reference: VWW 50.002
Latitude: 47.1738797, Longitude: 10.1398587, Information Type: guidepost, Reference: VWW 50.159
Latitude: 47.2153813, Longitude: 10.1334579, Information Type: guidepost, Reference: VWW 50.069
Latitude: 47.2309046, Longitude: 10.1117106, Information Type: guidepost, Reference: VWW 50.109
Latitude: 47.1985815, Longitude: 10.0870892, Information Type: guidepost, Reference: VWW 50.113
Latitude: 47.2011177, Longitude: 10.1092384, Information Type: guidepost, Reference: VWW 50.101
Latitude: 47.1922030, Longitude: 10.1731663, Information Type: guidepost, Reference: VWW 50.175
Latitude: 47.1652400, Longitude: 10.1640380, Information Type: guidepost, Reference: VWW 50.151
Latitude: 47.1594170, Longitude: 10.1664427, Information Type: guidepost, Reference: VWW 50.149
Latitude: 47.1529231, Longitude: 10.1653091, Information Type: guidepost, Reference: VWW 50.200
Latitude: 47.1740396, Longitude: 10.1408319, Information Type: guidepost, Reference: VWW 50.162
Latitude: 47.1770190, Longitude: 10.1400680, Information Type: guidepost, Reference: VWW 50.161
Latitude: 47.1870649, Longitude: 10.1127648, Information Type: guidepost, Reference: VWW 50.043
Latitude: 47.1891433, Longitude: 10.1103725, Information Type: guidepost, Reference: VWW 50.042
Latitude: 47.1934738, Longitude: 10.1208262, Information Type: guidepost, Reference: VWW 50.040
Latitude: 47.2013635, Longitude: 10.1345891, Information Type: guidepost, Reference: VWW 50.039
Latitude: 47.2045786, Longitude: 10.1278016, Information Type: guidepost, Reference: VWW 50.029
Latitude: 47.2061608, Longitude: 10.1319596, Information Type: guidepost, Reference: VWW 50.028
