Latitude: 47.5211181, Longitude: 9.7558208, Information Type: guidepost, Reference: VWW 52.16
Latitude: 47.5209033, Longitude: 9.7559488, Information Type: guidepost, Reference: VWW 52.17
Latitude: 47.5207854, Longitude: 9.7597458, Information Type: guidepost, Reference: VWW 52.18
Latitude: 47.5254531, Longitude: 9.7667432, Information Type: guidepost, Reference: VWW 52.60
Latitude: 47.5129875, Longitude: 9.7847416, Information Type: guidepost, Reference: VWW 52.54
Latitude: 47.5260448, Longitude: 9.7705832, Information Type: guidepost, Reference: VWW 52.58
Latitude: 47.5191210, Longitude: 9.7814334, Information Type: guidepost, Reference: VWW 52.56
Latitude: 47.5125762, Longitude: 9.7844073, Information Type: guidepost, Reference: VWW 52.53
Latitude: 47.5246388, Longitude: 9.7740415, Information Type: guidepost, Reference: VWW 52.57
Latitude: 47.5269158, Longitude: 9.7758386, Information Type: guidepost, Reference: VWW 52.87
Latitude: 47.5335977, Longitude: 9.7731888, Information Type: guidepost, Reference: VWW 52.84
Latitude: 47.5064389, Longitude: 9.7800227, Information Type: guidepost, Reference: VWW 52.50
Latitude: 47.5040492, Longitude: 9.7726406, Information Type: guidepost, Reference: VWW 52.32
Latitude: 47.5047993, Longitude: 9.7712593, Information Type: guidepost, Reference: VWW 52.30
Latitude: 47.5055644, Longitude: 9.7788218, Information Type: guidepost, Reference: VWW 52.35
Latitude: 47.5035852, Longitude: 9.7790206, Information Type: guidepost, Reference: VWW 52.33
Latitude: 47.5058506, Longitude: 9.7794229, Information Type: guidepost, Reference: VWW 52.36
Latitude: 47.5126352, Longitude: 9.7649477, Information Type: guidepost, Reference: VWW 52.25
Latitude: 47.5105429, Longitude: 9.7655700, Information Type: guidepost, Reference: VWW 52.26
Latitude: 47.5056335, Longitude: 9.7799059, Information Type: guidepost, Reference: VWW 52.34
Latitude: 47.5060488, Longitude: 9.7667930, Information Type: guidepost, Reference: VWW 52.31
Latitude: 47.5133787, Longitude: 9.7622056, Information Type: guidepost, Reference: VWW 52.22
Latitude: 47.5155182, Longitude: 9.7599573, Information Type: guidepost, Reference: VWW 52.21
Latitude: 47.5161305, Longitude: 9.7593249, Information Type: guidepost, Reference: VWW 52.20
Latitude: 47.5162258, Longitude: 9.7585668, Information Type: guidepost, Reference: VWW 52.19
Latitude: 47.5075910, Longitude: 9.7803018, Information Type: map, Reference: VWW 52.49
Latitude: 47.5122524, Longitude: 9.7558379, Information Type: guidepost, Reference: VWW 52.14
Latitude: 47.5129256, Longitude: 9.7536536, Information Type: guidepost, Reference: VWW 52.12
Latitude: 47.5077979, Longitude: 9.7588018, Information Type: guidepost, Reference: VWW 52.27
Latitude: 47.5087365, Longitude: 9.7703059, Information Type: guidepost, Reference: VWW 52.29
Latitude: 47.5097707, Longitude: 9.7725460, Information Type: guidepost, Reference: VWW 52.41
Latitude: 47.5085936, Longitude: 9.7805964, Information Type: guidepost, Reference: VWW 52.48
Latitude: 47.5102455, Longitude: 9.7826462, Information Type: guidepost, Reference: VWW 52.47
Latitude: 47.5099443, Longitude: 9.7828110, Information Type: guidepost, Reference: VWW 52.52
Latitude: 47.5109061, Longitude: 9.7813814, Information Type: guidepost, Reference: VWW 52.46
Latitude: 47.5075769, Longitude: 9.7818991, Information Type: guidepost, Reference: VWW 52.51
Latitude: 47.5059989, Longitude: 9.7775202, Information Type: guidepost, Reference: VWW 52.40
Latitude: 47.5299512, Longitude: 9.7561092, Information Type: guidepost, Reference: VWW 52.64
Latitude: 47.5120327, Longitude: 9.7677583, Information Type: guidepost, Reference: VWW 52.28
Latitude: 47.5353134, Longitude: 9.7575800, Information Type: guidepost, Reference: VWW 52.67
Latitude: 47.5352590, Longitude: 9.7638108, Information Type: guidepost, Reference: VWW 52.89
Latitude: 47.5361103, Longitude: 9.7633768, Information Type: guidepost, Reference: VWW 52.81
Latitude: 47.5278242, Longitude: 9.7445532, Information Type: guidepost, Reference: VWW 52.90
Latitude: 47.5370976, Longitude: 9.7524173, Information Type: guidepost, Reference: VWW 52.70
Latitude: 47.5170663, Longitude: 9.7634650, Information Type: guidepost, Reference: VWW 52.24
Latitude: 47.5137517, Longitude: 9.7734677, Information Type: guidepost, Reference: VWW 52.42
Latitude: 47.5149478, Longitude: 9.7728843, Information Type: guidepost, Reference: VWW 52.45
Latitude: 47.5150020, Longitude: 9.7678115, Information Type: guidepost, Reference: VWW 52.44
Latitude: 47.5155253, Longitude: 9.7629537, Information Type: guidepost, Reference: VWW 52.23
Latitude: 47.5134259, Longitude: 9.7693545, Information Type: guidepost, Reference: VWW 52.43
Latitude: 47.5157803, Longitude: 9.7815145, Information Type: guidepost, Reference: VWW 52.55
Latitude: 47.5075904, Longitude: 9.7803226, Information Type: guidepost, Reference: VWW 52.49
Latitude: 47.5116684, Longitude: 9.7939437, Information Type: guidepost, Reference: VWW 13.10
Latitude: 47.5244782, Longitude: 9.7704940, Information Type: guidepost, Reference: VWW 52.59
Latitude: 47.5304100, Longitude: 9.7741987, Information Type: guidepost, Reference: VWW 52.86
Latitude: 47.5263663, Longitude: 9.7524105, Information Type: guidepost, Reference: VWW 52.65
Latitude: 47.5286142, Longitude: 9.7523693, Information Type: guidepost, Reference: VWW 52.39
Latitude: 47.5310409, Longitude: 9.7558435, Information Type: guidepost, Reference: VWW 52.06
Latitude: 47.5305358, Longitude: 9.7546278, Information Type: guidepost, Reference: VWW 52.63
Latitude: 47.5290942, Longitude: 9.7605654, Information Type: guidepost, Reference: VWW 52.62
Latitude: 47.5309021, Longitude: 9.7624220, Information Type: guidepost, Reference: VWW 52.61
Latitude: 47.5336776, Longitude: 9.7576047, Information Type: guidepost, Reference: VWW 52.66
